filing,owner,role,date,code,acquired_disposed,shares,price,value,shares_after,plan_10b5_1
2025-12-11_0001548933-25-000010.xml,SCHULTZ JOHN F,"EVP, COLO",2025-12-10,S,D,148501.0,24.9855,3710371.7355,248091.475,True
2025-12-15_0002060058-25-000013.xml,Culloty Maeve C,"EVP, Pres & CEO Financial Serv",2025-12-11,S,D,35958.0,24.6555,886562.469,0.0,True
2025-12-15_0001700118-25-000010.xml,RUSSO FIDELMA,"EVP, GM, Hybrid Cloud & CTO",2025-12-11,S,D,126512.0,24.6084,3113257.9008,51002.0,True
2025-12-15_0001655286-25-000011.xml,Cox Jeremy,"SVP, Controller & CTO",2025-12-11,S,D,13463.0,24.6847,332330.1161,0.0,True
2025-12-17_0001023219-25-000007.xml,RUSSO PATRICIA F,Director,2025-12-15,A,A,1637.0,24.05,39369.85,346581.2974,False
2025-12-17_0001166598-25-000008.xml,Lane Raymond J.,Director,2025-12-15,A,A,1195.0,24.05,28739.75,973479.0,False
2025-12-17_0001233171-25-000012.xml,REINER GARY M,Director,2025-12-15,A,A,1403.0,24.05,33742.15,1403.0,False
2025-12-17_0001548933-25-000012.xml,SCHULTZ JOHN F,"EVP, COLO",2025-12-15,M,A,4305.0,24.05,103535.25,252396.475,False
2025-12-17_0001548933-25-000012.xml,SCHULTZ JOHN F,"EVP, COLO",2025-12-15,F,D,4305.0,24.05,103535.25,248091.475,False
2025-12-17_0001648401-25-000031.xml,Neri Antonio F,Director; President and CEO,2025-12-15,M,A,10142.0,24.05,243915.1,2138360.0,False
2025-12-17_0001648401-25-000031.xml,Neri Antonio F,Director; President and CEO,2025-12-15,F,D,10142.0,24.05,243915.1,2128218.0,False
2025-12-17_0001812556-25-000011.xml,MacDonald Neil B,"EVP, GM, Server",2025-12-15,M,A,4176.0,24.05,100432.8,173321.544,False
2025-12-17_0001812556-25-000011.xml,MacDonald Neil B,"EVP, GM, Server",2025-12-15,F,D,4176.0,24.05,100432.8,169145.544,False
2025-12-30_0001584883-25-000012.xml,Karros Kirt P,"SVP, Treasurer, Corp Dev",2025-12-24,S,D,36460.0,24.6069,897167.574,18785.0,True
2025-12-30_0001648401-25-000033.xml,Neri Antonio F,Director; President and CEO,2025-12-29,S,D,26457.0,24.487,647852.559,2101761.0,True
2026-01-22_0001656326-26-000002.xml,MYERS MARIE,EVP & CFO,2026-01-20,M,A,68493.0,20.39,1396572.27,271145.0,False
2026-01-22_0001656326-26-000002.xml,MYERS MARIE,EVP & CFO,2026-01-20,F,D,27330.0,20.39,557258.7000000001,243815.0,False
2026-01-22_0001656326-26-000002.xml,MYERS MARIE,EVP & CFO,2026-01-20,M,A,89898.0,20.39,1833020.22,333713.0,False
2026-01-22_0001656326-26-000002.xml,MYERS MARIE,EVP & CFO,2026-01-20,F,D,35376.0,20.39,721316.64,298337.0,False
2026-02-24_0001560849-26-000003.xml,rahim rami,"EVP, Pres GM Networking",2026-02-20,M,A,43769.0,21.37,935343.53,43769.0,False
2026-02-24_0001560849-26-000003.xml,rahim rami,"EVP, Pres GM Networking",2026-02-20,F,D,21842.0,21.37,466763.54000000004,21927.0,False
2026-02-24_0001560849-26-000003.xml,rahim rami,"EVP, Pres GM Networking",2026-02-20,M,A,134089.0,21.37,2865481.93,156016.0,False
2026-02-24_0001560849-26-000003.xml,rahim rami,"EVP, Pres GM Networking",2026-02-20,F,D,66482.0,21.37,1420720.34,89534.0,False
2026-07-07_0001560849-26-000007.xml,rahim rami,"EVP, Pres GM Networking",2026-03-10,G,D,89534.0,0.0,0.0,0.0,False
2026-07-07_0001560849-26-000007.xml,rahim rami,"EVP, Pres GM Networking",2026-03-10,G,A,89534.0,0.0,0.0,343696.0,False
2026-03-27_0001812556-26-000002.xml,MacDonald Neil B,"EVP, GM, Server",2026-03-25,S,D,7139.0,26.0,185614.0,56493.544,True
2026-03-27_0001812556-26-000002.xml,MacDonald Neil B,"EVP, GM, Server",2026-03-25,S,D,105513.0,25.03,2640990.39,63632.544,True
2026-03-27_0001700118-26-000003.xml,RUSSO FIDELMA,"EVP, GM, Hybrid Cloud & CTO",2026-03-25,S,D,17001.0,25.95,441175.95,17001.0,True
2026-03-27_0001700118-26-000003.xml,RUSSO FIDELMA,"EVP, GM, Hybrid Cloud & CTO",2026-03-25,S,D,17000.0,24.21,411570.0,34002.0,True
2026-03-27_0001648401-26-000002.xml,Neri Antonio F,Director; President and CEO,2026-03-25,S,D,84598.0,26.002,2199717.196,1837329.0,True
2026-03-27_0001648401-26-000002.xml,Neri Antonio F,Director; President and CEO,2026-03-25,S,D,179834.0,24.7946,4458912.0964,1921927.0,True
2026-04-02_0001023219-26-000007.xml,RUSSO PATRICIA F,Director,2026-03-31,A,A,1822.0,23.81,43381.82,350343.3045,False
2026-04-02_0001166598-26-000002.xml,Lane Raymond J.,Director,2026-03-31,A,A,1585.0,23.81,37738.85,975064.0,False
2026-04-02_0001233171-26-000002.xml,REINER GARY M,Director,2026-03-31,A,A,1795.0,23.81,42738.95,1795.0,False
2026-04-03_0001646850-26-000002.xml,Hobby Jean M.,Director,2026-04-01,M,A,14499.0518,23.98,347687.262164,47490.5734,False
2026-04-03_0001593861-26-000002.xml,DUGAN REGINA E,Director,2026-04-01,M,A,14500.0,23.98,347710.0,55850.0,False
2026-04-03_0001439012-26-000002.xml,Ozzie Raymond E,Director,2026-04-01,M,A,14500.0,23.98,347710.0,176400.0,False
2026-04-03_0001405693-26-000002.xml,Mayer Bethany,Director,2026-04-01,M,A,14500.0,23.98,347710.0,14500.0,False
2026-04-03_0001396958-26-000002.xml,Carter Pamela L,Director,2026-04-01,M,A,14500.0,23.98,347710.0,132170.0,False
2026-04-03_0001023219-26-000009.xml,RUSSO PATRICIA F,Director,2026-04-01,M,A,14499.0518,23.98,347687.262164,364842.3563,False
2026-04-03_0001207622-26-000002.xml,LIVERMORE ANN M,Director,2026-04-01,M,A,14500.0,23.98,347710.0,36810.0,False
2026-04-03_0001194004-26-000004.xml,DAMELIO FRANK A,Director,2026-04-01,M,A,14499.0518,23.98,347687.262164,47490.5734,False
2026-04-03_0001183228-26-000002.xml,CALDERONI ROBERT,Director,2026-04-01,M,A,8008.0,23.98,192031.84,8008.0,False
2026-04-03_0001166598-26-000004.xml,Lane Raymond J.,Director,2026-04-01,M,D,14500.0,23.98,347710.0,989564.0,False
2026-04-03_0001039894-26-000002.xml,NOSKI CHARLES H,Director,2026-04-01,M,A,14499.0518,23.98,347687.262164,79945.1927,False
2026-04-03_0001233171-26-000004.xml,REINER GARY M,Director,2026-04-01,M,A,14500.0,23.98,347710.0,16295.0,False
2026-04-21_0001648401-26-000004.xml,Neri Antonio F,Director; President and CEO,2026-04-17,S,D,150000.0,26.4965,3974475.0,1687329.0,True
2026-04-21_0001812556-26-000004.xml,MacDonald Neil B,"EVP, GM, Server",2026-04-20,S,D,24251.0,27.0082,654975.8582,32242.544,True
2026-04-21_0001700118-26-000005.xml,RUSSO FIDELMA,"EVP, GM, Hybrid Cloud & CTO",2026-04-21,S,D,17001.0,27.97,475517.97,0.0,True
2026-05-05_0001405693-26-000004.xml,Mayer Bethany,Director,2026-05-05,S,D,6482.0,29.1,188626.2,8018.0,True
2026-05-06_0001656326-26-000004.xml,MYERS MARIE,EVP & CFO,2026-05-05,S,D,93583.0,30.0069,2808135.7227000003,204754.0,True
2026-05-21_0001788574-26-000002.xml,Dillow Stacy L,"EVP, Chief People Officer",2026-05-20,M,A,31292.0,33.8,1057669.5999999999,31292.0,False
2026-05-21_0001788574-26-000002.xml,Dillow Stacy L,"EVP, Chief People Officer",2026-05-20,F,D,12314.0,33.8,416213.19999999995,18978.0,False
2026-06-04_0001233171-26-000008.xml,REINER GARY M,Director,2026-06-03,S,D,20000.0,54.7692,1095384.0,82941.0,False
2026-06-04_0001233171-26-000008.xml,REINER GARY M,Director,2026-06-04,G,D,1700.0,0.0,0.0,81241.0,False
2026-06-23_0001584883-26-000003.xml,Karros Kirt P,"SVP, Treasurer, Corp Dev",2026-06-22,S,D,18785.0,48.5,911072.5,0.0,True
2026-07-02_0001655996-26-000012.xml,HSU CHRISTOPHER P,Director,2026-06-30,A,A,240.0,45.11,10826.4,240.0,False
2026-07-02_0001166598-26-000010.xml,Lane Raymond J.,Director,2026-06-30,A,A,720.0,45.11,32479.2,990284.0,False
2026-07-02_0001023219-26-000013.xml,RUSSO PATRICIA F,Director,2026-06-30,A,A,873.0,45.11,39381.03,367286.4942,False
2026-07-02_0001233171-26-000010.xml,REINER GARY M,Director,2026-06-30,A,A,831.0,45.11,37486.409999999996,831.0,False
2026-07-07_0001560849-26-000007.xml,rahim rami,"EVP, Pres GM Networking",2026-07-02,M,A,49984.0,41.23,2060840.3199999998,49984.0,False
2026-07-07_0001560849-26-000007.xml,rahim rami,"EVP, Pres GM Networking",2026-07-02,F,D,24783.0,41.23,1021803.09,25201.0,False
2026-07-07_0001560849-26-000007.xml,rahim rami,"EVP, Pres GM Networking",2026-07-03,F,D,195534.0,41.23,8061866.819999999,565893.0,False
2026-07-07_0001560849-26-000007.xml,rahim rami,"EVP, Pres GM Networking",2026-07-03,M,A,394379.0,41.23,16260246.169999998,761427.0,False
2026-07-07_0001560849-26-000007.xml,rahim rami,"EVP, Pres GM Networking",2026-07-03,F,D,129052.0,41.23,5320813.96,367048.0,False
2026-07-07_0001560849-26-000007.xml,rahim rami,"EVP, Pres GM Networking",2026-07-03,M,A,260290.0,41.23,10731756.7,496100.0,False
2026-07-07_0001560849-26-000007.xml,rahim rami,"EVP, Pres GM Networking",2026-07-03,M,A,109401.0,41.23,4510603.2299999995,290052.0,False
2026-07-07_0001560849-26-000007.xml,rahim rami,"EVP, Pres GM Networking",2026-07-03,F,D,152861.0,41.23,6302459.029999999,180651.0,False
2026-07-07_0001560849-26-000007.xml,rahim rami,"EVP, Pres GM Networking",2026-07-03,M,A,308311.0,41.23,12711662.53,333512.0,False
2026-07-07_0001560849-26-000007.xml,rahim rami,"EVP, Pres GM Networking",2026-07-03,F,D,54242.0,41.23,2236397.6599999997,235810.0,False
2026-07-07_0001560849-26-000007.xml,rahim rami,"EVP, Pres GM Networking",2026-07-07,G,D,565893.0,0.0,0.0,0.0,False
2026-07-07_0001560849-26-000007.xml,rahim rami,"EVP, Pres GM Networking",2026-07-07,G,A,565893.0,0.0,0.0,909589.0,False
2026-07-22_0001584883-26-000006.xml,Karros Kirt P,"SVP, Treasurer, Corp Dev",2026-07-20,F,D,16607.0,44.56,740007.92,23675.0,True
2026-07-22_0001584883-26-000006.xml,Karros Kirt P,"SVP, Treasurer, Corp Dev",2026-07-20,M,A,40282.0,44.56,1794965.9200000002,40282.0,True
2026-07-22_0001584883-26-000006.xml,Karros Kirt P,"SVP, Treasurer, Corp Dev",2026-07-22,S,D,23675.0,47.02,1113198.5,0.0,True
