factor,beta,se,lo,hi,p_value,mean_factor,mean_contribution,panel,ticker,model
MOM,-0.04174540266012633,0.20419738539703286,-0.4419649237755559,0.35847411845530325,0.8380123947107927,0.0011511811023622047,-4.805651865283834e-05,long,ENTG,M2
SEMIS,1.0243787748454654,0.18516885997500251,0.66145447823612,1.3873030714548107,3.163597358406982e-08,0.025186599892987525,0.02580061834090149,long,ENTG,M2
DEFENSE,0.10563490330599294,0.2634135163895403,-0.41064610185855727,0.6219159084705431,0.6884031212444758,0.011980282550897711,0.0012655359888425542,long,ENTG,M2
const,0.015484627643652746,0.009308421970829091,-0.002759544172073622,0.033728799459379115,0.0962109363254023,1.0,0.015484627643652746,long,CRS,M2
MKT,0.0827272074404255,0.43944073479544987,-0.7785608060984736,0.9440152209793246,0.8506762386727578,0.01081732283464567,0.0008948869100917838,long,CRS,M2
SMB,1.3096376138668204,0.32848916327087596,0.665810684544206,1.9534645431894349,6.695581724027945e-05,-0.0014102362204724413,-0.0018468983987680913,long,CRS,M2
HML,0.5266117182754607,0.2578042662349192,0.021324641394243615,1.0318987951566778,0.04108408761113358,0.0005496062992125979,0.00028942911760336315,long,CRS,M2
MOM,-0.11107281226441054,0.27897623645557845,-0.6578561882598744,0.4357105637310532,0.6905237845085475,0.0011511811023622047,-0.00012786492246501434,long,CRS,M2
SEMIS,0.1861328735638426,0.19385547601072636,-0.19381687762304953,0.5660826247507347,0.3369731381807698,0.025186599892987525,0.004688054213384538,long,CRS,M2
DEFENSE,1.0870089510885133,0.19967235640686054,0.6956583238228211,1.4783595783542054,5.21080031390406e-08,0.011980282550897711,0.013022674369395339,long,CRS,M2
const,0.017655207682078476,0.008471128190248506,0.0010521015207694377,0.03425831384338751,0.037145388795020176,1.0,0.017655207682078476,long,ATI,M2
MKT,-0.8471880032494499,0.4615399952226654,-1.7517897713106627,0.05741376481176297,0.06642158718310331,0.01081732283464567,-0.009164306132788144,long,ATI,M2
SMB,1.2131491875319662,0.32972966221723243,0.5668909249516332,1.8594074501122992,0.00023394499651149554,-0.0014102362204724413,-0.001710826925094293,long,ATI,M2
HML,0.20968893085038615,0.28198509330261445,-0.34299169619990494,0.7623695579006773,0.4571081689566111,0.0005496062992125979,0.00011524635727052707,long,ATI,M2
MOM,-0.5127094945775783,0.226236001560665,-0.9561239096428291,-0.06929507951232744,0.023435497709385408,0.0011511811023622047,-0.0005902214811593854,long,ATI,M2
SEMIS,0.29523261721338134,0.1366623900582626,0.02737925465802188,0.5630859797687409,0.030748968422243523,0.025186599892987525,0.007435905805112978,long,ATI,M2
DEFENSE,1.5517672357639534,0.22463313429141513,1.1114943828184303,1.9920400887094765,4.915101728816495e-12,0.011980282550897711,0.018590609937677666,long,ATI,M2
const,0.006401370862405409,0.006262301531807279,-0.00587251460026687,0.018675256325077688,0.30668275702182524,1.0,0.006401370862405409,long,MTRN,M2_nominal
MKT,0.37300555414470804,0.5202230354625872,-0.6466128592900663,1.3926239675794823,0.47336740984703574,0.01081732283464567,0.004034921498299212,long,MTRN,M2_nominal
SMB,1.515028549021936,0.27901909380229806,0.9681611741704288,2.0618959238734433,5.640514956808005e-08,-0.0014102362204724413,-0.002136548134880542,long,MTRN,M2_nominal
HML,0.5582979013124977,0.20780633523567243,0.1510049684913229,0.9655908341336725,0.007217772164225005,0.0005496062992125979,0.00030684404339852205,long,MTRN,M2_nominal
MOM,0.6107457633099491,0.21580181272574042,0.18778198256904038,1.033709544050858,0.004653005169349144,0.0011511811023622047,0.0007030789810701934,long,MTRN,M2_nominal
SEMIS,0.324042428504656,0.20900293949770418,-0.08559580557384816,0.7336806625831601,0.12104063676051037,0.025186599892987525,0.008161526995098785,long,MTRN,M2_nominal
DEFENSE,0.29622609674338873,0.21161235838872208,-0.11852650438208895,0.7109786978688664,0.1615574815592309,0.011980282550897711,0.0035488723379353574,long,MTRN,M2_nominal
D_NOMINAL,-0.0006612978977896845,0.029367622290666362,-0.05822077989907144,0.05689818410349207,0.9820348140420094,0.019496061670498586,-1.289270459787876e-05,long,MTRN,M2_nominal
const,0.0016157831325799847,0.0050979061578190965,-0.00837592933331041,0.011607495598470378,0.7512812775130874,1.0,0.0016157831325799847,long,ENTG,M2_nominal
MKT,-0.3892730658272286,0.4097785523387362,-1.1924242700481131,0.4138781383936559,0.34213278574568184,0.01081732283464567,-0.004210892423885407,long,ENTG,M2_nominal
SMB,0.7041245283688967,0.3165244546878506,0.08374799695452928,1.3245010597832643,0.02611145120364703,-0.0014102362204724413,-0.0009929819136288932,long,ENTG,M2_nominal
HML,0.08952170225335518,0.24753842104405405,-0.3956446877829025,0.5746880922896129,0.7176153095943374,0.0005496062992125979,4.920169147467862e-05,long,ENTG,M2_nominal
MOM,-0.030990427001106657,0.2033129389653623,-0.42947646496420694,0.3674956109619936,0.878849985872471,0.0011511811023622047,-3.5675593917809396e-05,long,ENTG,M2_nominal
SEMIS,1.0070835834626521,0.1958030879204093,0.6233165830769203,1.390850583848384,2.6988383003775237e-07,0.025186599892987525,0.025365011275469928,long,ENTG,M2_nominal
DEFENSE,0.10449550741495625,0.2585057257270318,-0.4021664048074153,0.6111574196373278,0.6860443404539164,0.011980282550897711,0.0012518857041306027,long,ENTG,M2_nominal
D_NOMINAL,-0.03209251445715047,0.03691141158248547,-0.10443755177735659,0.04025252286305564,0.3846027090753935,0.019496061670498586,-0.000625677641017973,long,ENTG,M2_nominal
const,0.016017432652248226,0.00946530282074996,-0.002534219979187076,0.03456908528368353,0.0906028683965876,1.0,0.016017432652248226,long,CRS,M2_nominal
MKT,0.0846360544249738,0.43851953499304563,-0.7748464406786476,0.9441185495285952,0.8469557816986151,0.01081732283464567,0.0009155355241655827,long,CRS,M2_nominal
SMB,1.3192051790493105,0.3400436217831781,0.6527319271817216,1.9856784309168993,0.00010466387444456192,-0.0014102362204724413,-0.0018603909257301698,long,CRS,M2_nominal
HML,0.5611996592414445,0.28094669908982345,0.010554247449978571,1.1118450710329104,0.0457675618498578,0.0005496062992125979,0.0003084388678350613,long,CRS,M2_nominal
MOM,-0.10541501278659612,0.2768752770902222,-0.6480805840929796,0.43725055851978734,0.7034028323221093,0.0011511811023622047,-0.00012135177062519962,long,CRS,M2_nominal
SEMIS,0.17703450571283708,0.1952290107573051,-0.20560732410886368,0.5596763355345378,0.36451029755839226,0.025186599892987525,0.004458897262642042,long,CRS,M2_nominal
DEFENSE,1.0864095565680874,0.19913215175618867,0.6961177109619932,1.4767014021741816,4.877439566234622e-08,0.011980282550897711,0.013015493453681177,long,CRS,M2_nominal
D_NOMINAL,-0.016882698510352998,0.046684104432482866,-0.10838186184852612,0.07461646482782013,0.7176233268732604,0.019496061670498586,-0.00032914613132227667,long,CRS,M2_nominal
const,0.015970554617902123,0.008313099352626597,-0.00032282071314924596,0.032263929948953496,0.05471516783146855,1.0,0.015970554617902123,long,ATI,M2_nominal
MKT,-0.8532235037978364,0.47646092611946866,-1.7870697590325944,0.08062275143692166,0.07333305137743254,0.01081732283464567,-0.009229594090688721,long,ATI,M2_nominal
SMB,1.1828979178529007,0.32552724451674947,0.5448762426135079,1.8209195930922935,0.0002792873021701434,-0.0014102362204724413,-0.001668165488877595,long,ATI,M2_nominal
HML,0.10032681939902018,0.2959415073249121,-0.4797078764883041,0.6803615152863445,0.734602988533024,0.0005496062992125979,5.514025192166615e-05,long,ATI,M2_nominal
