n,parameters,start,end,mean_excess,alpha,alpha_lo,alpha_hi,alpha_p,r2,adjusted_r2,total_variance,fitted_variance,residual_variance,residual_share,residual_volatility,residual_mse,condition_scaled,mean_residual,mean_identity_error,variance_identity_error,bootstrap_valid,alpha_boot_lo,alpha_boot_hi,residual_var_boot_lo,residual_var_boot_hi,residual_vol_boot_lo,residual_vol_boot_hi,r2_boot_lo,r2_boot_hi,panel,ticker,model
127,7,2016-01-31,2026-07-31,0.03240490893289445,0.015484627643652746,-0.002759544172073622,0.033728799459379115,0.0962109363254023,0.5224412560871678,0.4985633188915263,0.020511313959700263,0.010715956629104063,0.009795357330596199,0.47755874391283226,0.09897149756670452,0.010285125197126009,4.269927411142737,-2.1537889582049052e-16,2.1510571102112408e-16,1.734723475976807e-18,2000,-0.002372668200500759,0.03451385666070028,0.007002945646989378,0.011467659696704527,0.08368360439309212,0.10708715932453793,0.3785997776037651,0.6726051204269486,long,CRS,M2
127,7,2016-01-31,2026-07-31,0.03233161524309762,0.017655207682078476,0.0010521015207694377,0.03425831384338751,0.037145388795020176,0.4769147937583468,0.4507605334462641,0.023974443092406095,0.01143376658288607,0.01254067650952002,0.5230852062416532,0.11198516200604444,0.013167710334996021,4.269927411142737,-1.972394251425598e-16,2.0816681711721685e-16,3.469446951953614e-18,2000,-0.000923698962433897,0.035776560951924406,0.008676271030916064,0.015724165180378443,0.09314650280036807,0.12539603289175424,0.347476151690032,0.6179125048979498,long,ATI,M2
127,8,2016-01-31,2026-07-31,0.021007173878729066,0.006401370862405409,-0.00587251460026687,0.018675256325077688,0.30668275702182524,0.452518560414073,0.420313769850195,0.01320893558628747,0.005977288516109026,0.007231647070178444,0.5474814395859269,0.08503909142375901,0.0076570380743065875,4.287686805164888,8.960461419218783e-18,6.938893903907228e-18,0.0,2000,-0.004498154588750291,0.021430771699553052,0.004285681116802453,0.00954043677898392,0.06546511104799169,0.09767515941324041,0.2990568176933813,0.5980698266632652,long,MTRN,M2_nominal
127,8,2016-01-31,2026-07-31,0.022416654231205126,0.0016157831325799847,-0.00837592933331041,0.011607495598470378,0.7512812775130874,0.5630482091848168,0.5373451626662766,0.013444990240475446,0.007570177677407037,0.005874812563068406,0.43695179081518315,0.07664732587030292,0.006220389772660665,4.287686805164888,2.2291879628300388e-17,1.3877787807814457e-17,2.6020852139652106e-18,2000,-0.007914338173471123,0.013906991719589477,0.003500114614368024,0.007522299816872668,0.0591617647498238,0.08673119287086099,0.4651593542253577,0.685657752344889,long,ENTG,M2_nominal
127,8,2016-01-31,2026-07-31,0.03240490893289445,0.016017432652248226,-0.002534219979187076,0.03456908528368353,0.0906028683965876,0.5231205025762763,0.4950687674337043,0.020511313959700263,0.010729888867098197,0.00978142509260207,0.4768794974237237,0.0989010874187037,0.010356803039225721,4.287686805164888,7.758448302006507e-18,6.938893903907228e-18,3.469446951953614e-18,2000,-0.002748945324977449,0.03545734176402454,0.006856306149177772,0.011436493091642018,0.08280281484650111,0.10694154038713088,0.38251621767285865,0.6807266029235539,long,CRS,M2_nominal
127,8,2016-01-31,2026-07-31,0.03233161524309762,0.015970554617902123,-0.00032282071314924596,0.032263929948953496,0.05471516783146855,0.4827245339568691,0.45229656536609664,0.023974443092406095,0.01157305186865721,0.012401391223748882,0.5172754660431308,0.11136153386043532,0.013130884825145876,4.287686805164888,2.2018694828933962e-17,1.3877787807814457e-17,3.469446951953614e-18,2000,-0.002632146425327943,0.032680461155680574,0.008463591759445742,0.0155003743223545,0.0919977796202297,0.12450049919334194,0.35916090575495624,0.6259830583981301,long,ATI,M2_nominal
127,6,2016-01-31,2026-07-31,0.021007173878729066,0.010182145042576371,-0.0033414328633244016,0.023705722948477143,0.1400265579817508,0.42259274594038165,0.39873294205362053,0.01320893558628747,0.005582000360358849,0.007626935225928622,0.5774072540596182,0.08733232635129229,0.007942097838570302,1.7555806182963223,-8.960461419218783e-18,3.469446951953614e-18,8.673617379884035e-19,2000,-0.002242440752927546,0.025574056689854578,0.00456683667384886,0.009907771264402161,0.0675783737122501,0.09953778801468066,0.27397276494151684,0.5603595713331134,long,MTRN,M1_nominal
127,6,2016-01-31,2026-07-31,0.022416654231205126,0.012085400555669529,-0.0029356828915970534,0.02710648400293611,0.11481542128802216,0.3387876965556974,0.3114648740993212,0.013444990240475446,0.004554997273784513,0.008889992966690937,0.6612123034443026,0.09428675923315498,0.009257348047959158,1.7555806182963223,-6.993530863780514e-18,1.3877787807814457e-17,5.204170427930421e-18,2000,-0.0017260343663955072,0.02879295853569497,0.0049075697413382855,0.011559043441174092,0.07005404868589821,0.1075129872757292,0.2305431689655233,0.5298521725096771,long,ENTG,M1_nominal
127,6,2016-01-31,2026-07-31,0.03240490893289445,0.01953368377981083,-0.00026464129139708303,0.03933200885101874,0.05314197439138506,0.4393835272531944,0.4162175573049792,0.020511313959700263,0.009012333476210794,0.011498980483489477,0.5606164727468056,0.10723329932203651,0.011974144966278298,1.7555806182963223,-2.4040262344245515e-18,0.0,6.938893903907228e-18,2000,-0.0008480972034991617,0.04018095378735588,0.008191757394224966,0.01353102443732573,0.09050832740371627,0.11632293169136257,0.28265352376414477,0.6136002816991438,long,CRS,M1_nominal
127,6,2016-01-31,2026-07-31,0.03233161524309762,0.02172387376988568,0.0019459584758090356,0.041501789063962326,0.03133394637426606,0.33340350622962545,0.3058581965696926,0.023974443092406095,0.007993163386910812,0.015981279705495278,0.6665964937703746,0.1264170862877929,0.016641663164400043,1.7555806182963223,5.7915177465682376e-18,0.0,3.469446951953614e-18,2000,0.00020777281439289625,0.04239765339730005,0.010663629848762086,0.020119277834080723,0.10326485199201078,0.1418424398044152,0.21193138581544937,0.49418890097062484,long,ATI,M1_nominal
