path,sha256,bytes
MTRN/experiments/historical_attribution/data/raw/F-F_Research_Data_Factors_CSV.zip,b840dba55d319f4818fc7300e65c52eff5f64870c8d495fa58ff5d4cd749f5eb,13067
MTRN/experiments/historical_attribution/data/raw/F-F_Research_Data_Factors_daily_CSV.zip,1916d331c2c51d2aee3d00215897d2b8e5995cb387f1f4569ba46bff5fb049a8,178044
MTRN/experiments/historical_attribution/data/raw/ITA_daily.csv,d5b1dbea07e30203b57d0edae758580038843631f8e8e1718b2c95b3c4993cc0,341590
MTRN/experiments/historical_attribution/data/raw/ITA_events.json,c0f30284d6a1816a9f9c54ad365b2d0e22673d21c33fb00e35de3b5661ff1c79,4004
MTRN/experiments/historical_attribution/data/raw/SOXX_daily.csv,7be2b6c7ed349f23e75f2dba49726a03afd960c816c78b298852de1689594d71,349870
MTRN/experiments/historical_attribution/data/raw/SOXX_events.json,623b427ab2041f6f906f2f2165d2dd5eabcff5ce29adbeafc8d48cd07c62785d,4150
MTRN/experiments/historical_attribution/data/raw/companyfacts_ELMT.json,35c0e0f847d606710a44fc3bc61af83f20d89dffad11f971723b98d025bf7ddc,244570
MTRN/experiments/historical_attribution/data/raw/earnings_index.json,a276de36dd21eb3fb1d2e807222ddc1af3ddc5882ce37ef1c69dfecd4839643a,38260
MTRN/experiments/historical_attribution/data/raw/filing_index.json,f70ebc25dfe5d079c9be52bd24ee8b7cd5e4e81e93723cf7f659fad1449022d9,152049
MTRN/experiments/historical_attribution/data/raw/submissions_ATI.json,43232e7dd79a1527b8450f29c1b74bd9d49650d6c905b86fb559a429d7fd1bcd,161682
MTRN/experiments/historical_attribution/data/raw/submissions_CRS.json,1447b4262098c5163523063c3bf3157e31216e2959981b7746987e1d5eeeb6c1,170792
MTRN/experiments/historical_attribution/data/raw/submissions_ELMT.json,b86d26cfc79b6c163ca3ed464611256e838881287a6bdcc9298a01efd5f8d667,10490
MTRN/experiments/historical_attribution/data/raw/submissions_ENTG.json,33fdd6dc4d3cb8f51f488daad333275a2ecf6abf5845ff4d9e87fbaa6743355a,161880
MTRN/experiments/historical_attribution/data/raw/submissions_MTRN.json,ab55efa94654c4036d48994915368b706062035aec9820d0d6919064b99d66fd,162166
MTRN/experiments/historical_attribution/sources/ELMT_2026-04-23_424B4.html,c019205ea82c3885abc71319c7effa65e772d7792789fe3b88c08de02d03c78d,9375215
MTRN/experiments/historical_attribution/sources/ELMT_2026-04-24_8-K.html,fdf464db0fe855ab10a26ce64da0b04b49cfa3f14f327baeb9bb1171f64deef5,39457
MTRN/experiments/historical_attribution/sources/ELMT_2026-05-26_8-K.html,69ee3246f20cee4b099544d6652fa6f27ef17dcecce562eb3b5d0e072f4a873e,27130
MTRN/experiments/historical_attribution/sources/ELMT_2026-05-29_10-Q.html,ccca5313d9ea091bd9a3fef258641e701dcedad154b660b8c35e7c0bcc084f4e,2207861
MTRN/experiments/historical_attribution/sources/ELMT_2026-05-29_8-K.html,fefc607cfdf4908eb7acfbb27826508659adfa4d8931295da43f90fbfd62f99f,27303
MTRN/experiments/historical_attribution/sources/ELMT_2026-08-13_10-Q.html,3b77d19a21e57a75073a90b904250be42f42192557e443dbf74550af82ef343e,2904086
MTRN/experiments/historical_attribution/sources/ELMT_2026-08-13_8-K.html,380c20408d4e8bdeeb5857f6be58aafc963f0c4cfc05a4954c59ef09b74404f5,26910
MTRN/experiments/historical_attribution/sources/ELMT_2026-09-08_8-K.html,ef9ace6579960a34b62c5669fec7c3cddc7eb1c7cb1a522a6f6e4de8c1948e15,46709
MTRN/experiments/historical_attribution/sources/ELMT_2026-09-14_8-K.html,bb538ad62113671143efa71823e1ef14494597c2b86f8a42ee03edd69b9fb020,161862
MTRN/experiments/historical_attribution/sources/ELMT_IPO.html,a53107b73afa4595e7ea2e79e25967285d163c346e5d51793d838f9969314f5e,23477
MTRN/experiments/historical_attribution/sources/ELMT_financing.html,0936db280e1bb9b12f21f7b62225f092fe1ae0f381bff5cf81f5ca44f529fdc6,33726
