ticker,n,start,end,mean,mean_se,mean_lo,mean_hi,variance,var_lo,var_hi,volatility,vol_lo,vol_hi,lag1_autocorrelation,block,reps,panel,frequency,basis,vol_annual,vol_annual_lo,vol_annual_hi
MTRN,291,2021-01-08,2026-07-31,0.005073696667120544,0.0030285776621621014,-0.0003983440272114314,0.011344596622449972,0.003068003825610701,0.002250773514155953,0.004127249904977513,0.05538956423019323,0.047442317756997844,0.06424367599209678,-0.07633812568802881,5,2000,recent,weekly,excess,0.3994198279151355,0.34211141859942285,0.4632677358275996
ENTG,291,2021-01-08,2026-07-31,0.00244151613065955,0.003505314706689681,-0.0041374363847135,0.00937385946607935,0.004484886253668802,0.003451496750228158,0.005623860208202738,0.06696929336396497,0.05874944042480879,0.07499240100305322,-0.015147708973636488,5,2000,recent,weekly,excess,0.4829224422107319,0.42364823971293,0.540777894173331
CRS,291,2021-01-08,2026-07-31,0.011714068161907443,0.003655031114449135,0.0044759444830782405,0.018781205659013676,0.004444352612574115,0.0033673271509469345,0.005496119057191857,0.06666597792408145,0.05802867524721665,0.07413581494252193,0.01032914144298153,5,2000,recent,weekly,excess,0.48073520346845205,0.4184507281021752,0.5346009642471444
ATI,291,2021-01-08,2026-07-31,0.009336435258652014,0.0036051723788864763,0.002219005450242014,0.016385669079286777,0.003356086226804353,0.0026073795725743473,0.004243017979240829,0.05793173764703034,0.051062506524595395,0.06513845238598188,0.0945630939066637,5,2000,recent,weekly,excess,0.4177517011261909,0.36821697105628637,0.4697200601640546
MTRN,102,2026-04-24,2026-09-18,0.004196372463011663,0.004478217553360187,-0.004085358702754353,0.013439725759283554,0.002300659783978943,0.0009153554778593126,0.004931952878511862,0.04796519346337449,0.030254842221689286,0.0702278639751478,0.0354545816362788,10,2000,matched,daily,total,0.7614238409471388,0.48028073084452055,1.114832779113078
ENTG,102,2026-04-24,2026-09-18,0.000835270873031141,0.004640597505587198,-0.008261523529782808,0.009956719964996901,0.0026302694487806114,0.0016808180159085628,0.0037158749434672506,0.05128615260263351,0.04099778062174296,0.06095797686494566,-0.009646372956077275,10,2000,matched,daily,total,0.8141424329272576,0.6508195909842894,0.9676778832616498
CRS,102,2026-04-24,2026-09-18,-6.114250684023197e-05,0.002995081279723089,-0.005160149930691114,0.006549253945423032,0.000740307522814551,0.000567714155372743,0.0009448621397303231,0.027208592812098,0.02382675293389225,0.030738609918640157,0.12341943072967106,10,2000,matched,daily,total,0.4319230206289853,0.378237976879545,0.4879603049552714
ATI,102,2026-04-24,2026-09-18,0.0025094003441305164,0.0028211453704831595,-0.002507641132946854,0.00850440919771056,0.0007495286990472662,0.000541657243225831,0.0009270425267013469,0.02737752178425334,0.023273530957416647,0.030447373067332868,0.09364409811038285,10,2000,matched,daily,total,0.43460468492632603,0.3694558502621246,0.48333706326821185
ELMT,102,2026-04-24,2026-09-18,0.004591650852935454,0.0051633036026768634,-0.0059932303606818884,0.01375480125150759,0.004605142929738734,0.002209340902969224,0.0063660154601705285,0.06786120342094394,0.04700362648742354,0.07978731390497194,-0.05391652835071931,10,2000,matched,daily,total,1.0772632075283,0.7461594384233469,1.2665843422224095
MTRN,68,2026-04-24,2026-07-31,0.0026546518647765833,0.004289102987605337,-0.0046303341822214045,0.0123346346300157,0.0014878651050006866,0.0007520909049779994,0.0018057730488793464,0.03857285450936561,0.02742427583324671,0.04249438843987929,0.0593024425251714,10,2000,matched,daily,excess,0.6123250823379466,0.4353468824448567,0.6745775035661916
ENTG,68,2026-04-24,2026-07-31,-0.0020793267896412376,0.005693227080381246,-0.011927954991883568,0.010971367349989651,0.0028157930588903505,0.0015551215243877002,0.004100448899234395,0.05306404676323085,0.039435029154137824,0.06403474759249383,-0.0506843834905955,10,2000,matched,daily,excess,0.8423656277652647,0.626011680518583,1.0165201043791843
CRS,68,2026-04-24,2026-07-31,0.0031407405655260886,0.0033838405540635255,-0.001626571389353186,0.01163268243231056,0.0007981674820210088,0.0005359203794228981,0.0008992205685395048,0.02825185802776534,0.023149954199153357,0.02998700666187782,0.048297884078498804,10,2000,matched,daily,excess,0.448484342501825,0.3674941300409713,0.47602897314339515
ATI,68,2026-04-24,2026-07-31,0.0030822961991654498,0.002789173911453811,-0.0016321920218048203,0.00924429307270513,0.0007286693218589147,0.0004817065786115986,0.0008967365553971921,0.026993875636131145,0.02194781489377926,0.029945559861141217,-0.03964644053563973,10,2000,matched,daily,excess,0.4285144911300509,0.34841076018131656,0.47537102557906535
ELMT,68,2026-04-24,2026-07-31,-0.0021198555377453404,0.006367002790968719,-0.011187674890796074,0.013373109074983621,0.0036571607598173865,0.0016878044339888327,0.006691622500298411,0.060474463700122105,0.0410828970982918,0.08180233798797203,0.0453516062166417,10,2000,matched,daily,excess,0.9600023497231563,0.6521707731608232,1.2985718578789547
MTRN,21,2026-05-01,2026-09-18,0.01961752929776926,0.016569752394376462,-0.015569575661748717,0.04856927959993334,0.011608816354106046,0.002909876107156999,0.02873826560292383,0.10774421726527157,0.053943267486842125,0.16952364319741312,-0.1597128919045513,5,2000,matched,weekly,total,0.7769545999693381,0.3889904337797575,1.2224523759034702
ENTG,21,2026-05-01,2026-09-18,0.0009358286745206625,0.017487697144077427,-0.03145732191312163,0.036506194298785204,0.011803429484869808,0.005882394761407997,0.019538785928758066,0.10864358924883608,0.07669677151880643,0.13978120735191146,0.0003172622582262955,5,2000,matched,weekly,total,0.7834400635742533,0.5530682847472054,1.0079766209071614
CRS,21,2026-05-01,2026-09-18,0.0002620231092232496,0.0188788623724221,-0.028155477080901475,0.046189047703246375,0.005124467773901226,0.0029509512555091363,0.00793392317967353,0.07158538799155331,0.054322658766937544,0.08907257254437827,-0.011777963619679428,5,2000,matched,weekly,total,0.5162095739550592,0.3917262632074534,0.6423114550924836
ATI,21,2026-05-01,2026-09-18,0.012414554936611435,0.012634700954967264,-0.007243633666765363,0.04169273937155822,0.004536179168912372,0.0019740754849050693,0.00904241751794369,0.06735116308507502,0.04443056926154637,0.09509162696023078,-0.115347558641821,5,2000,matched,weekly,total,0.48567614393075076,0.32039339134111927,0.6857154737448119
ELMT,21,2026-05-01,2026-09-18,0.021747575285199317,0.021219263798708695,-0.028634500613985744,0.05182186266452724,0.01723574989056919,0.005521101073938318,0.020395341874385943,0.1312849949178092,0.07430411209306197,0.14281226093856908,0.15214652526897549,5,2000,matched,weekly,total,0.9467095617503806,0.5358145722587175,1.0298338591579075
MTRN,127,2016-01-31,2026-07-31,0.02281741009920151,0.009524794842204917,0.006266134579820891,0.04400415492131041,0.013192603906226032,0.008147203201934327,0.018290927035743046,0.11485906105408503,0.09026185906535676,0.13524395378627116,-0.08304755474984796,3,2000,long,monthly,total,0.3978834589106619,0.3126762517736387,0.46849879874863776
ENTG,127,2016-01-31,2026-07-31,0.024226890451677564,0.009008844073366124,0.00931605811967282,0.04447609297434361,0.01341059273542068,0.008959549478306992,0.016786953861670856,0.11580411363773171,0.09465489674764319,0.129564477622807,-0.1658867584510951,3,2000,long,monthly,total,0.4011572170920625,0.3278941807042081,0.4488245161976452
CRS,127,2016-01-31,2026-07-31,0.03421514515336689,0.011664169643469358,0.010904861184712952,0.056767632924015356,0.020576258020406253,0.015346892370142792,0.02600844440260307,0.14344426799425014,0.12388257492538163,0.1612713378210867,-0.1453560811748095,3,2000,long,monthly,total,0.4969055204411348,0.42914182788643834,0.5586603018214529
ATI,127,2016-01-31,2026-07-31,0.034141851463570065,0.012779827075238098,0.008798594866679619,0.05854958591975388,0.023978386852826068,0.017281529438969646,0.03067677411903351,0.15484956200398522,0.13145923109074403,0.1751478635868377,-0.05062530151054587,3,2000,long,monthly,total,0.5364146178413791,0.4553881347462137,0.6067299971390916
MTRN,127,2016-01-31,2026-07-31,0.021007173878729066,0.009540300540513778,0.004188365987301638,0.04209403904964811,0.01320893558628747,0.008162346490633217,0.018328445419660912,0.11493013349982445,0.09034570543547278,0.13538258905657297,-0.0829802920708431,3,2000,long,monthly,excess,0.39812966108473963,0.31296670411978106,0.46897904541240526
ENTG,127,2016-01-31,2026-07-31,0.022416654231205126,0.009041134807635718,0.00758496597413992,0.04264038016138655,0.013444990240475446,0.009018665659630557,0.01679808926858991,0.11595253442885776,0.09496665551460974,0.12960744295213106,-0.16381127931539965,3,2000,long,monthly,excess,0.4016713617943223,0.32897414475239034,0.44897335246435155
CRS,127,2016-01-31,2026-07-31,0.03240490893289445,0.01159735112420149,0.009229898300046082,0.05490368652048802,0.020511313959700263,0.01525445801109849,0.02591525156539317,0.14321771524396087,0.12350893899268381,0.16098214672873876,-0.14931638713577847,3,2000,long,monthly,excess,0.49612071869294383,0.4278475150485064,0.5576585144913669
ATI,127,2016-01-31,2026-07-31,0.03233161524309762,0.012775042300480835,0.007091628837738284,0.05683386902529464,0.023974443092406095,0.017244258907734428,0.03066015424543203,0.15483682731316248,0.1313173975820966,0.1751004118939531,-0.05066982022576633,3,2000,long,monthly,excess,0.5363705035783317,0.45489680905982743,0.6065656196531289
MTRN,67,2021-01-31,2026-07-31,0.024836097444987323,0.013444460732193275,0.000765609638357156,0.05341652864597191,0.013509635675076204,0.007352010758855105,0.018304977522173135,0.11623095833329519,0.08574386717926306,0.13529588878518495,-0.081239305941162,3,2000,recent,monthly,total,0.4026358504913769,0.2970254687838423,0.46867870686225716
ENTG,67,2021-01-31,2026-07-31,0.011577533193588214,0.014274210575428041,-0.015020167324282229,0.042085561294000255,0.017050050288198663,0.009054624206227825,0.023520504309140884,0.13057584113532894,0.09515578913669849,0.15336396026818322,-0.11506598909818849,3,2000,recent,monthly,total,0.4523279821748638,0.32962932283814483,0.5312683424689358
CRS,67,2021-01-31,2026-07-31,0.05454774615397177,0.014729085851356771,0.02511502990535544,0.08222158609013887,0.020623278048798592,0.015874056547321953,0.024174336380140146,0.14360807097373945,0.12599228765016512,0.1554809839824155,-0.2232102464402386,3,2000,recent,monthly,total,0.4974729506069481,0.43645008714383754,0.5386019277366928
ATI,67,2021-01-31,2026-07-31,0.044916490519851096,0.015221994691452289,0.015227156447615435,0.07379623944923555,0.018197520788388124,0.012563796352399759,0.024804354435771243,0.1348981867498156,0.11208834173275899,0.1574939822208177,-0.06715059051425964,3,2000,recent,monthly,total,0.46730102659919065,0.388285405634563,0.5455751581856114
MTRN,67,2021-01-31,2026-07-31,0.022204754161405233,0.013449168401645242,-0.0019945500234091725,0.05074505983744365,0.013519974508180415,0.007373570334614334,0.018272235671782093,0.11627542521178073,0.08586949594946004,0.13517483372204345,-0.08189130422619534,3,2000,recent,monthly,excess,0.40278988827695883,0.2974606596095894,0.4682593598225081
ENTG,67,2021-01-31,2026-07-31,0.008946189910006123,0.014256349534241439,-0.017360684894797723,0.0394407421748284,0.017051670783096926,0.009042810095787559,0.02350110285499686,0.13058204617441452,0.09509369114608791,0.15330069424173154,-0.116225500315624,3,2000,recent,monthly,excess,0.45234947706078216,0.32941420908857394,0.5310491825245213
CRS,67,2021-01-31,2026-07-31,0.05191640287038967,0.014600316339113387,0.02272140393803441,0.07925045242601701,0.020545666024164584,0.01580694006674284,0.02402809702068881,0.14333759459459539,0.12572565397222174,0.1550099900673786,-0.22802148251684254,3,2000,recent,monthly,excess,0.49653599294509854,0.4355264409894238,0.5369703569548935
ATI,67,2021-01-31,2026-07-31,0.042285147236269,0.015207944916194907,0.012640560595788951,0.07116075437460868,0.018179849353476153,0.012602027106251844,0.02471813632423813,0.13483267168411428,0.11225875068898569,0.15722002520111147,-0.06766884787355948,3,2000,recent,monthly,excess,0.46707407575427884,0.38887571957506184,0.5446261432311688
