peer,n,start,end,mean_difference,mean_diff_lo,mean_diff_hi,variance_ratio,variance_ratio_lo,variance_ratio_hi,volatility_ratio,vol_ratio_lo,vol_ratio_hi,panel,frequency,basis
ENTG,1434,2021-01-04,2026-09-18,0.0005022175853434325,-0.0009762743841733563,0.0020941172258660944,0.6787048662184703,0.5267417702754145,0.8767937260796647,0.8238354606464026,0.7257697777363111,0.9363726427441506,recent,daily,total
CRS,1434,2021-01-04,2026-09-18,-0.000979878549258981,-0.0026534946349110284,0.0006182810856510436,0.8607320839296392,0.6629954615423285,1.1638666055647628,0.9277564787861302,0.8142453325271988,1.0788264946527606,recent,daily,total
ATI,1434,2021-01-04,2026-09-18,-0.0007161073298423161,-0.0021938183637347625,0.000735623861051776,1.0274880458430433,0.7939942111505378,1.3806598246375048,1.0136508500677357,0.8910635281227359,1.1750148189012362,recent,daily,total
ENTG,1400,2021-01-04,2026-07-31,0.0004994701455034857,-0.0009705036827682243,0.0020526520818293535,0.6261408672192292,0.4975835280645295,0.7641799510418621,0.7912906338503124,0.7053960079732019,0.8741738677413448,recent,daily,excess
CRS,1400,2021-01-04,2026-07-31,-0.0013374759987237418,-0.002936897269636604,0.00032255922536355696,0.7699677375205393,0.6152118087147758,0.954825944534276,0.8774780552928598,0.7843543897466092,0.9771519557030401,recent,daily,excess
ATI,1400,2021-01-04,2026-07-31,-0.0008771777727558576,-0.0023627886041650585,0.0006826492442243952,0.9264689600075295,0.7450377794214835,1.1317708665715644,0.962532576076015,0.8631557098354176,1.063847200763138,recent,daily,excess
ENTG,298,2021-01-08,2026-09-18,0.002681555008144062,-0.003553634538787139,0.00923774606459507,0.7626969783690977,0.5256261765716723,1.084528814275181,0.8733252420313394,0.7250008114282854,1.041407131853427,recent,weekly,total
CRS,298,2021-01-08,2026-09-18,-0.004875612974282716,-0.013060990546463322,0.0031263782817223446,0.8021360695773038,0.5440373620756114,1.22996075400165,0.8956204941699937,0.737588884186585,1.1090359570373045,recent,weekly,total
ATI,298,2021-01-08,2026-09-18,-0.003473656097848446,-0.011129320429280085,0.0036100019773563988,1.0315053874340787,0.7101180795355145,1.4842988790747578,1.0156305368755307,0.8426850417181466,1.2183180533320344,recent,weekly,total
ENTG,291,2021-01-08,2026-07-31,0.0026321805364609937,-0.003894982442396854,0.009438718428655197,0.6840761731918978,0.4744495675731625,1.0190261459505823,0.827088975378041,0.6888029961993215,1.0094682491047364,recent,weekly,excess
CRS,291,2021-01-08,2026-07-31,-0.0066403714947869,-0.014500369538863921,0.0019406132178381571,0.6903151241714258,0.488765344160094,1.0053250602529524,0.8308520471007013,0.6991175467402416,1.0026589949992732,recent,weekly,excess
ATI,291,2021-01-08,2026-07-31,-0.00426273859153147,-0.011734878673500024,0.003254358452724115,0.9141612039366573,0.6327885019745118,1.280113245553592,0.9561177772307433,0.7954800449882522,1.1314208967283537,recent,weekly,excess
ENTG,102,2026-04-24,2026-09-18,0.003361101589980522,-0.0016544353756500116,0.009379705156150159,0.8746859699281095,0.35902295621109165,1.6419888205155646,0.9352464754962242,0.5991852436526551,1.2814011161675976,matched,daily,total
