ticker,factor,beta,beta_boot_lo,beta_boot_hi,contribution,contribution_lo,contribution_hi,panel,frequency,model,basis
CRS,HML,0.5266117182754606,-0.06542861094349937,1.0273610109413627,0.0002894291176033631,-0.00541997037077197,0.003669929189599635,long,monthly,MKT + SMB + HML + MOM + SEMIS + DEFENSE,excess
CRS,MOM,-0.11107281226441124,-0.6871644324584025,0.3878635728608154,-0.00012786492246501515,-0.0026810806800210063,0.002319453518179786,long,monthly,MKT + SMB + HML + MOM + SEMIS + DEFENSE,excess
CRS,SEMIS,0.1861328735638423,-0.34574102081966235,0.47359283703153826,0.004688054213384528,-0.008305004413515614,0.015809796245330993,long,monthly,MKT + SMB + HML + MOM + SEMIS + DEFENSE,excess
CRS,DEFENSE,1.0870089510885144,0.6510248730391723,1.459275073208336,0.013022674369395337,0.003051647824893894,0.02558250365445993,long,monthly,MKT + SMB + HML + MOM + SEMIS + DEFENSE,excess
ATI,const,0.017655207682078476,-0.0009236989624338801,0.03577656095192442,0.017655207682078476,-0.0009236989624338801,0.03577656095192442,long,monthly,MKT + SMB + HML + MOM + SEMIS + DEFENSE,excess
ATI,MKT,-0.8471880032494483,-1.7259150538502006,0.2382767856815542,-0.009164306132788127,-0.023291036891392777,0.002635897054739815,long,monthly,MKT + SMB + HML + MOM + SEMIS + DEFENSE,excess
ATI,SMB,1.2131491875319647,0.5533567434629887,1.858416014470971,-0.0017108269250942908,-0.007347357959385177,0.005138780216693446,long,monthly,MKT + SMB + HML + MOM + SEMIS + DEFENSE,excess
ATI,HML,0.20968893085038526,-0.42596154089619326,0.72850462730033,0.00011524635727052659,-0.0029241108776638506,0.002383812195425528,long,monthly,MKT + SMB + HML + MOM + SEMIS + DEFENSE,excess
ATI,MOM,-0.5127094945775789,-0.9727219096782213,-0.01334869255735797,-0.000590221481159386,-0.004711427654891967,0.002973240371456157,long,monthly,MKT + SMB + HML + MOM + SEMIS + DEFENSE,excess
ATI,SEMIS,0.29523261721338123,-0.09058253014476453,0.589347075447001,0.00743590580511297,-0.001996225229522764,0.01844748016221867,long,monthly,MKT + SMB + HML + MOM + SEMIS + DEFENSE,excess
ATI,DEFENSE,1.5517672357639545,1.0657677781042574,2.0019717696300674,0.01859060993767766,0.00453814484873683,0.035428483911058316,long,monthly,MKT + SMB + HML + MOM + SEMIS + DEFENSE,excess
MTRN,const,0.013322172264959537,-0.008521112367996592,0.043622939457338,0.013322172264959537,-0.008521112367996592,0.043622939457338,recent,monthly,MKT + SMB + HML + MOM,excess
MTRN,MKT,1.0231258224561781,0.49409481631529645,1.4262982244155382,0.009139414996119737,0.00021239436246568697,0.020876729936334746,recent,monthly,MKT + SMB + HML + MOM,excess
MTRN,SMB,1.6448762850043832,1.0310634970303338,2.3867477653303424,-0.006473938453069491,-0.018467263505165022,0.0013036445511101233,recent,monthly,MKT + SMB + HML + MOM,excess
MTRN,HML,0.3649489209370649,-0.16947818856651847,0.8595104483547766,0.0028466015833091066,-0.0019124399021388527,0.008877802593412688,recent,monthly,MKT + SMB + HML + MOM,excess
MTRN,MOM,0.9935052907870483,0.16972473162540433,1.4440920856015025,0.003370503770088001,-0.003432145415790719,0.013656739889335587,recent,monthly,MKT + SMB + HML + MOM,excess
ENTG,const,0.0027542261072859885,-0.023168547722345355,0.03888794871187874,0.0027542261072859885,-0.023168547722345355,0.03888794871187874,recent,monthly,MKT + SMB + HML + MOM,excess
ENTG,MKT,1.2272699638462776,0.5177753194144535,1.6553847217073574,0.010963001094955179,0.00026841167698007993,0.02222396926562952,recent,monthly,MKT + SMB + HML + MOM,excess
ENTG,SMB,1.2419560154094353,-0.06701255113844906,2.6075042481872943,-0.004888116436768181,-0.018513795628648664,0.001087909124046497,recent,monthly,MKT + SMB + HML + MOM,excess
ENTG,HML,-0.17181638430183543,-1.1225164752742225,0.6887417125618956,-0.0013401677975543166,-0.007984846580494122,0.00804556368423456,recent,monthly,MKT + SMB + HML + MOM,excess
ENTG,MOM,0.4295448531459979,-0.7188812283486177,1.2658977593577305,0.0014572469420908256,-0.003301766585938582,0.010663782419221165,recent,monthly,MKT + SMB + HML + MOM,excess
CRS,const,0.03992614508888462,0.008517446933018133,0.07590184490563315,0.03992614508888462,0.008517446933018133,0.07590184490563315,recent,monthly,MKT + SMB + HML + MOM,excess
CRS,MKT,1.1921071622731416,0.5552031939473537,1.647299245401836,0.010648897561499627,0.00027942297583365404,0.02223112492888183,recent,monthly,MKT + SMB + HML + MOM,excess
CRS,SMB,1.4265066512674365,0.16301971998506476,2.5681363167031077,-0.005614474685660046,-0.01914346411296925,0.0012572464573316633,recent,monthly,MKT + SMB + HML + MOM,excess
CRS,HML,0.9058614132601357,0.0938636858894671,1.6527297034563682,0.00706571902342906,-0.0037116871956643146,0.01746737209162131,recent,monthly,MKT + SMB + HML + MOM,excess
CRS,MOM,-0.032389951121774174,-0.8319241364088727,0.8007396109640524,-0.00010988411776088463,-0.0059386202869001516,0.00530401654434649,recent,monthly,MKT + SMB + HML + MOM,excess
ATI,const,0.03111892653868447,0.0003412615720655547,0.06637076297402394,0.03111892653868447,0.0003412615720655547,0.06637076297402394,recent,monthly,MKT + SMB + HML + MOM,excess
ATI,MKT,1.0256568340277594,0.428946260621436,1.624304670527756,0.009162024106949461,0.00013207517237688975,0.02400547724526401,recent,monthly,MKT + SMB + HML + MOM,excess
ATI,SMB,0.9550757291266814,0.24196778928632406,1.9587275253801693,-0.003759007011503073,-0.014903671124833089,0.0007092526361738227,recent,monthly,MKT + SMB + HML + MOM,excess
ATI,HML,0.7943565160660928,-0.022270322086117834,1.398155845373854,0.006195980825315525,-0.002671960294754979,0.01832505480689853,recent,monthly,MKT + SMB + HML + MOM,excess
ATI,MOM,-0.12756741730191978,-0.7457613919202267,0.4790396952175059,-0.0004327772231750204,-0.005197424426484954,0.003709475848998896,recent,monthly,MKT + SMB + HML + MOM,excess
MTRN,const,0.0023134212360776843,-0.005396812813170999,0.010891164085312672,0.0023134212360776843,-0.005396812813170999,0.010891164085312672,matched,daily,SPY,total
MTRN,SPY,2.3823551784426957,1.7382440756082693,3.1685346666751593,0.0018829512269339728,-0.001069246722304799,0.005438117518299774,matched,daily,SPY,total
ENTG,const,-0.0024517609996468743,-0.011413053570015885,0.006459915337408827,-0.0024517609996468743,-0.011413053570015885,0.006459915337408827,matched,daily,SPY,total
ENTG,SPY,4.158831780434241,3.0932112774838427,5.042442751477744,0.0032870318726780116,-0.0018775655341530767,0.009792203723188385,matched,daily,SPY,total
CRS,const,-0.0012861351670320135,-0.006631428973037607,0.00561287373833542,-0.0012861351670320135,-0.006631428973037607,0.00561287373833542,matched,daily,SPY,total
CRS,SPY,1.5498901754955137,1.1490253822948553,2.2582470364731617,0.001224992660191783,-0.0006640650881483047,0.003990335024660696,matched,daily,SPY,total
ATI,const,0.001293930599044753,-0.003109992926287395,0.007003232030358295,0.001293930599044753,-0.003109992926287395,0.007003232030358295,matched,daily,SPY,total
