task,horizon,ticker,model,n,rmse,mae,r2_oos,bias,forecast_correlation,fallback_count,start,end,directional_accuracy,always_up_accuracy,benchmark_directional_accuracy,zero_forecasts,qlike,volatility_rmse,volatility_mae,volatility_correlation
variance,1,ENTG,variance_forest,44,0.0011439438725608,0.0005444283551694,0.1102627340570607,-0.0003313574046793,0.3081494527993856,0,2023-01-31,2026-08-31,,,,,0.2661776347870372,0.0119355432524849,0.0070558304066004,0.4250586954494291
variance,1,ENTG,variance_ridge,44,0.0011184851530339,0.0005416827973083,0.1494246443918703,-0.0002708438579696,0.3267417219247722,0,2023-01-31,2026-08-31,,,,,0.2345624695482762,0.011635266603246,0.007050593018366,0.4376083345444614
variance,1,MTRN,arch1,44,0.0010189846462608,0.0005454157546177,-0.2398115885801051,-0.0001505755212636,-0.1090885429016775,0,2023-01-31,2026-08-31,,,,,0.378088992078764,0.0123247171198125,0.0088994012430078,-0.1635463123420875
variance,1,MTRN,business_pair_ridge,44,0.0008895613127228,0.0004732768169788,0.055129728374793,-0.0001937833186678,0.6110889270416167,0,2023-01-31,2026-08-31,,,,,0.281629943222168,0.0106582216576932,0.0075581401639037,0.5053350622087929
variance,1,MTRN,ewma94,44,0.0009126926328794,0.0005661919305781,0.0053518003349705,-0.0001646447613804,0.4446092913046571,0,2023-01-31,2026-08-31,,,,,0.473686284731311,0.0125076583254908,0.0094212374033556,0.282018196025297
variance,1,MTRN,garch11,44,0.0010181444735312,0.0005298640986213,-0.2377679337369949,-0.0001922308179304,0.0261526087678398,0,2023-01-31,2026-08-31,,,,,0.3782361332051877,0.0122014593285795,0.0086117794422187,-0.0566692884090991
variance,1,MTRN,garchx_business,44,0.0009299964816576,0.0004819280135992,-0.0327210325259468,-0.0002263859004921,0.5327585731617063,0,2023-01-31,2026-08-31,,,,,0.3110719730595844,0.0110628293895634,0.0077138006042559,0.4527770230699871
variance,1,MTRN,garchx_industry,44,0.0009229558600262,0.0004742622512848,-0.0171436076370152,-0.0002254777186354,0.5677268296387858,0,2023-01-31,2026-08-31,,,,,0.2883835632953762,0.0108628410865988,0.007552902779809,0.5024170407887092
variance,1,MTRN,garchx_market,44,0.0010255673647963,0.0005102840859326,-0.2558818839751662,-0.0002764066838958,0.1594191997482121,0,2023-01-31,2026-08-31,,,,,0.3950088602781124,0.0121947637198181,0.0081591386110527,0.1854073886524389
variance,1,MTRN,historical_variance252,44,0.0009947650571359,0.0005308194177153,-0.1815754364827746,-0.0001552053346617,0.193660756352836,0,2023-01-31,2026-08-31,,,,,0.3378021995382081,0.0120535514539024,0.0085825661570533,0.1295358884324436
variance,1,MTRN,historical_variance63,44,0.0009151447540973,0.0005113276875002,0.0,-0.0001308716313129,0.4554581993024681,0,2023-01-31,2026-08-31,,,,,0.2967417914874257,0.0113102387510862,0.0082794137876702,0.3624456297059609
