task,horizon,ticker,model,n,rmse,mae,r2_oos,bias,forecast_correlation,fallback_count,start,end,directional_accuracy,always_up_accuracy,benchmark_directional_accuracy,zero_forecasts,qlike,root_variance_rmse,root_variance_mae,root_variance_correlation
return,1,ATI,market_mean,44,0.1427406360565092,0.1080175843753256,-0.0703646037585921,-0.0390548875616097,-0.188148390043542,0,2023-01-31,2026-08-31,0.6590909090909091,0.6590909090909091,0.6590909090909091,0.0,,,,
return,1,ATI,ridge_full,44,0.136967956757054,0.1049856312262467,0.0144595865704026,-0.0230232843978782,0.0776953710683652,0,2023-01-31,2026-08-31,0.6590909090909091,0.6590909090909091,0.6590909090909091,0.0,,,,
return,1,ATI,zero,44,0.1454277109920523,0.1123133657608733,-0.111042879589323,-0.0530337138592016,,0,2023-01-31,2026-08-31,0.0,0.6590909090909091,0.6590909090909091,44.0,,,,
return,1,CRS,ar1,44,0.1437135377767786,0.1134630057274619,0.0256011642654442,-0.0487606761498294,0.2175806781505228,0,2023-01-31,2026-08-31,0.6136363636363636,0.6363636363636364,0.6363636363636364,0.0,,,,
return,1,CRS,arimax,44,0.150673108208214,0.1272893093546934,-0.0710577550543958,-0.0046663280671514,-0.1017533463765239,0,2023-01-31,2026-08-31,0.6136363636363636,0.6363636363636364,0.6363636363636364,0.0,,,,
return,1,CRS,arx,44,0.1483688227505708,0.1253044322163722,-0.0385482945253745,-0.00797384656484,-0.0466793737208473,0,2023-01-31,2026-08-31,0.6136363636363636,0.6363636363636364,0.6363636363636364,0.0,,,,
return,1,CRS,boost_full,44,0.1469881675977175,0.1176934373620111,-0.0193096767004212,-0.0428549677827896,-0.0805431537382109,0,2023-01-31,2026-08-31,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.0,,,,
return,1,CRS,capm_style,44,0.1462926746574587,0.1172054329085941,-0.0096865142735533,-0.0397941816421974,-0.1007350122286174,0,2023-01-31,2026-08-31,0.5909090909090909,0.6363636363636364,0.6363636363636364,0.0,,,,
return,1,CRS,core_ols,44,0.1506037879193894,0.1272501123494902,-0.0700724570858719,-0.0073877846102206,-0.1269961892432317,0,2023-01-31,2026-08-31,0.6136363636363636,0.6363636363636364,0.6363636363636364,0.0,,,,
return,1,CRS,core_ridge,44,0.1525081601843353,0.1258305460561859,-0.0973055080632638,-0.0183530784041117,-0.1914631676765149,0,2023-01-31,2026-08-31,0.6590909090909091,0.6363636363636364,0.6363636363636364,0.0,,,,
return,1,CRS,distributed_all_lag1,44,0.1527248259595516,0.12431420210424,-0.1004255697169607,-0.0288460941993793,-0.169837202299111,0,2023-01-31,2026-08-31,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.0,,,,
return,1,CRS,elastic_full,44,0.1492773646027307,0.1229224099931644,-0.0513064137780476,-0.0265146028006461,-0.1070088688019208,0,2023-01-31,2026-08-31,0.5909090909090909,0.6363636363636364,0.6363636363636364,0.0,,,,
return,1,CRS,forest_full,44,0.1489787054115816,0.1200139435405743,-0.0471039249165861,-0.0460100026850898,-0.0197100124286557,0,2023-01-31,2026-08-31,0.5227272727272727,0.6363636363636364,0.6363636363636364,0.0,,,,
return,1,CRS,historical_mean,44,0.1455892478271533,0.117394687702845,0.0,-0.0434808602733282,-0.1555934292323482,0,2023-01-31,2026-08-31,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.0,,,,
return,1,CRS,lasso_full,44,0.1541686319660451,0.1266828032600069,-0.1213299775799845,-0.0401797833597358,-0.1511658235330479,0,2023-01-31,2026-08-31,0.5681818181818182,0.6363636363636364,0.6363636363636364,0.0,,,,
return,1,CRS,market_mean,44,0.1493198068053615,0.1176167884385193,-0.0519043088849704,-0.0553014696428875,-0.0601950762780163,0,2023-01-31,2026-08-31,0.5909090909090909,0.6363636363636364,0.6363636363636364,0.0,,,,
return,1,CRS,ridge_full,44,0.1482180679243712,0.1214155122755577,-0.0364388671842215,-0.0268917530530773,-0.1274966308230051,0,2023-01-31,2026-08-31,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.0,,,,
return,1,CRS,zero,44,0.1543397871640342,0.1201883153345975,-0.1238211197237622,-0.0692802959404794,,0,2023-01-31,2026-08-31,0.0,0.6363636363636364,0.6363636363636364,44.0,,,,
return,1,ENTG,ar1,44,0.1431600248507674,0.113703512812658,0.0188727605569389,0.0001554126775762,0.103221664174856,0,2023-01-31,2026-08-31,0.4090909090909091,0.4545454545454545,0.4545454545454545,0.0,,,,
return,1,ENTG,arimax,44,0.1509653681500197,0.1209188918673284,-0.0910294259621979,-0.0108810988881524,0.0073321765951224,0,2023-01-31,2026-08-31,0.4772727272727273,0.4545454545454545,0.4545454545454545,0.0,,,,
return,1,ENTG,arx,44,0.1514423394648982,0.1219079114687963,-0.0979344774380504,-0.0123704690418532,-0.0081130853790082,0,2023-01-31,2026-08-31,0.4772727272727273,0.4545454545454545,0.4545454545454545,0.0,,,,
return,1,ENTG,boost_full,44,0.1445303646540496,0.1121163164192182,0.0,-0.0013649265366219,-0.2350457294149121,0,2023-01-31,2026-08-31,0.4545454545454545,0.4545454545454545,0.4545454545454545,0.0,,,,
return,1,ENTG,capm_style,44,0.147219760363107,0.1156050913427306,-0.0375619008184195,0.0015851418731166,-0.2504503535355774,0,2023-01-31,2026-08-31,0.4318181818181818,0.4545454545454545,0.4545454545454545,0.0,,,,
return,1,ENTG,core_ols,44,0.1502044354884656,0.1212158504605714,-0.0800585967385689,-0.0101094751165801,0.0041619363730114,0,2023-01-31,2026-08-31,0.4772727272727273,0.4545454545454545,0.4545454545454545,0.0,,,,
return,1,ENTG,core_ridge,44,0.146409388449747,0.1151594093111266,-0.0261708090727199,-0.0054040366925379,-0.0942519474313129,0,2023-01-31,2026-08-31,0.4090909090909091,0.4545454545454545,0.4545454545454545,0.0,,,,
return,1,ENTG,distributed_all_lag1,44,0.1483795915204338,0.1167864265526982,-0.0539746016002025,-0.0038308292876909,-0.137165057357729,0,2023-01-31,2026-08-31,0.3863636363636363,0.4545454545454545,0.4545454545454545,0.0,,,,
return,1,ENTG,elastic_full,44,0.1498768106763655,0.1194578754781554,-0.0753521034609754,-0.0058764773265206,-0.0733158769651014,0,2023-01-31,2026-08-31,0.4318181818181818,0.4545454545454545,0.4545454545454545,0.0,,,,
return,1,ENTG,forest_full,44,0.1445303646540496,0.1121163164192182,0.0,-0.0013649265366219,-0.2350457294149121,0,2023-01-31,2026-08-31,0.4545454545454545,0.4545454545454545,0.4545454545454545,0.0,,,,
return,1,ENTG,historical_mean,44,0.1445303646540496,0.1121163164192182,0.0,-0.0013649265366219,-0.2350457294149121,0,2023-01-31,2026-08-31,0.4545454545454545,0.4545454545454545,0.4545454545454545,0.0,,,,
return,1,ENTG,lasso_full,44,0.1488064279758522,0.1177839827512683,-0.0600471597605127,-0.005844980599899,-0.0660056776809412,0,2023-01-31,2026-08-31,0.4318181818181818,0.4545454545454545,0.4545454545454545,0.0,,,,
return,1,ENTG,market_mean,44,0.1464930055122268,0.1121407317579357,-0.0273432733808409,-0.0127968876838693,-0.214103167105631,0,2023-01-31,2026-08-31,0.4545454545454545,0.4545454545454545,0.4545454545454545,0.0,,,,
return,1,ENTG,ridge_full,44,0.1494642378469233,0.1180197065856033,-0.0694399091086777,-0.0038611495825049,-0.1674578864860152,0,2023-01-31,2026-08-31,0.4318181818181818,0.4545454545454545,0.4545454545454545,0.0,,,,
return,1,ENTG,zero,44,0.146317418608125,0.1084799788310376,-0.0248819965791209,-0.0267757139814612,,0,2023-01-31,2026-08-31,0.0,0.4545454545454545,0.4545454545454545,44.0,,,,
return,1,MTRN,ar1,44,0.1341957805458548,0.1074694241101411,-0.0125825177771647,-0.0123018981118026,-0.1794543003625121,0,2023-01-31,2026-08-31,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.0,,,,
return,1,MTRN,arimax,44,0.1458536445641068,0.1113031294178914,-0.1961544901915606,-0.0480363929237472,0.0148235525913367,0,2023-01-31,2026-08-31,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.0,,,,
return,1,MTRN,arx,44,0.1383818887548069,0.1069479261765896,-0.0767409034335568,-0.0353591600643377,0.0784093273496827,0,2023-01-31,2026-08-31,0.5909090909090909,0.5454545454545454,0.5454545454545454,0.0,,,,
