task,ticker,expanded,reduced,excluded,full_mean,mean_loss_reduction,pvalue,sign_flip
variance,ENTG,pooled_ridge,historical_variance63,2024-09,0.1077188056342692,0.1098553628111189,0.415,False
variance,ENTG,pooled_ridge,historical_variance63,2024-10,0.1077188056342692,0.1076033232442799,0.449,False
variance,ENTG,pooled_ridge,historical_variance63,2024-11,0.1077188056342692,0.110340048789221,0.417,False
variance,ENTG,pooled_ridge,historical_variance63,2024-12,0.1077188056342692,0.1104364281442621,0.417,False
variance,ENTG,pooled_ridge,historical_variance63,2025-01,0.1077188056342692,0.1140611579523265,0.396,False
variance,ENTG,pooled_ridge,historical_variance63,2025-02,0.1077188056342692,0.1104039153608163,0.411,False
variance,ENTG,pooled_ridge,historical_variance63,2025-03,0.1077188056342692,0.1090163751474083,0.414,False
variance,ENTG,pooled_ridge,historical_variance63,2025-04,0.1077188056342692,-0.0039405944053522,0.959,True
variance,ENTG,pooled_ridge,historical_variance63,2025-05,0.1077188056342692,0.1108009384138221,0.443,False
variance,ENTG,pooled_ridge,historical_variance63,2025-06,0.1077188056342692,0.1032977221322398,0.46,False
variance,ENTG,pooled_ridge,historical_variance63,2025-07,0.1077188056342692,0.1060755479219049,0.452,False
variance,ENTG,pooled_ridge,historical_variance63,2025-08,0.1077188056342692,0.1093825519974103,0.427,False
variance,ENTG,pooled_ridge,historical_variance63,2025-09,0.1077188056342692,0.1085228660731897,0.435,False
variance,ENTG,pooled_ridge,historical_variance63,2025-10,0.1077188056342692,0.1131511942165838,0.385,False
variance,ENTG,pooled_ridge,historical_variance63,2025-11,0.1077188056342692,0.1101365459027488,0.421,False
variance,ENTG,pooled_ridge,historical_variance63,2025-12,0.1077188056342692,0.1101282296817158,0.421,False
variance,ENTG,pooled_ridge,historical_variance63,2026-01,0.1077188056342692,0.1104160218280204,0.419,False
variance,ENTG,pooled_ridge,historical_variance63,2026-02,0.1077188056342692,0.1123446683410748,0.401,False
variance,ENTG,pooled_ridge,historical_variance63,2026-03,0.1077188056342692,0.1150923091471804,0.376,False
variance,ENTG,pooled_ridge,historical_variance63,2026-04,0.1077188056342692,0.1109102407263787,0.414,False
variance,ENTG,pooled_ridge,historical_variance63,2026-05,0.1077188056342692,0.110104818093968,0.421,False
variance,ENTG,pooled_ridge,historical_variance63,2026-06,0.1077188056342692,0.1207469211823705,0.315,False
variance,ENTG,pooled_ridge,historical_variance63,2026-07,0.1077188056342692,0.1242027605034132,0.274,False
variance,ENTG,pooled_ridge,historical_variance63,2026-08,0.1077188056342692,0.1118679543697164,0.402,False
variance,CRS,pooled_ridge,historical_variance63,2023-01,0.0627195549354318,0.0644534810576827,0.001,False
variance,CRS,pooled_ridge,historical_variance63,2023-02,0.0627195549354318,0.0653501700501994,0.001,False
variance,CRS,pooled_ridge,historical_variance63,2023-03,0.0627195549354318,0.0594157776107323,0.008,False
variance,CRS,pooled_ridge,historical_variance63,2023-04,0.0627195549354318,0.0637123164255201,0.001,False
variance,CRS,pooled_ridge,historical_variance63,2023-05,0.0627195549354318,0.0640854754190149,0.001,False
variance,CRS,pooled_ridge,historical_variance63,2023-06,0.0627195549354318,0.0616795487942505,0.001,False
variance,CRS,pooled_ridge,historical_variance63,2023-07,0.0627195549354318,0.0643445739736899,0.001,False
variance,CRS,pooled_ridge,historical_variance63,2023-08,0.0627195549354318,0.069252013699723,0.001,False
variance,CRS,pooled_ridge,historical_variance63,2023-09,0.0627195549354318,0.0666127026509083,0.001,False
variance,CRS,pooled_ridge,historical_variance63,2023-10,0.0627195549354318,0.0560884990012561,0.033,False
variance,CRS,pooled_ridge,historical_variance63,2023-11,0.0627195549354318,0.0638600701991774,0.001,False
variance,CRS,pooled_ridge,historical_variance63,2023-12,0.0627195549354318,0.0648711941144707,0.001,False
variance,CRS,pooled_ridge,historical_variance63,2024-01,0.0627195549354318,0.0641827645268844,0.001,False
variance,CRS,pooled_ridge,historical_variance63,2024-02,0.0627195549354318,0.065375049777551,0.001,False
variance,CRS,pooled_ridge,historical_variance63,2024-03,0.0627195549354318,0.06522622985315,0.001,False
variance,CRS,pooled_ridge,historical_variance63,2024-04,0.0627195549354318,0.0654803046054691,0.001,False
variance,CRS,pooled_ridge,historical_variance63,2024-05,0.0627195549354318,0.0522983166097305,0.039,False
variance,CRS,pooled_ridge,historical_variance63,2024-06,0.0627195549354318,0.0661174603498104,0.002,False
variance,CRS,pooled_ridge,historical_variance63,2024-07,0.0627195549354318,0.0668870160533682,0.002,False
variance,CRS,pooled_ridge,historical_variance63,2024-08,0.0627195549354318,0.0599356115433792,0.005,False
variance,CRS,pooled_ridge,historical_variance63,2024-09,0.0627195549354318,0.0644667614165843,0.002,False
variance,CRS,pooled_ridge,historical_variance63,2024-10,0.0627195549354318,0.0636640919666324,0.002,False
variance,CRS,pooled_ridge,historical_variance63,2024-11,0.0627195549354318,0.0619904492016005,0.003,False
variance,CRS,pooled_ridge,historical_variance63,2024-12,0.0627195549354318,0.061720009400572,0.003,False
variance,CRS,pooled_ridge,historical_variance63,2025-01,0.0627195549354318,0.063730101997225,0.003,False
variance,CRS,pooled_ridge,historical_variance63,2025-02,0.0627195549354318,0.0663252357049062,0.002,False
variance,CRS,pooled_ridge,historical_variance63,2025-03,0.0627195549354318,0.0622497578399369,0.003,False
variance,CRS,pooled_ridge,historical_variance63,2025-04,0.0627195549354318,0.0605693765363453,0.003,False
variance,CRS,pooled_ridge,historical_variance63,2025-05,0.0627195549354318,0.0630680738899135,0.003,False
variance,CRS,pooled_ridge,historical_variance63,2025-06,0.0627195549354318,0.0516465143004403,0.003,False
variance,CRS,pooled_ridge,historical_variance63,2025-07,0.0627195549354318,0.064125020738059,0.003,False
variance,CRS,pooled_ridge,historical_variance63,2025-08,0.0627195549354318,0.0681067574111449,0.003,False
variance,CRS,pooled_ridge,historical_variance63,2025-09,0.0627195549354318,0.0630798400769021,0.003,False
variance,CRS,pooled_ridge,historical_variance63,2025-10,0.0627195549354318,0.0430909452143602,0.003,False
variance,CRS,pooled_ridge,historical_variance63,2025-11,0.0627195549354318,0.0592374770796239,0.003,False
variance,CRS,pooled_ridge,historical_variance63,2025-12,0.0627195549354318,0.0563248997710565,0.003,False
variance,CRS,pooled_ridge,historical_variance63,2026-01,0.0627195549354318,0.0655353724853719,0.001,False
variance,CRS,pooled_ridge,historical_variance63,2026-02,0.0627195549354318,0.0657555259030504,0.001,False
variance,CRS,pooled_ridge,historical_variance63,2026-03,0.0627195549354318,0.0661629295659868,0.001,False
