task,horizon,ticker,model,n,rmse,mae,r2_oos,bias,forecast_correlation,fallback_count,start,end,directional_accuracy,always_up_accuracy,benchmark_directional_accuracy,zero_forecasts,qlike,volatility_rmse,volatility_mae,volatility_correlation
return,3,ATI,forest_full,38,0.2302607880862315,0.1853354736462729,-0.0988299915786399,-0.092923762493002,0.1237591456820314,0,2023-07-31,2026-08-31,0.6578947368421053,0.7105263157894737,0.7105263157894737,0.0,,,,
return,3,ATI,historical_mean,38,0.2196618993237135,0.1733142251391475,0.0,-0.0685165958647247,0.0368297336890162,0,2023-07-31,2026-08-31,0.7105263157894737,0.7105263157894737,0.7105263157894737,0.0,,,,
return,3,ATI,ridge_full,38,0.262826317286095,0.2043274821856415,-0.4316215616228513,-0.1498266924836815,0.2891281601395004,0,2023-07-31,2026-08-31,0.7105263157894737,0.7105263157894737,0.7105263157894737,0.0,,,,
return,3,CRS,boost_full,38,0.2483443413246284,0.1901701654185693,0.047915310538332,-0.1328431829786994,0.1007273390891062,0,2023-07-31,2026-08-31,0.868421052631579,0.9210526315789472,0.9210526315789472,0.0,,,,
return,3,CRS,core_ols,38,0.232872314281378,0.1796734628607261,0.1628510012419669,-0.0329413725235411,-0.0103253077370022,0,2023-07-31,2026-08-31,0.868421052631579,0.9210526315789472,0.9210526315789472,0.0,,,,
return,3,CRS,forest_full,38,0.2483546372947091,0.1987940041907475,0.0478363650014558,-0.0933873585110973,-0.097282210729679,0,2023-07-31,2026-08-31,0.868421052631579,0.9210526315789472,0.9210526315789472,0.0,,,,
return,3,CRS,historical_mean,38,0.2545168139794539,0.1908100983814835,0.0,-0.1448215188225342,-0.1076651118647566,0,2023-07-31,2026-08-31,0.9210526315789472,0.9210526315789472,0.9210526315789472,0.0,,,,
return,3,CRS,ridge_full,38,0.2650027015163735,0.2063257287018005,-0.0840957611077646,-0.1031177834268787,-0.1322865161440665,0,2023-07-31,2026-08-31,0.8157894736842105,0.9210526315789472,0.9210526315789472,0.0,,,,
return,3,ENTG,boost_full,38,0.2491282674744993,0.214895135788006,-0.1590049677862537,-0.0048082780769898,-0.3283466370193587,0,2023-07-31,2026-08-31,0.2368421052631578,0.4210526315789473,0.4210526315789473,0.0,,,,
return,3,ENTG,core_ols,38,0.2535675258748348,0.2138793453297463,-0.2006779862102337,0.011038536812158,-0.117922570863703,0,2023-07-31,2026-08-31,0.3421052631578947,0.4210526315789473,0.4210526315789473,0.0,,,,
return,3,ENTG,forest_full,38,0.2487979977222495,0.2110360063972787,-0.1559340151515402,-0.0217147909183917,-0.305162572036866,0,2023-07-31,2026-08-31,0.2105263157894736,0.4210526315789473,0.4210526315789473,0.0,,,,
return,3,ENTG,historical_mean,38,0.2314090604550348,0.1963174855679492,0.0,0.0217834585280457,-0.331286993966078,0,2023-07-31,2026-08-31,0.4210526315789473,0.4210526315789473,0.4210526315789473,0.0,,,,
return,3,ENTG,ridge_full,38,0.2413881059211327,0.212616955343654,-0.0881055259831375,-0.0019722407594226,-0.0870795555260985,0,2023-07-31,2026-08-31,0.2631578947368421,0.4210526315789473,0.4210526315789473,0.0,,,,
return,3,MTRN,boost_full,38,0.2378442438300615,0.1683800351539793,0.0703746346134258,-0.0413889838828431,0.2653412290952218,0,2023-07-31,2026-08-31,0.5789473684210527,0.631578947368421,0.631578947368421,0.0,,,,
return,3,MTRN,core_ols,38,0.2470845999450645,0.1664771112839892,-0.0032612316490339,-0.0990454929026458,0.4054340506351955,0,2023-07-31,2026-08-31,0.6052631578947368,0.631578947368421,0.631578947368421,0.0,,,,
return,3,MTRN,forest_full,38,0.2471574537238687,0.1738639756410077,-0.0038529492024217,-0.0551591516216623,0.1246061061379609,0,2023-07-31,2026-08-31,0.5,0.631578947368421,0.631578947368421,0.0,,,,
return,3,MTRN,historical_mean,38,0.2466826826786513,0.1733488523292709,0.0,-0.0335460204668389,-0.2553942080654922,0,2023-07-31,2026-08-31,0.631578947368421,0.631578947368421,0.631578947368421,0.0,,,,
return,3,MTRN,ridge_full,38,0.2727647717404431,0.2005763839187435,-0.2226417825185815,-0.071137984789945,-0.0202117452353118,0,2023-07-31,2026-08-31,0.5,0.631578947368421,0.631578947368421,0.0,,,,
