ticker,model,horizon,origins,target_period,n,rmse,mae,r2_oos,bias,forecast_correlation,fallback_count,start,end,directional_accuracy,always_up_accuracy,benchmark_directional_accuracy,zero_forecasts
ENTG,forest_full,3,2023-04-30 to 2026-05-31,three months after the origin (overlapping),38,0.2410147215606393,0.2082016990027452,-0.0847419189666898,0.0105997220977557,-0.2648091124180707,0,2023-07-31,2026-08-31,0.3421052631578947,0.4210526315789473,0.4210526315789473,0
ENTG,historical_mean,1,2023-04-30 to 2026-05-31,month after the origin,38,0.1369393832932293,0.1063569005059079,0.0,-0.006652673592967,-0.1947499708472508,0,2023-05-31,2026-06-30,0.4473684210526316,0.4473684210526316,0.4473684210526316,0
ENTG,historical_mean,3,2023-04-30 to 2026-05-31,three months after the origin (overlapping),38,0.2314090604550348,0.1963174855679492,0.0,0.0217834585280457,-0.331286993966078,0,2023-07-31,2026-08-31,0.4210526315789473,0.4210526315789473,0.4210526315789473,0
ENTG,ridge_full,1,2023-04-30 to 2026-05-31,month after the origin,38,0.1428623670634076,0.1139709785310722,-0.0883759782700626,-0.0091503903456721,-0.1939357269363948,0,2023-05-31,2026-06-30,0.3947368421052631,0.4473684210526316,0.4473684210526316,0
ENTG,ridge_full,3,2023-04-30 to 2026-05-31,three months after the origin (overlapping),38,0.2399658357664919,0.2065628893095867,-0.0753209622910728,0.0129610779996624,-0.1934716061560934,0,2023-07-31,2026-08-31,0.3947368421052631,0.4210526315789473,0.4210526315789473,0
MTRN,boost_full,1,2023-04-30 to 2026-05-31,month after the origin,38,0.1273776943015122,0.103426069623429,0.0,-0.0155898994877906,-0.048074291192639,0,2023-05-31,2026-06-30,0.5263157894736842,0.5263157894736842,0.5263157894736842,0
MTRN,boost_full,3,2023-04-30 to 2026-05-31,three months after the origin (overlapping),38,0.2430874908683541,0.1754083883448729,0.028935905261355,-0.031621452202115,0.127785648175908,0,2023-07-31,2026-08-31,0.5789473684210527,0.631578947368421,0.631578947368421,0
MTRN,core_ols,1,2023-04-30 to 2026-05-31,month after the origin,38,0.1235983587964269,0.0986967948280655,0.058460290085133,-0.0406916163669677,0.4395358035187584,0,2023-05-31,2026-06-30,0.631578947368421,0.5263157894736842,0.5263157894736842,0
MTRN,core_ols,3,2023-04-30 to 2026-05-31,three months after the origin (overlapping),38,0.2470845999450645,0.1664771112839892,-0.0032612316490339,-0.0990454929026458,0.4054340506351955,0,2023-07-31,2026-08-31,0.6052631578947368,0.631578947368421,0.631578947368421,0
MTRN,forest_full,1,2023-04-30 to 2026-05-31,month after the origin,38,0.1273776943015122,0.103426069623429,0.0,-0.0155898994877906,-0.048074291192639,0,2023-05-31,2026-06-30,0.5263157894736842,0.5263157894736842,0.5263157894736842,0
MTRN,forest_full,3,2023-04-30 to 2026-05-31,three months after the origin (overlapping),38,0.2515538895500327,0.1790894393080004,-0.0398836458476838,-0.0392866074455684,-0.3234713576531803,0,2023-07-31,2026-08-31,0.6052631578947368,0.631578947368421,0.631578947368421,0
MTRN,historical_mean,1,2023-04-30 to 2026-05-31,month after the origin,38,0.1273776943015122,0.103426069623429,0.0,-0.0155898994877906,-0.048074291192639,0,2023-05-31,2026-06-30,0.5263157894736842,0.5263157894736842,0.5263157894736842,0
MTRN,historical_mean,3,2023-04-30 to 2026-05-31,three months after the origin (overlapping),38,0.2466826826786513,0.1733488523292709,0.0,-0.0335460204668389,-0.2553942080654922,0,2023-07-31,2026-08-31,0.631578947368421,0.631578947368421,0.631578947368421,0
MTRN,ridge_full,1,2023-04-30 to 2026-05-31,month after the origin,38,0.1280443166863904,0.1039727517815969,-0.0104942509706851,-0.0186388294195605,-0.0253452907908599,0,2023-05-31,2026-06-30,0.5526315789473685,0.5263157894736842,0.5263157894736842,0
MTRN,ridge_full,3,2023-04-30 to 2026-05-31,three months after the origin (overlapping),38,0.2499944747247427,0.1777956819365063,-0.0270308635456786,-0.0406322645475665,-0.1992613680783583,0,2023-07-31,2026-08-31,0.631578947368421,0.631578947368421,0.631578947368421,0
