ticker,date,model,parameter,validation_mse
ENTG,2024-12-31,variance_ridge_persistence,0.1,0.13084790372669106
ENTG,2024-12-31,variance_ridge_persistence,1.0,0.1303800178427995
ENTG,2024-12-31,variance_ridge_persistence,10.0,0.12762966172133924
ENTG,2024-12-31,variance_ridge_persistence,100.0,0.1202916358603432
ENTG,2024-12-31,variance_ridge_market,0.01,0.2373095746651301
ENTG,2024-12-31,variance_ridge_market,0.1,0.23652455255521446
ENTG,2024-12-31,variance_ridge_market,1.0,0.22929566237575935
ENTG,2024-12-31,variance_ridge_market,10.0,0.18801721142429573
ENTG,2024-12-31,variance_ridge_market,100.0,0.1317487131542864
ENTG,2024-12-31,variance_ridge_external,0.01,0.3019637452919843
ENTG,2024-12-31,variance_ridge_external,0.1,0.2995464418374831
ENTG,2024-12-31,variance_ridge_external,1.0,0.27903122653058904
ENTG,2024-12-31,variance_ridge_external,10.0,0.19853320589693255
ENTG,2024-12-31,variance_ridge_external,100.0,0.12900300056480757
ENTG,2025-12-31,variance_ridge,0.01,20.71296168524364
ENTG,2025-12-31,variance_ridge,0.1,6.5813631931185705
ENTG,2025-12-31,variance_ridge,1.0,1.7989635418747276
ENTG,2025-12-31,variance_ridge,10.0,0.5105941023665564
ENTG,2025-12-31,variance_ridge,100.0,0.2728678093244251
ENTG,2025-12-31,variance_forest,0.0,0.273868961397001
ENTG,2025-12-31,variance_forest,1.0,0.2693441584767296
ENTG,2025-12-31,variance_boost,0.0,0.31596575974944763
ENTG,2025-12-31,variance_boost,1.0,0.39823308287478243
ENTG,2025-12-31,variance_ridge_persistence,0.01,0.32560802881880196
ENTG,2025-12-31,variance_ridge_persistence,0.1,0.32562431210417836
ENTG,2025-12-31,variance_ridge_persistence,1.0,0.3257794560383663
ENTG,2025-12-31,variance_ridge_persistence,10.0,0.32677949461499906
ENTG,2025-12-31,variance_ridge_persistence,100.0,0.32929447437180387
ENTG,2025-12-31,variance_ridge_market,0.01,0.36234593487481054
ENTG,2025-12-31,variance_ridge_market,0.1,0.3623379494623251
ENTG,2025-12-31,variance_ridge_market,1.0,0.36223576713873434
ENTG,2025-12-31,variance_ridge_market,10.0,0.36019338813060114
ENTG,2025-12-31,variance_ridge_market,100.0,0.34876501129229087
ENTG,2025-12-31,variance_ridge_external,0.01,0.3671130946524294
ENTG,2025-12-31,variance_ridge_external,0.1,0.36709803471983454
ENTG,2025-12-31,variance_ridge_external,1.0,0.3669193793075411
ENTG,2025-12-31,variance_ridge_external,10.0,0.3638824191985581
ENTG,2025-12-31,variance_ridge_external,100.0,0.3503913622182438
CRS,2022-12-31,variance_ridge,0.01,490.17255981854515
CRS,2022-12-31,variance_ridge,0.1,7.632706443369108
CRS,2022-12-31,variance_ridge,1.0,0.6646740885235359
CRS,2022-12-31,variance_ridge,10.0,0.2545985265847866
CRS,2022-12-31,variance_ridge,100.0,0.13530987695957883
CRS,2022-12-31,variance_forest,0.0,0.12295839326991997
CRS,2022-12-31,variance_forest,1.0,0.10135165249419109
CRS,2022-12-31,variance_boost,0.0,0.12856838750774932
CRS,2022-12-31,variance_boost,1.0,0.1193626097146041
CRS,2022-12-31,variance_ridge_persistence,0.01,0.10928858952263698
CRS,2022-12-31,variance_ridge_persistence,0.1,0.10911593767340093
CRS,2022-12-31,variance_ridge_persistence,1.0,0.10760561519541727
CRS,2022-12-31,variance_ridge_persistence,10.0,0.10063961326545197
CRS,2022-12-31,variance_ridge_persistence,100.0,0.08623320359500891
CRS,2022-12-31,variance_ridge_market,0.01,0.08126177161659236
CRS,2022-12-31,variance_ridge_market,0.1,0.08118109378540474
CRS,2022-12-31,variance_ridge_market,1.0,0.0805474422376722
CRS,2022-12-31,variance_ridge_market,10.0,0.07831466303690746
CRS,2022-12-31,variance_ridge_market,100.0,0.0772893925108566
CRS,2022-12-31,variance_ridge_external,0.01,0.10158080538170078
