panel,first,second,regime,n,start,end,variance_first,variance_second,covariance,correlation
matched,ENTG,CRS,all,102,2026-04-24,2026-09-18,0.0026302694487806075,0.0007403075228145492,0.0006807726791792399,0.48786079225376566
matched,ENTG,CRS,high_vol,96,2026-04-24,2026-09-18,0.0026702379397626893,0.0007530175042443315,0.0006840313044325187,0.4823901824734708
matched,ENTG,CRS,low_vol,6,2026-04-24,2026-09-18,0.0023514388228169083,0.0003484476949226708,0.0008715192327647212,0.9628116476844838
matched,ENTG,ATI,all,102,2026-04-24,2026-09-18,0.0026302694487806075,0.0007495286990472643,0.0007225523383307905,0.514606251018546
matched,ENTG,ATI,high_vol,96,2026-04-24,2026-09-18,0.0026702379397626893,0.0007305264640708044,0.0007074740753410883,0.5065444629548325
matched,ENTG,ATI,low_vol,6,2026-04-24,2026-09-18,0.0023514388228169083,0.001172902078345332,0.0012166622591800735,0.7326091127174775
matched,ENTG,ELMT,all,102,2026-04-24,2026-09-18,0.0026302694487806075,0.00460514292973873,0.001268925726828047,0.36459820427587675
matched,ENTG,ELMT,high_vol,96,2026-04-24,2026-09-18,0.0026702379397626893,0.0035526455925047906,0.0015821275388472962,0.5136775273935662
matched,ENTG,ELMT,low_vol,6,2026-04-24,2026-09-18,0.0023514388228169083,0.02000473010072682,-0.004929139268141955,-0.7186838714403849
matched,CRS,ATI,all,102,2026-04-24,2026-09-18,0.0007403075228145492,0.0007495286990472643,0.0005402671343133005,0.7252843971771492
matched,CRS,ATI,high_vol,96,2026-04-24,2026-09-18,0.0007530175042443315,0.0007305264640708044,0.0005371236012498937,0.7241920004543128
matched,CRS,ATI,low_vol,6,2026-04-24,2026-09-18,0.0003484476949226708,0.001172902078345332,0.0005463841417492882,0.8546699017808762
matched,CRS,ELMT,all,102,2026-04-24,2026-09-18,0.0007403075228145492,0.00460514292973873,0.00045476883014768175,0.2462992289319078
matched,CRS,ELMT,high_vol,96,2026-04-24,2026-09-18,0.0007530175042443315,0.0035526455925047906,0.000664607343637746,0.40633726903547335
matched,CRS,ELMT,low_vol,6,2026-04-24,2026-09-18,0.0003484476949226708,0.02000473010072682,-0.002157849549948386,-0.8173084994513439
matched,ATI,ELMT,all,102,2026-04-24,2026-09-18,0.0007495286990472643,0.00460514292973873,0.00039789554694754563,0.21416741195126418
matched,ATI,ELMT,high_vol,96,2026-04-24,2026-09-18,0.0007305264640708044,0.0035526455925047906,0.0006237172515984075,0.3871629919387546
matched,ATI,ELMT,low_vol,6,2026-04-24,2026-09-18,0.001172902078345332,0.02000473010072682,-0.00311792848416211,-0.6436783818781282
