task,horizon,ticker,model,window,refits,intercept_only_share,median_candidates,median_retained,max_missing_indicators,max_excluded_low_coverage,median_effective_df,median_condition_number,min_rank,median_nonzero_coefficients,median_tree_leaves,distinct_retained_sets
return,1,pooled,pooled_ridge,expanding,44,0.5454545454545454,83.0,77.0,22,6,0.0,461.826890252874,0,0.0,,2
return,3,ATI,boost_full,expanding,38,1.0,80.0,72.0,0,8,0.0,,0,0.0,,2
return,3,ATI,core_ols,expanding,38,0.0,6.0,6.0,0,0,6.0,7.4389043163310475,6,6.0,,1
return,3,ATI,forest_full,expanding,38,0.6842105263157895,80.0,72.0,5,8,0.0,3489.7441552264363,0,0.0,363.0,2
return,3,ATI,ridge_full,expanding,38,1.0,80.0,72.0,0,8,0.0,,0,0.0,,2
return,3,CRS,boost_full,expanding,38,0.21052631578947367,80.0,73.0,16,8,0.0,2451.437628450828,0,0.0,120.0,2
return,3,CRS,core_ols,expanding,38,0.0,6.0,6.0,2,0,8.0,10.840053398790989,7,8.0,,1
return,3,CRS,forest_full,expanding,38,0.21052631578947367,80.0,73.0,16,8,0.0,2451.437628450828,0,0.0,393.0,2
return,3,CRS,ridge_full,expanding,38,0.6842105263157895,80.0,73.0,16,8,0.0,2883.8520821435213,0,0.0,,2
return,3,ENTG,boost_full,expanding,38,0.47368421052631576,80.0,78.0,11,4,0.0,5544.972034500191,0,0.0,120.0,3
return,3,ENTG,core_ols,expanding,38,0.0,6.0,6.0,0,0,6.0,1.5879055728825082,6,6.0,,1
return,3,ENTG,forest_full,expanding,38,0.47368421052631576,80.0,78.0,11,4,0.0,5544.972034500191,0,0.0,396.5,3
return,3,ENTG,ridge_full,expanding,38,0.47368421052631576,80.0,78.0,11,4,4.876603380883587,5544.972034500191,0,85.5,,3
return,3,MTRN,boost_full,expanding,38,0.5263157894736842,80.0,74.0,6,6,0.0,597.1885312502086,0,0.0,355.5,1
return,3,MTRN,core_ols,expanding,38,0.0,6.0,6.0,0,0,6.0,1.9348737876014632,6,6.0,,1
return,3,MTRN,forest_full,expanding,38,0.8421052631578947,80.0,74.0,6,6,0.0,538.4245773821582,0,0.0,393.0,1
return,3,MTRN,ridge_full,expanding,38,0.5263157894736842,80.0,74.0,6,6,0.0,597.1885312502086,0,0.0,,1
variance,1,ATI,variance_boost,expanding,44,0.0,80.0,72.0,5,8,,3481.597830128843,73,0.0,120.0,2
variance,1,ATI,variance_forest,expanding,44,0.0,80.0,72.0,5,8,,3481.597830128843,73,0.0,348.5,2
variance,1,ATI,variance_ridge,expanding,44,0.0,80.0,72.0,5,8,4.571851421756962,3481.597830128843,73,76.0,,2
variance,1,ATI,variance_ridge_external,expanding,44,0.0,8.0,8.0,0,0,6.236550226964692,5.856754244967368,8,8.0,,1
variance,1,ATI,variance_ridge_market,expanding,44,0.0,6.0,6.0,0,0,5.99809712159022,4.756003478902402,6,6.0,,1
variance,1,ATI,variance_ridge_persistence,expanding,44,0.0,3.0,3.0,0,0,2.999037891556026,3.9980432094578804,3,3.0,,1
variance,1,CRS,variance_boost,expanding,44,0.2727272727272727,80.0,73.0,16,8,0.0,2210.9833754106103,0,0.0,120.0,2
variance,1,CRS,variance_forest,expanding,44,0.45454545454545453,80.0,73.0,16,8,0.0,2490.8641720889177,0,0.0,360.5,2
variance,1,CRS,variance_ridge,expanding,44,0.2727272727272727,80.0,73.0,16,8,4.580874917616976,2210.9833754106103,0,89.0,,2
variance,1,CRS,variance_ridge_external,expanding,44,0.0,8.0,8.0,0,0,6.066818950903949,6.659347986387571,8,8.0,,1
variance,1,CRS,variance_ridge_market,expanding,44,0.0,6.0,6.0,0,0,2.211973103481247,5.712156805227208,6,6.0,,1
variance,1,CRS,variance_ridge_persistence,expanding,44,0.0,3.0,3.0,0,0,1.1009009189150418,4.492811906289267,3,3.0,,1
variance,1,CRS+ATI,business_pair_ridge,expanding,44,0.0,83.0,74.0,17,8,4.929238056591719,903.5150407373737,81,90.0,,2
variance,1,ENTG,variance_boost,expanding,44,0.0,80.0,78.0,11,4,,3937.9925386453174,77,0.0,359.5,3
variance,1,ENTG,variance_forest,expanding,44,0.0,80.0,78.0,11,4,,3937.9925386453174,77,0.0,417.5,3
variance,1,ENTG,variance_ridge,expanding,44,0.0,80.0,78.0,11,4,5.118525240024317,3937.9925386453174,77,89.0,,3
