ticker,variable,group,observations,available,status,selected_by_a_recorded_primary_model
ELMT,revenue_valuation_interaction,interaction,5,0,implemented,False
ELMT,margin_valuation_interaction,interaction,5,0,implemented,False
ELMT,roic_proxy,claims_proxy,5,0,implemented,False
ELMT,ev_ebitda_proxy,claims_proxy,5,0,implemented,False
ELMT,ev_sales_proxy,claims_proxy,5,0,implemented,False
ELMT,fcf_yield,mine_inclusive_fcf,5,0,implemented,False
ELMT,fcf_assets,mine_inclusive_fcf,5,0,implemented,False
ELMT,pe,valuation,5,0,reported; reciprocal/related representation tested instead where redundant,False
ELMT,pb,valuation,5,0,reported; reciprocal/related representation tested instead where redundant,False
ELMT,ps,valuation,5,0,reported; reciprocal/related representation tested instead where redundant,False
ELMT,pe_relative,valuation,5,0,reported; reciprocal/related representation tested instead where redundant,False
ELMT,forward_pe,deferred,5,0,deferred,False
ELMT,earnings_surprise,deferred,5,0,deferred,False
ELMT,analyst_revisions,deferred,5,0,deferred,False
ELMT,bid_ask_spread,deferred,5,0,deferred,False
ELMT,roic,deferred,5,0,deferred,False
ELMT,ev_ebitda,deferred,5,0,deferred,False
ELMT,ev_sales,deferred,5,0,deferred,False
ELMT,index_membership_return,deferred,5,0,deferred,False
ELMT,tungsten_molybdenum_prices,deferred,5,0,deferred,False
ENTG,market_return,market,129,129,implemented,True
ENTG,market_vol,market,129,129,implemented,True
ENTG,smallcap_return,market,129,129,implemented,True
ENTG,yield_10y,market,129,129,implemented,True
ENTG,yield_short,market,129,129,implemented,True
ENTG,yield_10y_change,market,129,129,implemented,True
ENTG,term_spread,market,129,129,implemented,True
ENTG,vix,market,129,129,implemented,True
ENTG,credit_spread,market,129,36,implemented,False
ENTG,credit_spread_change,market,129,35,implemented,False
ENTG,real_yield,market,129,129,implemented,True
ENTG,real_yield_change,market,129,129,implemented,True
ENTG,eurusd_return,market,129,129,implemented,True
ENTG,dollar_return,market,129,129,implemented,True
ENTG,revenue_growth,financial,129,129,implemented,True
ENTG,eps_growth,financial,129,110,implemented,True
ENTG,eps_change_price,financial,129,129,implemented,True
ENTG,loss_transition,financial,129,129,implemented,True
ENTG,ebitda_growth,financial,129,129,implemented,True
ENTG,gross_margin,financial,129,129,implemented,True
ENTG,operating_margin,financial,129,129,implemented,True
ENTG,net_margin,financial,129,129,implemented,True
ENTG,ebitda_margin,financial,129,129,implemented,True
ENTG,roa,financial,129,129,implemented,True
ENTG,roe,financial,129,129,implemented,True
ENTG,cfo_assets,financial,129,129,implemented,True
ENTG,fcf_equipment_assets,financial,129,129,implemented,True
ENTG,capex_assets,financial,129,129,implemented,True
ENTG,cash_assets,financial,129,125,implemented,True
ENTG,debt_assets,financial,129,126,implemented,True
ENTG,debt_equity,financial,129,126,implemented,True
ENTG,interest_coverage,financial,129,129,implemented,True
ENTG,current_ratio,financial,129,129,implemented,True
ENTG,quick_ratio,financial,129,129,implemented,True
ENTG,payout,financial,129,100,implemented,True
ENTG,earnings_age_days,financial,129,129,implemented,True
ENTG,earnings_yield,valuation,129,129,implemented,True
ENTG,book_yield,valuation,129,129,implemented,True
ENTG,sales_yield,valuation,129,129,implemented,True
ENTG,fcf_equipment_yield,valuation,129,129,implemented,True
ENTG,dividend_yield,valuation,129,103,implemented,True
ENTG,earnings_yield_relative,valuation,129,117,implemented,True
ENTG,earnings_yield_percentile,valuation,129,117,implemented,True
ENTG,fcf_equipment_yield_relative,valuation,129,117,implemented,True
ENTG,pe_percentile,valuation,129,114,implemented,True
ENTG,peer_earnings_yield_gap,valuation,129,129,implemented,True
ENTG,momentum_1,momentum,129,129,implemented,True
ENTG,momentum_3,momentum,129,129,implemented,True
ENTG,momentum_6,momentum,129,129,implemented,True
ENTG,momentum_12,momentum,129,129,implemented,True
ENTG,relative_momentum,momentum,129,129,implemented,True
ENTG,industry_momentum_relative,momentum,129,129,implemented,True
ENTG,vol_21,risk,129,129,implemented,True
ENTG,vol_63,risk,129,129,implemented,True
ENTG,vol_252,risk,129,129,implemented,True
ENTG,beta_252,risk,129,129,implemented,True
ENTG,idio_vol,risk,129,129,implemented,True
ENTG,downside_deviation,risk,129,129,implemented,True
