ticker,task,window,date,model,parameter,validation_loss,inner_origins,first_inner_origin,labels_matured,horizon,stage,order,train_rows
pooled,variance,expanding,2023-12-31,pooled_ridge,0.0001,0.3558086800747491,24,2021-12-31,True,,tuning_pooled,,
pooled,variance,expanding,2023-12-31,pooled_ridge,0.001,0.3221944413917945,24,2021-12-31,True,,tuning_pooled,,
pooled,variance,expanding,2023-12-31,pooled_ridge,0.01,0.2664958422083447,24,2021-12-31,True,,tuning_pooled,,
pooled,variance,expanding,2023-12-31,pooled_ridge,0.1,0.2465754685633681,24,2021-12-31,True,,tuning_pooled,,
pooled,variance,expanding,2023-12-31,pooled_ridge,1.0,0.2372832090229644,24,2021-12-31,True,,tuning_pooled,,
pooled,variance,expanding,2023-12-31,pooled_ridge,10.0,0.2241438067419495,24,2021-12-31,True,,tuning_pooled,,
pooled,variance,expanding,2023-12-31,pooled_ridge,100.0,0.2251169896228956,24,2021-12-31,True,,tuning_pooled,,
pooled,variance,expanding,2023-12-31,pooled_forest,intercept_only,0.2279484739422197,24,2021-12-31,True,,tuning_pooled,,
pooled,variance,expanding,2023-12-31,pooled_forest,0,0.2199164803663953,24,2021-12-31,True,,tuning_pooled,,
pooled,variance,expanding,2023-12-31,pooled_forest,1,0.208655422422319,24,2021-12-31,True,,tuning_pooled,,
pooled,variance,expanding,2023-12-31,pooled_boost,intercept_only,0.2279484739422197,24,2021-12-31,True,,tuning_pooled,,
pooled,variance,expanding,2023-12-31,pooled_boost,0,0.2280039737041291,24,2021-12-31,True,,tuning_pooled,,
pooled,variance,expanding,2023-12-31,pooled_boost,1,0.2370441122918979,24,2021-12-31,True,,tuning_pooled,,
pooled,variance,expanding,2023-12-31,pooled_variance_persistence,intercept_only,0.2279484739422197,24,2021-12-31,True,,tuning_pooled,,
pooled,variance,expanding,2023-12-31,pooled_variance_persistence,0.0001,0.2534033592473293,24,2021-12-31,True,,tuning_pooled,,
pooled,variance,expanding,2023-12-31,pooled_variance_persistence,0.001,0.2533011445354421,24,2021-12-31,True,,tuning_pooled,,
pooled,variance,expanding,2023-12-31,pooled_variance_persistence,0.01,0.2523326697993394,24,2021-12-31,True,,tuning_pooled,,
pooled,variance,expanding,2023-12-31,pooled_variance_persistence,0.1,0.2460106146614201,24,2021-12-31,True,,tuning_pooled,,
pooled,variance,expanding,2023-12-31,pooled_variance_persistence,1.0,0.2339745087279197,24,2021-12-31,True,,tuning_pooled,,
pooled,variance,expanding,2023-12-31,pooled_variance_persistence,10.0,0.2274012767798352,24,2021-12-31,True,,tuning_pooled,,
pooled,variance,expanding,2023-12-31,pooled_variance_persistence,100.0,0.2277072645038075,24,2021-12-31,True,,tuning_pooled,,
pooled,variance,expanding,2023-12-31,pooled_variance_external,intercept_only,0.2279484739422197,24,2021-12-31,True,,tuning_pooled,,
pooled,variance,expanding,2023-12-31,pooled_variance_external,0.0001,0.250408659609447,24,2021-12-31,True,,tuning_pooled,,
pooled,variance,expanding,2023-12-31,pooled_variance_external,0.001,0.2500354235216395,24,2021-12-31,True,,tuning_pooled,,
pooled,variance,expanding,2023-12-31,pooled_variance_external,0.01,0.2466238171051319,24,2021-12-31,True,,tuning_pooled,,
pooled,variance,expanding,2023-12-31,pooled_variance_external,0.1,0.2287158633380915,24,2021-12-31,True,,tuning_pooled,,
pooled,variance,expanding,2023-12-31,pooled_variance_external,1.0,0.2071008799782243,24,2021-12-31,True,,tuning_pooled,,
pooled,variance,expanding,2023-12-31,pooled_variance_external,10.0,0.2130215123280447,24,2021-12-31,True,,tuning_pooled,,
pooled,variance,expanding,2023-12-31,pooled_variance_external,100.0,0.2255189144443422,24,2021-12-31,True,,tuning_pooled,,
MTRN+ENTG,variance,expanding,2023-12-31,business_pair_ridge,intercept_only,0.4013670505867098,24,2021-12-31,True,,tuning_pooled,,
MTRN+ENTG,variance,expanding,2023-12-31,business_pair_ridge,0.0001,1.3950820024424972,24,2021-12-31,True,,tuning_pooled,,
MTRN+ENTG,variance,expanding,2023-12-31,business_pair_ridge,0.001,0.7169460109947462,24,2021-12-31,True,,tuning_pooled,,
MTRN+ENTG,variance,expanding,2023-12-31,business_pair_ridge,0.01,0.4223935715418666,24,2021-12-31,True,,tuning_pooled,,
MTRN+ENTG,variance,expanding,2023-12-31,business_pair_ridge,0.1,0.3108933942055131,24,2021-12-31,True,,tuning_pooled,,
MTRN+ENTG,variance,expanding,2023-12-31,business_pair_ridge,1.0,0.2918956938039869,24,2021-12-31,True,,tuning_pooled,,
MTRN+ENTG,variance,expanding,2023-12-31,business_pair_ridge,10.0,0.3278419249105788,24,2021-12-31,True,,tuning_pooled,,
MTRN+ENTG,variance,expanding,2023-12-31,business_pair_ridge,100.0,0.385307754290491,24,2021-12-31,True,,tuning_pooled,,
CRS+ATI,variance,expanding,2023-12-31,business_pair_ridge,intercept_only,0.2053692106802661,24,2021-12-31,True,,tuning_pooled,,
CRS+ATI,variance,expanding,2023-12-31,business_pair_ridge,0.0001,0.8870423240426222,24,2021-12-31,True,,tuning_pooled,,
CRS+ATI,variance,expanding,2023-12-31,business_pair_ridge,0.001,0.5061283216619509,24,2021-12-31,True,,tuning_pooled,,
CRS+ATI,variance,expanding,2023-12-31,business_pair_ridge,0.01,0.2267912507115233,24,2021-12-31,True,,tuning_pooled,,
CRS+ATI,variance,expanding,2023-12-31,business_pair_ridge,0.1,0.1661229911847137,24,2021-12-31,True,,tuning_pooled,,
CRS+ATI,variance,expanding,2023-12-31,business_pair_ridge,1.0,0.1252297952152128,24,2021-12-31,True,,tuning_pooled,,
CRS+ATI,variance,expanding,2023-12-31,business_pair_ridge,10.0,0.1177725964772055,24,2021-12-31,True,,tuning_pooled,,
CRS+ATI,variance,expanding,2023-12-31,business_pair_ridge,100.0,0.18025395950154,24,2021-12-31,True,,tuning_pooled,,
pooled,return,expanding,2024-12-31,pooled_ridge,intercept_only,0.0164665752563583,24,2022-12-31,True,,tuning_pooled,,
pooled,return,expanding,2024-12-31,pooled_ridge,0.0001,0.0270868462541773,24,2022-12-31,True,,tuning_pooled,,
pooled,return,expanding,2024-12-31,pooled_ridge,0.001,0.02475825751421,24,2022-12-31,True,,tuning_pooled,,
pooled,return,expanding,2024-12-31,pooled_ridge,0.01,0.021991214947311,24,2022-12-31,True,,tuning_pooled,,
pooled,return,expanding,2024-12-31,pooled_ridge,0.1,0.0189870836738193,24,2022-12-31,True,,tuning_pooled,,
pooled,return,expanding,2024-12-31,pooled_ridge,1.0,0.0172367823012046,24,2022-12-31,True,,tuning_pooled,,
pooled,return,expanding,2024-12-31,pooled_ridge,10.0,0.0166564188735937,24,2022-12-31,True,,tuning_pooled,,
pooled,return,expanding,2024-12-31,pooled_ridge,100.0,0.0164845986592064,24,2022-12-31,True,,tuning_pooled,,
pooled,return,expanding,2024-12-31,pooled_forest,intercept_only,0.0164665752563583,24,2022-12-31,True,,tuning_pooled,,
pooled,return,expanding,2024-12-31,pooled_forest,0,0.0166941264245173,24,2022-12-31,True,,tuning_pooled,,
pooled,return,expanding,2024-12-31,pooled_forest,1,0.0166280602266396,24,2022-12-31,True,,tuning_pooled,,
pooled,return,expanding,2024-12-31,pooled_boost,intercept_only,0.0164665752563583,24,2022-12-31,True,,tuning_pooled,,
pooled,return,expanding,2024-12-31,pooled_boost,0,0.0168218451515522,24,2022-12-31,True,,tuning_pooled,,
pooled,return,expanding,2024-12-31,pooled_boost,1,0.0173024124907507,24,2022-12-31,True,,tuning_pooled,,
