task,horizon,ticker,model,excluded_fallbacks,n,rmse,mae,r2_oos,bias,forecast_correlation,fallback_count,start,end,directional_accuracy,always_up_accuracy,benchmark_directional_accuracy,zero_forecasts,qlike,root_variance_rmse,root_variance_mae,root_variance_correlation
return,1,CRS,A7_business,0,44,0.14749806169558247,0.12084354207289762,-0.026393804241789942,-0.027318752534875382,-0.10775637159266306,0,2023-01-31,2026-08-31,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.0,,,,
return,1,CRS,A8_transform,0,44,0.14821806792437128,0.12141551227555775,-0.03643886718422151,-0.026891753053077307,-0.12749663082300516,0,2023-01-31,2026-08-31,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.0,,,,
return,1,CRS,A9_interaction,0,44,0.15235309300775482,0.1251077197497837,-0.0950752069282621,-0.032397279724807604,-0.1396853410694968,0,2023-01-31,2026-08-31,0.5681818181818182,0.6363636363636364,0.6363636363636364,0.0,,,,
return,1,CRS,P1_financial,0,44,0.14558924782715335,0.11739468770284502,0.0,-0.04348086027332823,-0.1555934292323482,0,2023-01-31,2026-08-31,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.0,,,,
return,1,CRS,P2_valuation,0,44,0.14569073108125805,0.11744885301211686,-0.0013945895753246784,-0.0437792260527542,-0.14546762691449022,0,2023-01-31,2026-08-31,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.0,,,,
return,1,CRS,P3_transform,0,44,0.1457112232849749,0.11745605663154711,-0.0016763127152763513,-0.04387226737377794,-0.14061483638411829,0,2023-01-31,2026-08-31,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.0,,,,
return,1,CRS,P4_market,0,44,0.15293050797482588,0.12530039882831492,-0.10339155979081438,-0.02906692930942236,-0.12091713314526156,0,2023-01-31,2026-08-31,0.6136363636363636,0.6363636363636364,0.6363636363636364,0.0,,,,
return,1,CRS,P5_industry,0,44,0.14810015433420562,0.11963187058323613,-0.03479046334401925,-0.03376124416482591,-0.1318590271103113,0,2023-01-31,2026-08-31,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.0,,,,
return,1,CRS,P6_business,0,44,0.14821806792437128,0.12141551227555775,-0.03643886718422151,-0.026891753053077307,-0.12749663082300516,0,2023-01-31,2026-08-31,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.0,,,,
return,1,CRS,ar1,0,44,0.14371353777677862,0.11346300572746197,0.025601164265444232,-0.048760676149829436,0.21758067815052282,0,2023-01-31,2026-08-31,0.6136363636363636,0.6363636363636364,0.6363636363636364,0.0,,,,
return,1,CRS,arimax,0,44,0.150673108208214,0.12728930935469343,-0.07105775505439582,-0.004666328067151406,-0.10175334637652395,0,2023-01-31,2026-08-31,0.6136363636363636,0.6363636363636364,0.6363636363636364,0.0,,,,
return,1,CRS,arma_static,0,44,0.15060379426790124,0.1272501026447233,-0.07007254730097001,-0.007387878193263889,-0.12699595151587387,0,2023-01-31,2026-08-31,0.6136363636363636,0.6363636363636364,0.6363636363636364,0.0,,,,
return,1,CRS,arx,0,44,0.1483688227505708,0.12530443221637225,-0.03854829452537456,-0.007973846564840082,-0.04667937372084731,0,2023-01-31,2026-08-31,0.6136363636363636,0.6363636363636364,0.6363636363636364,0.0,,,,
return,1,CRS,boost_full,0,44,0.1469881675977175,0.11769343736201111,-0.019309676700421274,-0.04285496778278966,-0.0805431537382109,0,2023-01-31,2026-08-31,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.0,,,,
return,1,CRS,business_pair_ridge,0,44,0.1469152481752802,0.11933673579501125,-0.018298588018245132,-0.034137530247108236,0.00012066445568913178,0,2023-01-31,2026-08-31,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.0,,,,
return,1,CRS,capm_style,0,44,0.1462926746574587,0.11720543290859417,-0.009686514273553382,-0.03979418164219745,-0.10073501222861743,0,2023-01-31,2026-08-31,0.5909090909090909,0.6363636363636364,0.6363636363636364,0.0,,,,
return,1,CRS,claims_proxy_sensitivity,0,44,0.14883193658335644,0.12071777905276634,-0.04504179779068518,-0.027656043534139727,-0.14549395684861346,0,2023-01-31,2026-08-31,0.6136363636363636,0.6363636363636364,0.6363636363636364,0.0,,,,
return,1,CRS,core_financial_changes,0,44,0.14530745602598577,0.11629122727150552,0.0038673061048727364,-0.04785254103138057,0.10268798930507125,0,2023-01-31,2026-08-31,0.6136363636363636,0.6363636363636364,0.6363636363636364,0.0,,,,
return,1,CRS,core_ols,0,44,0.15060378791938944,0.12725011234949027,-0.07007245708587195,-0.007387784610220669,-0.1269961892432317,0,2023-01-31,2026-08-31,0.6136363636363636,0.6363636363636364,0.6363636363636364,0.0,,,,
return,1,CRS,core_ols_financial_ext,0,44,0.15447446740123552,0.13199622549734574,-0.12578331672084886,0.002284907413881821,-0.1790263867523124,0,2023-01-31,2026-08-31,0.6136363636363636,0.6363636363636364,0.6363636363636364,0.0,,,,
return,1,CRS,core_pe_difference,0,44,0.14985996927181205,0.12092392032586456,-0.059528574745001395,-0.03334359424945422,-0.16348847784811052,0,2023-01-31,2026-08-31,0.6590909090909091,0.6363636363636364,0.6363636363636364,0.0,,,,
return,1,CRS,core_pe_lag1,0,44,0.14633170858397146,0.11773815067450193,-0.01022539685623447,-0.04085236478901554,-0.11357006424510421,0,2023-01-31,2026-08-31,0.6136363636363636,0.6363636363636364,0.6363636363636364,0.0,,,,
return,1,CRS,core_pe_level,0,44,0.15046548730256368,0.12221938897721545,-0.06810804793046588,-0.030119860433035817,-0.1799511000608299,0,2023-01-31,2026-08-31,0.6590909090909091,0.6363636363636364,0.6363636363636364,0.0,,,,
return,1,CRS,core_pe_percentage,0,44,0.15021905911555014,0.12140305057823454,-0.06461227765231459,-0.033267185225299534,-0.17878607762825233,0,2023-01-31,2026-08-31,0.6590909090909091,0.6363636363636364,0.6363636363636364,0.0,,,,
return,1,CRS,core_ridge,0,44,0.15250816018433533,0.12583054605618596,-0.09730550806326388,-0.01835307840411177,-0.1914631676765149,0,2023-01-31,2026-08-31,0.6590909090909091,0.6363636363636364,0.6363636363636364,0.0,,,,
return,1,CRS,core_ridge_financial_ext,0,44,0.1548186399467481,0.1264113076345824,-0.13080544568771568,-0.017817097899594944,-0.24516015107709904,0,2023-01-31,2026-08-31,0.6136363636363636,0.6363636363636364,0.6363636363636364,0.0,,,,
return,1,CRS,distributed_all_lag1,0,44,0.15272482595955164,0.12431420210424009,-0.1004255697169607,-0.028846094199379346,-0.169837202299111,0,2023-01-31,2026-08-31,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.0,,,,
return,1,CRS,distributed_all_lag3,0,44,0.1484247414652088,0.12411094985766233,-0.039331278826916005,-0.03064491575968439,-0.05307242735219162,0,2023-01-31,2026-08-31,0.6136363636363636,0.6363636363636364,0.6363636363636364,0.0,,,,
return,1,CRS,distributed_lag1,0,44,0.15100766989447098,0.12272563668691704,-0.0758194902403444,-0.029451658655205878,-0.1368486786248123,0,2023-01-31,2026-08-31,0.6590909090909091,0.6363636363636364,0.6363636363636364,0.0,,,,
return,1,CRS,distributed_lag3,0,44,0.14749430588207288,0.12278803719126469,-0.02634153379712534,-0.02907889565139332,-0.06413556963673157,0,2023-01-31,2026-08-31,0.6590909090909091,0.6363636363636364,0.6363636363636364,0.0,,,,
return,1,CRS,elastic_full,0,44,0.14927736460273075,0.12292240999316449,-0.05130641377804768,-0.026514602800646173,-0.10700886880192081,0,2023-01-31,2026-08-31,0.5909090909090909,0.6363636363636364,0.6363636363636364,0.0,,,,
