ticker,variable,group,observations,available,status
ELMT,earnings_surprise,deferred,5,0,deferred
ELMT,analyst_revisions,deferred,5,0,deferred
ELMT,bid_ask_spread,deferred,5,0,deferred
ELMT,roic,deferred,5,0,deferred
ELMT,ev_ebitda,deferred,5,0,deferred
ELMT,ev_sales,deferred,5,0,deferred
ELMT,index_membership_return,deferred,5,0,deferred
ELMT,tungsten_molybdenum_prices,deferred,5,0,deferred
ENTG,market_return,market,129,129,implemented
ENTG,market_vol,market,129,129,implemented
ENTG,smallcap_return,market,129,129,implemented
ENTG,yield_10y,market,129,129,implemented
ENTG,yield_short,market,129,129,implemented
ENTG,yield_10y_change,market,129,129,implemented
ENTG,term_spread,market,129,129,implemented
ENTG,vix,market,129,129,implemented
ENTG,credit_spread,market,129,36,implemented
ENTG,credit_spread_change,market,129,35,implemented
ENTG,real_yield,market,129,129,implemented
ENTG,real_yield_change,market,129,129,implemented
ENTG,eurusd_return,market,129,129,implemented
ENTG,dollar_return,market,129,129,implemented
ENTG,revenue_growth,financial,129,129,implemented
ENTG,eps_growth,financial,129,110,implemented
ENTG,eps_change_price,financial,129,129,implemented
ENTG,loss_transition,financial,129,129,implemented
ENTG,ebitda_growth,financial,129,129,implemented
ENTG,gross_margin,financial,129,129,implemented
ENTG,operating_margin,financial,129,129,implemented
ENTG,net_margin,financial,129,129,implemented
ENTG,ebitda_margin,financial,129,129,implemented
ENTG,roa,financial,129,129,implemented
ENTG,roe,financial,129,129,implemented
ENTG,cfo_assets,financial,129,129,implemented
ENTG,fcf_equipment_assets,financial,129,129,implemented
ENTG,capex_assets,financial,129,129,implemented
ENTG,cash_assets,financial,129,125,implemented
ENTG,debt_assets,financial,129,126,implemented
ENTG,debt_equity,financial,129,126,implemented
ENTG,interest_coverage,financial,129,129,implemented
ENTG,current_ratio,financial,129,129,implemented
ENTG,quick_ratio,financial,129,129,implemented
ENTG,payout,financial,129,100,implemented
ENTG,earnings_age_days,financial,129,129,implemented
ENTG,earnings_yield,valuation,129,129,implemented
ENTG,book_yield,valuation,129,129,implemented
ENTG,sales_yield,valuation,129,129,implemented
ENTG,fcf_equipment_yield,valuation,129,129,implemented
ENTG,dividend_yield,valuation,129,103,implemented
ENTG,earnings_yield_relative,valuation,129,117,implemented
ENTG,earnings_yield_percentile,valuation,129,117,implemented
ENTG,fcf_equipment_yield_relative,valuation,129,117,implemented
ENTG,pe_percentile,valuation,129,114,implemented
ENTG,peer_earnings_yield_gap,valuation,129,129,implemented
ENTG,momentum_1,momentum,129,129,implemented
ENTG,momentum_3,momentum,129,129,implemented
ENTG,momentum_6,momentum,129,129,implemented
ENTG,momentum_12,momentum,129,129,implemented
ENTG,relative_momentum,momentum,129,129,implemented
ENTG,industry_momentum_relative,momentum,129,129,implemented
ENTG,vol_21,risk,129,129,implemented
ENTG,vol_63,risk,129,129,implemented
ENTG,vol_252,risk,129,129,implemented
ENTG,beta_252,risk,129,129,implemented
ENTG,idio_vol,risk,129,129,implemented
ENTG,downside_deviation,risk,129,129,implemented
ENTG,drawdown_252,risk,129,129,implemented
ENTG,log_dollar_volume,risk,129,129,implemented
ENTG,turnover,risk,129,129,implemented
ENTG,amihud,risk,129,129,implemented
ENTG,industry_vol,industry,129,129,implemented
