ticker,date,model,hyperparameter,variable,effect,effect_type,center,scale,impute,clip_lo,clip_hi,stage
ATI,2022-12-31,core_ols_financial_ext,0,operating_margin,0.1585594309289246,coefficient per training SD in target units,-0.0712645498508852,0.1756639433384954,0.0043971506463811,-0.4925526828730094,0.0911813807325935,parameter_paths_return_ATI
ATI,2022-12-31,core_ols_financial_ext,0,earnings_yield,-0.1821057159866243,coefficient per training SD in target units,-0.1441711776513264,0.2327402202266281,-0.0328080113513346,-0.6149907900988055,0.2457465607393027,parameter_paths_return_ATI
ATI,2022-12-31,core_ols_financial_ext,0,market_return,-0.006561312813945,coefficient per training SD in target units,0.0107426755004568,0.0448087540230445,0.0178144970166732,-0.0979581166853125,0.1118719530698549,parameter_paths_return_ATI
ATI,2022-12-31,core_ols_financial_ext,0,industry_relative,0.0002127796922187,coefficient per training SD in target units,0.000243756109018,0.0405619996185081,-0.0003101128043091,-0.1156030641709125,0.1184787179640144,parameter_paths_return_ATI
ATI,2022-12-31,core_ols_financial_ext,0,driver_return,0.0065652996888281,coefficient per training SD in target units,0.0250833606314488,0.1492405466133781,0.0155939838976539,-0.2702351313581055,0.4535718749621227,parameter_paths_return_ATI
ATI,2022-12-31,core_ols_financial_ext,0,fcf_equipment_assets,-0.0193909800698308,coefficient per training SD in target units,-0.0105942482766307,0.0316901488087324,-0.0061855227198979,-0.0673260782323363,0.0460940055981678,parameter_paths_return_ATI
ATI,2022-12-31,core_ols_financial_ext,0,debt_assets,-0.0166199336474028,coefficient per training SD in target units,0.3208858395979798,0.0539626737861548,0.3019411915717135,0.2393621601143427,0.4031706089582285,parameter_paths_return_ATI
ATI,2023-01-31,core_ols,0,revenue_growth,0.0043170803041875,coefficient per training SD in target units,0.0021954294823915,0.2323872009327244,0.0702327885091629,-0.4129773240404437,0.5571243102888672,parameter_paths_return_ATI
ATI,2023-01-31,core_ols,0,operating_margin,0.1718596557133182,coefficient per training SD in target units,-0.0696208622052531,0.1752761574303232,0.0043971506463811,-0.4925526828730094,0.0911813807325935,parameter_paths_return_ATI
ATI,2023-01-31,core_ols,0,earnings_yield,-0.1946121645592946,coefficient per training SD in target units,-0.1424039245876608,0.2319263711178469,-0.0318498587046752,-0.6148908776172649,0.245429708007753,parameter_paths_return_ATI
ATI,2023-01-31,core_ols,0,market_return,-0.0101260461826431,coefficient per training SD in target units,0.0099399836239318,0.0451363814255428,0.0177342457315352,-0.0976338607394716,0.1116898847012922,parameter_paths_return_ATI
ATI,2023-01-31,core_ols,0,industry_relative,0.0008489736474935,coefficient per training SD in target units,0.0009409500713657,0.0407984908066405,0.0001895074583564,-0.1151311849693122,0.1182674516192454,parameter_paths_return_ATI
