ticker,model,horizon,origins,target_period,n,rmse,mae,r2_oos,bias,forecast_correlation,fallback_count,start,end,directional_accuracy,always_up_accuracy,benchmark_directional_accuracy,zero_forecasts
ENTG,historical_mean,1,2023-04-30 to 2026-05-31,month after the origin,38,0.13693938329322936,0.10635690050590796,0.0,-0.006652673592967097,-0.19474997084725085,0,2023-05-31,2026-06-30,0.4473684210526316,0.4473684210526316,0.4473684210526316,0
ENTG,historical_mean,3,2023-04-30 to 2026-05-31,three months after the origin (overlapping),38,0.23140906045503487,0.19631748556794926,0.0,0.02178345852804571,-0.331286993966078,0,2023-07-31,2026-08-31,0.42105263157894735,0.42105263157894735,0.42105263157894735,0
ENTG,ridge_full,1,2023-04-30 to 2026-05-31,month after the origin,38,0.14286236706340769,0.1139709785310722,-0.0883759782700626,-0.009150390345672155,-0.1939357269363948,0,2023-05-31,2026-06-30,0.39473684210526316,0.4473684210526316,0.4473684210526316,0
ENTG,ridge_full,3,2023-04-30 to 2026-05-31,three months after the origin (overlapping),38,0.23996583576649194,0.20656288930958677,-0.07532096229107288,0.012961077999662422,-0.19347160615609343,0,2023-07-31,2026-08-31,0.39473684210526316,0.42105263157894735,0.42105263157894735,0
MTRN,boost_full,1,2023-04-30 to 2026-05-31,month after the origin,38,0.12737769430151225,0.10342606962342903,0.0,-0.015589899487790654,-0.048074291192639056,0,2023-05-31,2026-06-30,0.5263157894736842,0.5263157894736842,0.5263157894736842,0
MTRN,boost_full,3,2023-04-30 to 2026-05-31,three months after the origin (overlapping),38,0.24308749086835416,0.17540838834487293,0.028935905261355033,-0.03162145220211505,0.12778564817590804,0,2023-07-31,2026-08-31,0.5789473684210527,0.631578947368421,0.631578947368421,0
MTRN,core_ols,1,2023-04-30 to 2026-05-31,month after the origin,38,0.12359835879642694,0.09869679482806559,0.05846029008513309,-0.0406916163669677,0.43953580351875843,0,2023-05-31,2026-06-30,0.631578947368421,0.5263157894736842,0.5263157894736842,0
MTRN,core_ols,3,2023-04-30 to 2026-05-31,three months after the origin (overlapping),38,0.24708459994506454,0.16647711128398923,-0.0032612316490339133,-0.09904549290264582,0.40543405063519555,0,2023-07-31,2026-08-31,0.6052631578947368,0.631578947368421,0.631578947368421,0
MTRN,forest_full,1,2023-04-30 to 2026-05-31,month after the origin,38,0.12737769430151225,0.10342606962342903,0.0,-0.015589899487790654,-0.048074291192639056,0,2023-05-31,2026-06-30,0.5263157894736842,0.5263157894736842,0.5263157894736842,0
MTRN,forest_full,3,2023-04-30 to 2026-05-31,three months after the origin (overlapping),38,0.25155388955003277,0.17908943930800048,-0.03988364584768389,-0.03928660744556847,-0.3234713576531803,0,2023-07-31,2026-08-31,0.6052631578947368,0.631578947368421,0.631578947368421,0
