task,horizon,ticker,model,window,date,hyperparameter,candidates,retained,missing_indicators,excluded_low_coverage,excluded_constant,retained_set,intercept_only,train_rows,rank,condition_number,effective_df,nonzero_coefficients,tree_leaves,stage
return,1,ATI,elastic_full,expanding,2024-01-31,intercept_only,80,72,0,8,0,bdc805fc9aa2,True,97,0,,0.0,0,,specifications_return_ATI
return,1,ATI,forest_full,expanding,2024-01-31,0,80,72,4,8,0,bdc805fc9aa2,False,97,73,3425.848570034874,,0,397.0,specifications_return_ATI
return,1,ATI,boost_full,expanding,2024-01-31,intercept_only,80,72,0,8,0,bdc805fc9aa2,True,97,0,,0.0,0,,specifications_return_ATI
return,1,ATI,distributed_lag1,expanding,2024-01-31,intercept_only,10,10,0,0,0,3f159deb122a,True,97,0,,0.0,0,,specifications_return_ATI
return,1,ATI,distributed_lag3,expanding,2024-01-31,intercept_only,16,16,0,0,0,5c126f2089c6,True,97,0,,0.0,0,,specifications_return_ATI
return,1,ATI,ar1,expanding,2024-01-31,0,1,1,0,0,0,3d8797b64536,False,97,1,1.0,1.0,1,,specifications_return_ATI
return,1,ATI,core_ridge_financial_ext,expanding,2024-01-31,100.0,8,8,0,0,0,f02eb952d10a,False,97,8,7.8022466934782,0.078757077792443,8,,specifications_return_ATI
return,1,ATI,core_ols_financial_ext,expanding,2024-01-31,0,8,8,0,0,0,f02eb952d10a,False,97,8,7.8022466934782,8.0,8,,specifications_return_ATI
return,1,ATI,A1_market,expanding,2024-01-31,intercept_only,14,12,0,2,0,406d5eb3e717,True,97,0,,0.0,0,,specifications_return_ATI
return,1,ATI,A2_financial,expanding,2024-01-31,intercept_only,36,30,0,6,0,dab488a17518,True,97,0,,0.0,0,,specifications_return_ATI
return,1,ATI,A3_valuation,expanding,2024-01-31,intercept_only,46,39,0,7,0,c62100a84891,True,97,0,,0.0,0,,specifications_return_ATI
return,1,ATI,A4_momentum,expanding,2024-01-31,intercept_only,52,45,0,7,0,635181c7c412,True,97,0,,0.0,0,,specifications_return_ATI
return,1,ATI,A5_risk,expanding,2024-01-31,intercept_only,62,55,0,7,0,de65e4a36b13,True,97,0,,0.0,0,,specifications_return_ATI
return,1,ATI,A6_industry,expanding,2024-01-31,intercept_only,66,59,0,7,0,e8463b1104fb,True,97,0,,0.0,0,,specifications_return_ATI
return,1,ATI,A7_business,expanding,2024-01-31,intercept_only,72,65,0,7,0,3d5db8327499,True,97,0,,0.0,0,,specifications_return_ATI
return,1,ATI,A8_transform,expanding,2024-01-31,intercept_only,80,72,0,8,0,bdc805fc9aa2,True,97,0,,0.0,0,,specifications_return_ATI
return,1,ATI,A9_interaction,expanding,2024-01-31,intercept_only,82,74,0,8,0,2151e36ae0fd,True,97,0,,0.0,0,,specifications_return_ATI
return,1,ATI,P1_financial,expanding,2024-01-31,intercept_only,22,18,0,4,0,7568e36267f6,True,97,0,,0.0,0,,specifications_return_ATI
return,1,ATI,P2_valuation,expanding,2024-01-31,intercept_only,32,27,0,5,0,49a8c04b6b01,True,97,0,,0.0,0,,specifications_return_ATI
return,1,ATI,P3_transform,expanding,2024-01-31,intercept_only,40,34,0,6,0,bdc77e84081d,True,97,0,,0.0,0,,specifications_return_ATI
return,1,ATI,P4_market,expanding,2024-01-31,intercept_only,69,61,0,8,0,1fd2f2db9b82,True,97,0,,0.0,0,,specifications_return_ATI
return,1,ATI,P5_industry,expanding,2024-01-31,intercept_only,74,66,0,8,0,47515588cb01,True,97,0,,0.0,0,,specifications_return_ATI
return,1,ATI,P6_business,expanding,2024-01-31,intercept_only,80,72,0,8,0,bdc805fc9aa2,True,97,0,,0.0,0,,specifications_return_ATI
return,1,ATI,financial_only,expanding,2024-01-31,intercept_only,22,18,0,4,0,7568e36267f6,True,97,0,,0.0,0,,specifications_return_ATI
return,1,ATI,financial_valuation,expanding,2024-01-31,intercept_only,32,27,0,5,0,49a8c04b6b01,True,97,0,,0.0,0,,specifications_return_ATI
return,1,ATI,without_market,expanding,2024-01-31,intercept_only,63,57,0,6,0,39c7f96a505b,True,97,0,,0.0,0,,specifications_return_ATI
return,1,ATI,without_financial,expanding,2024-01-31,intercept_only,54,50,0,4,0,2ba5555a3f45,True,97,0,,0.0,0,,specifications_return_ATI
return,1,ATI,without_valuation,expanding,2024-01-31,intercept_only,66,60,0,6,0,e836c0201204,True,97,0,,0.0,0,,specifications_return_ATI
return,1,ATI,without_momentum,expanding,2024-01-31,intercept_only,74,66,0,8,0,76182b6146a6,True,97,0,,0.0,0,,specifications_return_ATI
return,1,ATI,without_risk,expanding,2024-01-31,100.0,70,62,4,8,0,3174fb5ea767,False,97,63,2674.9791680041526,0.586700752827669,66,,specifications_return_ATI
return,1,ATI,without_industry,expanding,2024-01-31,intercept_only,75,67,0,8,0,57702bd4165c,True,97,0,,0.0,0,,specifications_return_ATI
return,1,ATI,without_business,expanding,2024-01-31,intercept_only,74,66,0,8,0,47515588cb01,True,97,0,,0.0,0,,specifications_return_ATI
return,1,ATI,claims_proxy_sensitivity,expanding,2024-01-31,intercept_only,83,74,0,9,0,791aabc4ce21,True,97,0,,0.0,0,,specifications_return_ATI
return,1,ATI,ridge_rolling84,rolling84,2024-01-31,intercept_only,80,72,0,8,0,bdc805fc9aa2,True,84,0,,0.0,0,,specifications_return_ATI
market_relative_return,1,ATI,core_ridge,expanding,2024-01-31,intercept_only,6,6,0,0,0,580c0de17c4f,True,97,0,,0.0,0,,specifications_return_ATI
market_relative_return,1,ATI,ridge_full,expanding,2024-01-31,intercept_only,80,72,0,8,0,bdc805fc9aa2,True,97,0,,0.0,0,,specifications_return_ATI
market_relative_return,1,ATI,boost_full,expanding,2024-01-31,intercept_only,80,72,0,8,0,bdc805fc9aa2,True,97,0,,0.0,0,,specifications_return_ATI
return,1,ATI,core_ols,expanding,2024-02-29,0,6,6,0,0,0,580c0de17c4f,False,98,6,7.439322329118268,6.0,6,,specifications_return_ATI
return,1,ATI,core_ridge,expanding,2024-02-29,intercept_only,6,6,0,0,0,580c0de17c4f,True,98,0,,0.0,0,,specifications_return_ATI
return,1,ATI,arx,expanding,2024-02-29,0,7,7,0,0,0,c5d188be54d6,False,98,7,7.464105013355579,7.0,7,,specifications_return_ATI
return,1,ATI,ridge_full,expanding,2024-02-29,intercept_only,80,72,0,8,0,bdc805fc9aa2,True,98,0,,0.0,0,,specifications_return_ATI
return,1,ATI,lasso_full,expanding,2024-02-29,intercept_only,80,72,0,8,0,bdc805fc9aa2,True,98,0,,0.0,0,,specifications_return_ATI
return,1,ATI,elastic_full,expanding,2024-02-29,intercept_only,80,72,0,8,0,bdc805fc9aa2,True,98,0,,0.0,0,,specifications_return_ATI
return,1,ATI,forest_full,expanding,2024-02-29,0,80,72,4,8,0,bdc805fc9aa2,False,98,73,3447.3590290904035,,0,398.0,specifications_return_ATI
return,1,ATI,boost_full,expanding,2024-02-29,intercept_only,80,72,0,8,0,bdc805fc9aa2,True,98,0,,0.0,0,,specifications_return_ATI
return,1,ATI,distributed_lag1,expanding,2024-02-29,intercept_only,10,10,0,0,0,3f159deb122a,True,98,0,,0.0,0,,specifications_return_ATI
return,1,ATI,distributed_lag3,expanding,2024-02-29,intercept_only,16,16,0,0,0,5c126f2089c6,True,98,0,,0.0,0,,specifications_return_ATI
return,1,ATI,ar1,expanding,2024-02-29,0,1,1,0,0,0,3d8797b64536,False,98,1,1.0,1.0,1,,specifications_return_ATI
return,1,ATI,core_ridge_financial_ext,expanding,2024-02-29,100.0,8,8,0,0,0,f02eb952d10a,False,98,8,7.798929619412455,0.0787688311105231,8,,specifications_return_ATI
return,1,ATI,core_ols_financial_ext,expanding,2024-02-29,0,8,8,0,0,0,f02eb952d10a,False,98,8,7.798929619412455,8.0,8,,specifications_return_ATI
return,1,ATI,A1_market,expanding,2024-02-29,intercept_only,14,12,0,2,0,406d5eb3e717,True,98,0,,0.0,0,,specifications_return_ATI
return,1,ATI,A2_financial,expanding,2024-02-29,intercept_only,36,30,0,6,0,dab488a17518,True,98,0,,0.0,0,,specifications_return_ATI
return,1,ATI,A3_valuation,expanding,2024-02-29,intercept_only,46,39,0,7,0,c62100a84891,True,98,0,,0.0,0,,specifications_return_ATI
return,1,ATI,A4_momentum,expanding,2024-02-29,intercept_only,52,45,0,7,0,635181c7c412,True,98,0,,0.0,0,,specifications_return_ATI
return,1,ATI,A5_risk,expanding,2024-02-29,intercept_only,62,55,0,7,0,de65e4a36b13,True,98,0,,0.0,0,,specifications_return_ATI
return,1,ATI,A6_industry,expanding,2024-02-29,intercept_only,66,59,0,7,0,e8463b1104fb,True,98,0,,0.0,0,,specifications_return_ATI
return,1,ATI,A7_business,expanding,2024-02-29,intercept_only,72,65,0,7,0,3d5db8327499,True,98,0,,0.0,0,,specifications_return_ATI
return,1,ATI,A8_transform,expanding,2024-02-29,intercept_only,80,72,0,8,0,bdc805fc9aa2,True,98,0,,0.0,0,,specifications_return_ATI
return,1,ATI,A9_interaction,expanding,2024-02-29,intercept_only,82,74,0,8,0,2151e36ae0fd,True,98,0,,0.0,0,,specifications_return_ATI
return,1,ATI,P1_financial,expanding,2024-02-29,intercept_only,22,18,0,4,0,7568e36267f6,True,98,0,,0.0,0,,specifications_return_ATI
return,1,ATI,P2_valuation,expanding,2024-02-29,intercept_only,32,27,0,5,0,49a8c04b6b01,True,98,0,,0.0,0,,specifications_return_ATI
return,1,ATI,P3_transform,expanding,2024-02-29,intercept_only,40,34,0,6,0,bdc77e84081d,True,98,0,,0.0,0,,specifications_return_ATI
return,1,ATI,P4_market,expanding,2024-02-29,intercept_only,69,61,0,8,0,1fd2f2db9b82,True,98,0,,0.0,0,,specifications_return_ATI
return,1,ATI,P5_industry,expanding,2024-02-29,intercept_only,74,66,0,8,0,47515588cb01,True,98,0,,0.0,0,,specifications_return_ATI
return,1,ATI,P6_business,expanding,2024-02-29,intercept_only,80,72,0,8,0,bdc805fc9aa2,True,98,0,,0.0,0,,specifications_return_ATI
return,1,ATI,financial_only,expanding,2024-02-29,intercept_only,22,18,0,4,0,7568e36267f6,True,98,0,,0.0,0,,specifications_return_ATI
return,1,ATI,financial_valuation,expanding,2024-02-29,intercept_only,32,27,0,5,0,49a8c04b6b01,True,98,0,,0.0,0,,specifications_return_ATI
return,1,ATI,without_market,expanding,2024-02-29,intercept_only,63,57,0,6,0,39c7f96a505b,True,98,0,,0.0,0,,specifications_return_ATI
return,1,ATI,without_financial,expanding,2024-02-29,intercept_only,54,50,0,4,0,2ba5555a3f45,True,98,0,,0.0,0,,specifications_return_ATI
return,1,ATI,without_valuation,expanding,2024-02-29,intercept_only,66,60,0,6,0,e836c0201204,True,98,0,,0.0,0,,specifications_return_ATI
return,1,ATI,without_momentum,expanding,2024-02-29,intercept_only,74,66,0,8,0,76182b6146a6,True,98,0,,0.0,0,,specifications_return_ATI
return,1,ATI,without_risk,expanding,2024-02-29,100.0,70,62,4,8,0,3174fb5ea767,False,98,63,2676.995651577011,0.586803974857697,66,,specifications_return_ATI
return,1,ATI,without_industry,expanding,2024-02-29,intercept_only,75,67,0,8,0,57702bd4165c,True,98,0,,0.0,0,,specifications_return_ATI
return,1,ATI,without_business,expanding,2024-02-29,intercept_only,74,66,0,8,0,47515588cb01,True,98,0,,0.0,0,,specifications_return_ATI
return,1,ATI,claims_proxy_sensitivity,expanding,2024-02-29,intercept_only,83,74,0,9,0,791aabc4ce21,True,98,0,,0.0,0,,specifications_return_ATI
return,1,ATI,ridge_rolling84,rolling84,2024-02-29,intercept_only,80,72,0,8,0,bdc805fc9aa2,True,84,0,,0.0,0,,specifications_return_ATI
market_relative_return,1,ATI,core_ridge,expanding,2024-02-29,intercept_only,6,6,0,0,0,580c0de17c4f,True,98,0,,0.0,0,,specifications_return_ATI
market_relative_return,1,ATI,ridge_full,expanding,2024-02-29,intercept_only,80,72,0,8,0,bdc805fc9aa2,True,98,0,,0.0,0,,specifications_return_ATI
market_relative_return,1,ATI,boost_full,expanding,2024-02-29,intercept_only,80,72,0,8,0,bdc805fc9aa2,True,98,0,,0.0,0,,specifications_return_ATI
return,1,ATI,core_ols,expanding,2024-03-31,0,6,6,0,0,0,580c0de17c4f,False,99,6,7.45840639328194,6.0,6,,specifications_return_ATI
return,1,ATI,core_ridge,expanding,2024-03-31,intercept_only,6,6,0,0,0,580c0de17c4f,True,99,0,,0.0,0,,specifications_return_ATI
return,1,ATI,arx,expanding,2024-03-31,0,7,7,0,0,0,c5d188be54d6,False,99,7,7.477862448912436,7.0,7,,specifications_return_ATI
return,1,ATI,ridge_full,expanding,2024-03-31,intercept_only,80,72,0,8,0,bdc805fc9aa2,True,99,0,,0.0,0,,specifications_return_ATI
return,1,ATI,lasso_full,expanding,2024-03-31,intercept_only,80,72,0,8,0,bdc805fc9aa2,True,99,0,,0.0,0,,specifications_return_ATI
return,1,ATI,elastic_full,expanding,2024-03-31,intercept_only,80,72,0,8,0,bdc805fc9aa2,True,99,0,,0.0,0,,specifications_return_ATI
return,1,ATI,forest_full,expanding,2024-03-31,0,80,72,4,8,0,bdc805fc9aa2,False,99,73,3329.4862023622786,,0,397.0,specifications_return_ATI
return,1,ATI,boost_full,expanding,2024-03-31,intercept_only,80,72,0,8,0,bdc805fc9aa2,True,99,0,,0.0,0,,specifications_return_ATI
return,1,ATI,distributed_lag1,expanding,2024-03-31,intercept_only,10,10,0,0,0,3f159deb122a,True,99,0,,0.0,0,,specifications_return_ATI
return,1,ATI,distributed_lag3,expanding,2024-03-31,intercept_only,16,16,0,0,0,5c126f2089c6,True,99,0,,0.0,0,,specifications_return_ATI
return,1,ATI,ar1,expanding,2024-03-31,0,1,1,0,0,0,3d8797b64536,False,99,1,1.0,1.0,1,,specifications_return_ATI
return,1,ATI,core_ridge_financial_ext,expanding,2024-03-31,100.0,8,8,0,0,0,f02eb952d10a,False,99,8,7.806521082952437,0.0787742359331506,8,,specifications_return_ATI
return,1,ATI,core_ols_financial_ext,expanding,2024-03-31,0,8,8,0,0,0,f02eb952d10a,False,99,8,7.806521082952437,8.0,8,,specifications_return_ATI
return,1,ATI,A1_market,expanding,2024-03-31,intercept_only,14,12,0,2,0,406d5eb3e717,True,99,0,,0.0,0,,specifications_return_ATI
return,1,ATI,A2_financial,expanding,2024-03-31,intercept_only,36,30,0,6,0,dab488a17518,True,99,0,,0.0,0,,specifications_return_ATI
return,1,ATI,A3_valuation,expanding,2024-03-31,intercept_only,46,39,0,7,0,c62100a84891,True,99,0,,0.0,0,,specifications_return_ATI
return,1,ATI,A4_momentum,expanding,2024-03-31,intercept_only,52,45,0,7,0,635181c7c412,True,99,0,,0.0,0,,specifications_return_ATI
return,1,ATI,A5_risk,expanding,2024-03-31,intercept_only,62,55,0,7,0,de65e4a36b13,True,99,0,,0.0,0,,specifications_return_ATI
return,1,ATI,A6_industry,expanding,2024-03-31,intercept_only,66,59,0,7,0,e8463b1104fb,True,99,0,,0.0,0,,specifications_return_ATI
return,1,ATI,A7_business,expanding,2024-03-31,intercept_only,72,65,0,7,0,3d5db8327499,True,99,0,,0.0,0,,specifications_return_ATI
return,1,ATI,A8_transform,expanding,2024-03-31,intercept_only,80,72,0,8,0,bdc805fc9aa2,True,99,0,,0.0,0,,specifications_return_ATI
return,1,ATI,A9_interaction,expanding,2024-03-31,intercept_only,82,74,0,8,0,2151e36ae0fd,True,99,0,,0.0,0,,specifications_return_ATI
return,1,ATI,P1_financial,expanding,2024-03-31,intercept_only,22,18,0,4,0,7568e36267f6,True,99,0,,0.0,0,,specifications_return_ATI
return,1,ATI,P2_valuation,expanding,2024-03-31,intercept_only,32,27,0,5,0,49a8c04b6b01,True,99,0,,0.0,0,,specifications_return_ATI
return,1,ATI,P3_transform,expanding,2024-03-31,intercept_only,40,34,0,6,0,bdc77e84081d,True,99,0,,0.0,0,,specifications_return_ATI
return,1,ATI,P4_market,expanding,2024-03-31,intercept_only,69,61,0,8,0,1fd2f2db9b82,True,99,0,,0.0,0,,specifications_return_ATI
return,1,ATI,P5_industry,expanding,2024-03-31,intercept_only,74,66,0,8,0,47515588cb01,True,99,0,,0.0,0,,specifications_return_ATI
return,1,ATI,P6_business,expanding,2024-03-31,intercept_only,80,72,0,8,0,bdc805fc9aa2,True,99,0,,0.0,0,,specifications_return_ATI
