task,horizon,ticker,model,regime,value,n,rmse,mae,r2_oos,bias,forecast_correlation,fallback_count,start,end,directional_accuracy,always_up_accuracy,benchmark_directional_accuracy,zero_forecasts,qlike,root_variance_rmse,root_variance_mae,root_variance_correlation
market_relative_return,1,CRS,core_ridge,rate_rising_regime,1,28,0.15910015765693838,0.13162410274100061,-0.11795739494153956,-0.02333684740657651,-0.3055247114376316,0,2023-01-31,2026-08-31,0.6071428571428571,0.6071428571428571,0.6071428571428571,0.0,,,,
market_relative_return,1,CRS,core_ridge,calendar_year,2023,12,0.11845708530257436,0.09781965978225236,0.0,-0.03606199368727065,-0.6158122957639734,0,2023-01-31,2023-12-31,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,,,,
market_relative_return,1,CRS,core_ridge,calendar_year,2024,12,0.1617393382815057,0.13110007297640944,-0.01406223658036354,-0.06167562527477888,0.06191802050322938,0,2024-01-31,2024-12-31,0.5,0.5,0.5,0.0,,,,
market_relative_return,1,CRS,core_ridge,calendar_year,2025,12,0.11448285610750719,0.09535017391549772,-0.117983329073027,0.023266020767321875,-0.4679899631095045,0,2025-01-31,2025-12-31,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.0,,,,
market_relative_return,1,CRS,core_ridge,calendar_year,2026,8,0.1786969697935229,0.15426230176134348,-0.24818177235406558,0.03734800872734633,-0.6763542504903952,0,2026-01-31,2026-08-31,0.5,0.5,0.5,0.0,,,,
market_relative_return,1,CRS,historical_mean,high_vol_regime,0,32,0.14318442874267523,0.11338711908222748,0.0,-0.03341587666116262,0.0038853304842208815,0,2023-03-31,2026-08-31,0.53125,0.53125,0.53125,0.0,,,,
market_relative_return,1,CRS,historical_mean,high_vol_regime,1,12,0.11805183021229027,0.09831338456490696,0.0,-0.04894887385393315,-0.6683428748201067,0,2023-01-31,2026-07-31,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,,,,
market_relative_return,1,CRS,historical_mean,rate_rising_regime,0,16,0.10877559233305184,0.08524837002972833,0.0,-0.020008934311200804,0.0487168806466133,0,2023-02-28,2026-01-31,0.5,0.5,0.5,0.0,,,,
market_relative_return,1,CRS,historical_mean,rate_rising_regime,1,28,0.15047279344724415,0.12300623231908961,0.0,-0.04773398537232816,-0.24212500276975146,0,2023-01-31,2026-08-31,0.6071428571428571,0.6071428571428571,0.6071428571428571,0.0,,,,
market_relative_return,1,CRS,historical_mean,calendar_year,2023,12,0.11845708530257436,0.09781965978225236,0.0,-0.03606199368727065,-0.6158122957639734,0,2023-01-31,2023-12-31,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,,,,
market_relative_return,1,CRS,historical_mean,calendar_year,2024,12,0.16061398479066244,0.13190418471000626,0.0,-0.05620425194136348,-0.193315170680517,0,2024-01-31,2024-12-31,0.5,0.5,0.5,0.0,,,,
market_relative_return,1,CRS,historical_mean,calendar_year,2025,12,0.10827365358118714,0.09069738985154212,0.0,-0.027968682748320133,-0.5333003832948572,0,2025-01-31,2025-12-31,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.0,,,,
market_relative_return,1,CRS,historical_mean,calendar_year,2026,8,0.15994779967029535,0.12038670166056921,0.0,-0.026734424860118813,-0.5958208807363061,0,2026-01-31,2026-08-31,0.5,0.5,0.5,0.0,,,,
market_relative_return,1,CRS,ridge_full,high_vol_regime,0,32,0.15012031255651564,0.12254696930304798,-0.09922687419109577,-0.02294219681326298,-0.11274772465273519,0,2023-03-31,2026-08-31,0.4375,0.53125,0.53125,0.0,,,,
market_relative_return,1,CRS,ridge_full,high_vol_regime,1,12,0.10761695649758339,0.0846513323216098,0.16897141555621165,-0.03443817408867225,0.19822189069643323,0,2023-01-31,2026-07-31,0.8333333333333334,0.6666666666666666,0.6666666666666666,0.0,,,,
market_relative_return,1,CRS,ridge_full,rate_rising_regime,0,16,0.10964263098450769,0.09094718436596264,-0.0160053219498828,-0.0029769130900661085,0.05715371876326136,0,2023-02-28,2026-01-31,0.5625,0.5,0.5,0.0,,,,
market_relative_return,1,CRS,ridge_full,rate_rising_regime,1,28,0.15443309591494217,0.12436300198933756,-0.05333081276366958,-0.039277777773122316,-0.07566391849995559,0,2023-01-31,2026-08-31,0.5357142857142857,0.6071428571428571,0.6071428571428571,0.0,,,,
market_relative_return,1,CRS,ridge_full,calendar_year,2023,12,0.11845708530257436,0.09781965978225236,0.0,-0.03606199368727065,-0.6158122957639734,0,2023-01-31,2023-12-31,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,,,,
