ticker,date,model,parameter,validation_mse,order
ATI,2022-12-31,without_risk,1.0,0.1368173301229679,
ATI,2022-12-31,without_risk,10.0,0.05091524055118692,
ATI,2022-12-31,without_risk,100.0,0.026748385487797694,
ATI,2022-12-31,without_industry,0.01,0.7856471912242317,
ATI,2022-12-31,without_industry,0.1,0.2700199047229868,
ATI,2022-12-31,without_industry,1.0,0.08952162990539352,
ATI,2022-12-31,without_industry,10.0,0.05868832072331361,
ATI,2022-12-31,without_industry,100.0,0.029147952126470644,
ATI,2022-12-31,without_business,0.01,0.17105109808023886,
ATI,2022-12-31,without_business,0.1,0.1480038751778248,
ATI,2022-12-31,without_business,1.0,0.09887560865885325,
ATI,2022-12-31,without_business,10.0,0.061622697274049065,
ATI,2022-12-31,without_business,100.0,0.029750529189384613,
ATI,2022-12-31,claims_proxy_sensitivity,0.01,0.38452438348572043,
ATI,2022-12-31,claims_proxy_sensitivity,0.1,0.2625041841902471,
ATI,2022-12-31,claims_proxy_sensitivity,1.0,0.09774654124662008,
ATI,2022-12-31,claims_proxy_sensitivity,10.0,0.0642141921472571,
ATI,2022-12-31,claims_proxy_sensitivity,100.0,0.03009481715933954,
ATI,2022-12-31,arimax,,0.023309568348266127,"[0, 0]"
ATI,2022-12-31,arimax,,0.026585553476059676,"[1, 0]"
ATI,2022-12-31,arimax,,0.02878333244166807,"[2, 0]"
ATI,2022-12-31,arimax,,0.04809538303402728,"[0, 1]"
ATI,2022-12-31,arimax,,inf,"[1, 1]"
ATI,2023-12-31,core_ols,0,0.021976291106019546,
ATI,2023-12-31,core_ridge,0.01,0.021970726915144952,
ATI,2023-12-31,core_ridge,0.1,0.021923377650553046,
ATI,2023-12-31,core_ridge,1.0,0.02163229231534647,
ATI,2023-12-31,core_ridge,10.0,0.021228693447393462,
ATI,2023-12-31,core_ridge,100.0,0.019858642181981676,
ATI,2023-12-31,arx,0,0.02302404498949452,
ATI,2023-12-31,ridge_full,0.01,0.3021544414599993,
ATI,2023-12-31,ridge_full,0.1,0.22181791089255634,
ATI,2023-12-31,ridge_full,1.0,0.09012564968727511,
ATI,2023-12-31,ridge_full,10.0,0.04341457931502291,
ATI,2023-12-31,ridge_full,100.0,0.02412394088913858,
ATI,2023-12-31,lasso_full,0.01,0.09342650254731284,
ATI,2023-12-31,lasso_full,0.1,0.020704353849950393,
ATI,2023-12-31,lasso_full,1.0,0.019137319002460764,
ATI,2023-12-31,lasso_full,10.0,0.019137319002460764,
ATI,2023-12-31,lasso_full,100.0,0.019137319002460764,
ATI,2023-12-31,elastic_full,"(0.01, 0.2)",0.09220749818393191,
ATI,2023-12-31,elastic_full,"(0.01, 0.5)",0.09964314704307281,
ATI,2023-12-31,elastic_full,"(0.01, 0.8)",0.09580693126271361,
ATI,2023-12-31,elastic_full,"(0.1, 0.2)",0.033875270843295245,
ATI,2023-12-31,elastic_full,"(0.1, 0.5)",0.02816704098764768,
ATI,2023-12-31,elastic_full,"(0.1, 0.8)",0.022059174721331884,
ATI,2023-12-31,elastic_full,"(1.0, 0.2)",0.01948297253479541,
ATI,2023-12-31,elastic_full,"(1.0, 0.5)",0.019137319002460764,
ATI,2023-12-31,elastic_full,"(1.0, 0.8)",0.019137319002460764,
ATI,2023-12-31,elastic_full,"(10.0, 0.2)",0.019137319002460764,
ATI,2023-12-31,elastic_full,"(10.0, 0.5)",0.019137319002460764,
ATI,2023-12-31,elastic_full,"(10.0, 0.8)",0.019137319002460764,
ATI,2023-12-31,elastic_full,"(100.0, 0.2)",0.019137319002460764,
ATI,2023-12-31,elastic_full,"(100.0, 0.5)",0.019137319002460764,
ATI,2023-12-31,elastic_full,"(100.0, 0.8)",0.019137319002460764,
ATI,2023-12-31,forest_full,0,0.018777278182584397,
ATI,2023-12-31,forest_full,1,0.017572520699910932,
ATI,2023-12-31,boost_full,0,0.020042162737513494,
ATI,2023-12-31,boost_full,1,0.021399955709622775,
ATI,2023-12-31,distributed_lag1,0.01,0.023891837268570453,
ATI,2023-12-31,distributed_lag1,0.1,0.02382243298994416,
ATI,2023-12-31,distributed_lag1,1.0,0.023450770391986276,
ATI,2023-12-31,distributed_lag1,10.0,0.02316765290069006,
ATI,2023-12-31,distributed_lag1,100.0,0.021285141388828286,
ATI,2023-12-31,distributed_lag3,0.01,0.020786391487245735,
ATI,2023-12-31,distributed_lag3,0.1,0.020751642507495723,
ATI,2023-12-31,distributed_lag3,1.0,0.021532415158816046,
ATI,2023-12-31,distributed_lag3,10.0,0.024174670094343053,
ATI,2023-12-31,distributed_lag3,100.0,0.022405860914115953,
ATI,2023-12-31,ar1,0,0.01926234806479336,
ATI,2023-12-31,A1_market,0.01,0.04974826544814593,
ATI,2023-12-31,A1_market,0.1,0.031213575422767616,
ATI,2023-12-31,A1_market,1.0,0.027311206876385986,
ATI,2023-12-31,A1_market,10.0,0.024241939524709034,
ATI,2023-12-31,A1_market,100.0,0.020687149011345617,
ATI,2023-12-31,A2_financial,0.01,0.04471643091180405,
ATI,2023-12-31,A2_financial,0.1,0.04020101967430109,
ATI,2023-12-31,A2_financial,1.0,0.03143429962572287,
ATI,2023-12-31,A2_financial,10.0,0.032001040363115456,
ATI,2023-12-31,A2_financial,100.0,0.024254518277095485,
ATI,2023-12-31,A3_valuation,0.01,0.6682833226377788,
ATI,2023-12-31,A3_valuation,0.1,0.20282022296138655,
ATI,2023-12-31,A3_valuation,1.0,0.08045875679667293,
ATI,2023-12-31,A3_valuation,10.0,0.03328201008883017,
ATI,2023-12-31,A3_valuation,100.0,0.023699024348122478,
ATI,2023-12-31,A4_momentum,0.01,1.3943142727611797,
ATI,2023-12-31,A4_momentum,0.1,0.3442014106725149,
ATI,2023-12-31,A4_momentum,1.0,0.09323302438193011,
ATI,2023-12-31,A4_momentum,10.0,0.036912521567580875,
ATI,2023-12-31,A4_momentum,100.0,0.024529377474813308,
ATI,2023-12-31,A5_risk,0.01,0.23482214972071289,
ATI,2023-12-31,A5_risk,0.1,0.1881115089167761,
ATI,2023-12-31,A5_risk,1.0,0.09786630542310792,
ATI,2023-12-31,A5_risk,10.0,0.04629883997819404,
ATI,2023-12-31,A5_risk,100.0,0.02612144655067991,
ATI,2023-12-31,A6_industry,0.01,0.24574048559546127,
ATI,2023-12-31,A6_industry,0.1,0.19412835608293202,
ATI,2023-12-31,A6_industry,1.0,0.09520668163141988,
ATI,2023-12-31,A6_industry,10.0,0.042325897971309534,
ATI,2023-12-31,A6_industry,100.0,0.025517997263444423,
ATI,2023-12-31,A7_business,0.01,0.27699064596007394,
ATI,2023-12-31,A7_business,0.1,0.2208748775539787,
ATI,2023-12-31,A7_business,1.0,0.09040096792268665,
ATI,2023-12-31,A7_business,10.0,0.043933604454044595,
ATI,2023-12-31,A7_business,100.0,0.025256304302579486,
ATI,2023-12-31,A8_transform,0.01,0.3021544414599993,
ATI,2023-12-31,A8_transform,0.1,0.22181791089255634,
ATI,2023-12-31,A8_transform,1.0,0.09012564968727511,
ATI,2023-12-31,A8_transform,10.0,0.04341457931502291,
ATI,2023-12-31,A8_transform,100.0,0.02412394088913858,
ATI,2023-12-31,A9_interaction,0.01,0.27583346386094115,
ATI,2023-12-31,A9_interaction,0.1,0.23088277864992426,
ATI,2023-12-31,A9_interaction,1.0,0.09051913642997379,
ATI,2023-12-31,A9_interaction,10.0,0.043343470167911395,
ATI,2023-12-31,A9_interaction,100.0,0.024341771662298936,
ATI,2023-12-31,P1_financial,0.01,0.036702428130413946,
ATI,2023-12-31,P1_financial,0.1,0.03279297305104651,
ATI,2023-12-31,P1_financial,1.0,0.03465218682772842,
ATI,2023-12-31,P1_financial,10.0,0.031213868324188127,
ATI,2023-12-31,P1_financial,100.0,0.022879322395319483,
ATI,2023-12-31,P2_valuation,0.01,0.7320525646186766,
ATI,2023-12-31,P2_valuation,0.1,0.30845088571970086,
ATI,2023-12-31,P2_valuation,1.0,0.11960054169954137,
ATI,2023-12-31,P2_valuation,10.0,0.03913418720432047,
ATI,2023-12-31,P2_valuation,100.0,0.024174819139460884,
ATI,2023-12-31,P3_transform,0.01,0.8251690884521641,
ATI,2023-12-31,P3_transform,0.1,0.45705343702366735,
ATI,2023-12-31,P3_transform,1.0,0.16446197457587766,
ATI,2023-12-31,P3_transform,10.0,0.0388854570371111,
ATI,2023-12-31,P3_transform,100.0,0.022942677536450008,
ATI,2023-12-31,P4_market,0.01,0.4044378049852077,
ATI,2023-12-31,P4_market,0.1,0.17601648309656678,
ATI,2023-12-31,P4_market,1.0,0.09452927937125055,
ATI,2023-12-31,P4_market,10.0,0.04409996891096088,
ATI,2023-12-31,P4_market,100.0,0.024506783651876127,
ATI,2023-12-31,P5_industry,0.01,0.24152026173526595,
ATI,2023-12-31,P5_industry,0.1,0.1676637518892082,
ATI,2023-12-31,P5_industry,1.0,0.09837749391055994,
ATI,2023-12-31,P5_industry,10.0,0.04219085954352244,
ATI,2023-12-31,P5_industry,100.0,0.02428890866887666,
ATI,2023-12-31,P6_business,0.01,0.3021544414599993,
ATI,2023-12-31,P6_business,0.1,0.22181791089255634,
ATI,2023-12-31,P6_business,1.0,0.09012564968727511,
ATI,2023-12-31,P6_business,10.0,0.04341457931502291,
ATI,2023-12-31,P6_business,100.0,0.02412394088913858,
ATI,2023-12-31,financial_only,0.01,0.036702428130413946,
ATI,2023-12-31,financial_only,0.1,0.03279297305104651,
ATI,2023-12-31,financial_only,1.0,0.03465218682772842,
ATI,2023-12-31,financial_only,10.0,0.031213868324188127,
ATI,2023-12-31,financial_only,100.0,0.022879322395319483,
ATI,2023-12-31,financial_valuation,0.01,0.7320525646186766,
ATI,2023-12-31,financial_valuation,0.1,0.30845088571970086,
ATI,2023-12-31,financial_valuation,1.0,0.11960054169954137,
ATI,2023-12-31,financial_valuation,10.0,0.03913418720432047,
ATI,2023-12-31,financial_valuation,100.0,0.024174819139460884,
ATI,2023-12-31,without_market,0.01,0.29835207607653086,
