ticker,date,model,parameter,validation_mse,order
MTRN,2023-12-31,financial_only,10.0,0.00970021925980296,
MTRN,2023-12-31,financial_only,100.0,0.009618446243705923,
MTRN,2023-12-31,financial_valuation,0.01,0.0311799165060222,
MTRN,2023-12-31,financial_valuation,0.1,0.019535352196842617,
MTRN,2023-12-31,financial_valuation,1.0,0.011874499434018025,
MTRN,2023-12-31,financial_valuation,10.0,0.01010767252753507,
MTRN,2023-12-31,financial_valuation,100.0,0.009723519260692466,
MTRN,2023-12-31,without_market,0.01,0.06489082325566681,
MTRN,2023-12-31,without_market,0.1,0.047000801861744386,
MTRN,2023-12-31,without_market,1.0,0.035083602788839686,
MTRN,2023-12-31,without_market,10.0,0.02127863268200711,
MTRN,2023-12-31,without_market,100.0,0.011776549006696583,
MTRN,2023-12-31,without_financial,0.01,0.0896404016987709,
MTRN,2023-12-31,without_financial,0.1,0.1016135353376796,
MTRN,2023-12-31,without_financial,1.0,0.053327426652953175,
MTRN,2023-12-31,without_financial,10.0,0.022660411302666262,
MTRN,2023-12-31,without_financial,100.0,0.011164721525050833,
MTRN,2023-12-31,without_valuation,0.01,0.37170230647625546,
MTRN,2023-12-31,without_valuation,0.1,0.14405032792175565,
MTRN,2023-12-31,without_valuation,1.0,0.051225958442014906,
MTRN,2023-12-31,without_valuation,10.0,0.018959294898248463,
MTRN,2023-12-31,without_valuation,100.0,0.01095539802165286,
MTRN,2023-12-31,without_momentum,0.01,0.7540278332396392,
MTRN,2023-12-31,without_momentum,0.1,0.18385650701297726,
MTRN,2023-12-31,without_momentum,1.0,0.05228176603514575,
MTRN,2023-12-31,without_momentum,10.0,0.019256173810710625,
MTRN,2023-12-31,without_momentum,100.0,0.011781490836896495,
MTRN,2023-12-31,without_risk,0.01,0.10415972161620458,
MTRN,2023-12-31,without_risk,0.1,0.05837440598863037,
MTRN,2023-12-31,without_risk,1.0,0.03435353029135438,
MTRN,2023-12-31,without_risk,10.0,0.022307479714770262,
MTRN,2023-12-31,without_risk,100.0,0.012606365790488844,
MTRN,2023-12-31,without_industry,0.01,0.1838369508649275,
MTRN,2023-12-31,without_industry,0.1,0.14286527904380628,
MTRN,2023-12-31,without_industry,1.0,0.05827672752041262,
MTRN,2023-12-31,without_industry,10.0,0.02050991320296305,
MTRN,2023-12-31,without_industry,100.0,0.01093748361845065,
MTRN,2023-12-31,without_business,0.01,0.48577408408406236,
MTRN,2023-12-31,without_business,0.1,0.16212146462182117,
MTRN,2023-12-31,without_business,1.0,0.033292063657891995,
MTRN,2023-12-31,without_business,10.0,0.012881219038246834,
MTRN,2023-12-31,without_business,100.0,0.010266889542670224,
MTRN,2023-12-31,claims_proxy_sensitivity,0.01,0.893293465964002,
MTRN,2023-12-31,claims_proxy_sensitivity,0.1,0.17835980533016224,
MTRN,2023-12-31,claims_proxy_sensitivity,1.0,0.052115213346356416,
MTRN,2023-12-31,claims_proxy_sensitivity,10.0,0.020334018559816303,
MTRN,2023-12-31,claims_proxy_sensitivity,100.0,0.011479609564341645,
MTRN,2023-12-31,mine_inclusive_fcf,0.01,0.893293465964002,
