ticker,fit,first,second,correlation
ATI,initial,operating_margin,net_margin,0.9878009000515675
ATI,initial,operating_margin,ebitda_margin,0.9996535213080746
ATI,initial,operating_margin,roa,0.9832395347520791
ATI,initial,operating_margin,roe,0.96761535655304
ATI,initial,operating_margin,earnings_yield,0.9500276794957966
ATI,initial,operating_margin,peer_earnings_yield_gap,0.9493929746824901
ATI,initial,net_margin,ebitda_margin,0.9897013696411163
ATI,initial,net_margin,roa,0.9979322568729755
ATI,initial,net_margin,roe,0.9910685667699191
ATI,initial,net_margin,earnings_yield,0.9386530785766124
ATI,initial,net_margin,earnings_yield_relative,0.9145891970939104
ATI,initial,net_margin,peer_earnings_yield_gap,0.9345183372415427
ATI,initial,ebitda_margin,roa,0.9847770079079429
ATI,initial,ebitda_margin,roe,0.9711769618826652
ATI,initial,ebitda_margin,earnings_yield,0.9468407747181226
ATI,initial,ebitda_margin,peer_earnings_yield_gap,0.9460912416236466
ATI,initial,roa,roe,0.9893975507556522
ATI,initial,roa,earnings_yield,0.9458690431906163
ATI,initial,roa,earnings_yield_relative,0.9236548150874078
ATI,initial,roa,peer_earnings_yield_gap,0.9405810150346228
ATI,initial,roe,earnings_yield,0.9089952385668918
ATI,initial,roe,earnings_yield_relative,0.9160597557181172
ATI,initial,roe,peer_earnings_yield_gap,0.90310892665503
ATI,initial,cfo_assets,fcf_equipment_assets,0.9853267807906583
ATI,initial,cfo_assets,fcf_equipment_yield,0.9162860153276327
ATI,initial,fcf_equipment_assets,fcf_equipment_yield,0.9301707167380823
ATI,initial,earnings_yield,earnings_yield_relative,0.9125627848036301
ATI,initial,earnings_yield,peer_earnings_yield_gap,0.9990987384351164
ATI,initial,earnings_yield,earnings_yield_lag1,0.9087543820865728
ATI,initial,book_yield,sales_yield,0.9590235933875112
ATI,initial,earnings_yield_relative,earnings_yield_percentile,0.930053939024415
ATI,initial,earnings_yield_relative,peer_earnings_yield_gap,0.9051305485582842
ATI,initial,peer_earnings_yield_gap,earnings_yield_lag1,0.9075768638425304
ATI,initial,momentum_3,relative_momentum,0.9740469169984154
ATI,initial,momentum_3,industry_momentum_relative,0.9528463738769769
ATI,initial,relative_momentum,industry_momentum_relative,0.9761178300838125
ATI,initial,vol_63,downside_deviation,0.910369629126287
ATI,initial,vol_252,idio_vol,0.9798150312152112
ATI,initial,operating_margin_diff,roe_diff,0.9519110897923917
ATI,initial,gross_margin missing,earnings_yield_relative missing,0.912870929175277
ATI,initial,gross_margin missing,earnings_yield_percentile missing,0.912870929175277
ATI,initial,gross_margin missing,fcf_equipment_yield_relative missing,0.912870929175277
ATI,initial,earnings_yield_relative missing,earnings_yield_percentile missing,1.0
ATI,initial,earnings_yield_relative missing,fcf_equipment_yield_relative missing,1.0
ATI,initial,earnings_yield_percentile missing,fcf_equipment_yield_relative missing,1.0
ATI,final,yield_10y,yield_short,0.9112645546233538
ATI,final,yield_10y,real_yield,0.9572586648116166
ATI,final,yield_short,real_yield,0.9056342427184214
ATI,final,eurusd_return,dollar_return,-0.9628209684633255
ATI,final,revenue_growth,revenue_growth_lag1,0.9469699865231794
ATI,final,operating_margin,net_margin,0.989854913035151
ATI,final,operating_margin,ebitda_margin,0.9996574095123063
ATI,final,operating_margin,roa,0.9841052441383671
ATI,final,operating_margin,roe,0.9720889126811759
ATI,final,operating_margin,earnings_yield,0.9489579008089357
ATI,final,operating_margin,peer_earnings_yield_gap,0.9519326544180424
ATI,final,operating_margin,earnings_yield_lag1,0.9039285113508106
ATI,final,net_margin,ebitda_margin,0.9912430342370601
ATI,final,net_margin,roa,0.9938999877854278
ATI,final,net_margin,roe,0.9900813003024398
ATI,final,net_margin,earnings_yield,0.9436906576508283
ATI,final,net_margin,peer_earnings_yield_gap,0.9432700208601361
ATI,final,ebitda_margin,roa,0.9839945682885239
ATI,final,ebitda_margin,roe,0.9734471538487289
ATI,final,ebitda_margin,earnings_yield,0.9475110803023283
ATI,final,ebitda_margin,peer_earnings_yield_gap,0.9501171989376535
ATI,final,ebitda_margin,earnings_yield_lag1,0.9001376478754818
ATI,final,roa,roe,0.9904126280830048
ATI,final,roa,earnings_yield,0.9352411436845238
ATI,final,roa,peer_earnings_yield_gap,0.9360363799683397
ATI,final,roe,earnings_yield,0.9150463764859416
