GradeDate,Firm,ToGrade,FromGrade,Action,priceTargetAction,currentPriceTarget,priorPriceTarget
2022-08-18 11:43:37,Barclays,Overweight,,main,Raises,56.0,55.0
2022-08-18 11:38:49,Credit Suisse,Outperform,,main,Raises,65.0,60.0
2022-08-18 11:20:38,Raymond James,Outperform,,main,Lowers,59.0,63.0
2022-08-18 10:57:10,Rosenblatt,Neutral,,main,Raises,53.0,48.0
2022-07-14 09:05:39,JP Morgan,Neutral,Overweight,down,Lowers,51.0,62.0
2022-07-13 09:31:07,Rosenblatt,Neutral,,init,Announces,48.0,0.0
2022-05-20 13:04:21,Goldman Sachs,Neutral,,main,Lowers,46.0,64.0
2022-05-19 13:30:44,Jefferies,Buy,,main,Lowers,52.0,65.0
2022-05-19 13:28:29,Evercore ISI Group,Outperform,,main,Lowers,50.0,62.0
2022-05-19 12:34:08,Morgan Stanley,Equal-Weight,,main,Lowers,46.0,59.0
2022-05-19 12:04:25,B of A Securities,Buy,,main,Lowers,52.0,62.0
2022-05-19 11:44:02,Oppenheimer,Outperform,,main,Lowers,50.0,60.0
2022-05-19 11:36:38,Deutsche Bank,Hold,,main,Lowers,51.0,59.0
2022-05-19 11:11:48,Wells Fargo,Equal-Weight,,main,Lowers,52.0,65.0
2022-05-19 11:04:26,JP Morgan,Overweight,,main,Lowers,62.0,67.0
2022-05-19 11:01:47,UBS,Neutral,,main,Lowers,46.0,59.0
2022-05-19 10:44:29,Barclays,Overweight,,main,Lowers,55.0,68.0
2022-05-19 10:41:15,Credit Suisse,Outperform,,main,Lowers,60.0,72.0
2022-05-19 10:30:15,Citigroup,Sell,,main,Lowers,40.0,45.0
2022-05-19 10:24:14,Piper Sandler,Neutral,,main,Lowers,43.0,57.0
2022-05-16 12:14:53,Credit Suisse,Outperform,,main,Lowers,72.0,73.0
2022-04-12 13:18:43,Morgan Stanley,Equal-Weight,,main,Lowers,59.0,61.0
2022-04-12 10:59:36,Citigroup,Sell,Neutral,down,Lowers,45.0,65.0
2022-03-10 11:14:20,Wells Fargo,Equal-Weight,Overweight,down,Announces,65.0,0.0
2022-02-17 15:10:32,Cowen & Co.,Outperform,,main,Raises,66.0,61.0
2022-02-17 12:16:53,Raymond James,Outperform,,main,Lowers,63.0,64.0
2022-02-14 15:14:08,Cowen & Co.,Outperform,,main,Lowers,61.0,64.0
2022-01-19 10:41:56,Goldman Sachs,Neutral,Buy,down,Announces,65.0,0.0
2021-12-22 14:58:58,Citigroup,Neutral,,main,Raises,65.0,55.0
2021-12-15 14:01:04,Morgan Stanley,Equal-Weight,,main,Raises,61.0,59.0
2021-11-18 12:06:21,Credit Suisse,Outperform,,main,Lowers,73.0,74.0
2021-09-24 11:51:40,WestPark Capital,Hold,,init,Announces,62.0,0.0
2021-09-16 11:17:28,Raymond James,Outperform,,main,Raises,64.0,57.0
2021-09-16 09:23:50,Credit Suisse,Outperform,Neutral,up,Raises,74.0,56.0
2021-09-09 12:02:26,Wells Fargo,Overweight,,main,Raises,70.0,65.0
2021-09-09 10:52:35,Morgan Stanley,Equal-Weight,Overweight,down,Raises,59.0,57.0
2021-08-24 12:17:14,Deutsche Bank,Hold,,main,Raises,59.0,55.0
2021-08-19 11:53:59,Raymond James,Outperform,,main,Raises,57.0,55.0
2021-08-19 11:28:31,Credit Suisse,Neutral,,main,Raises,56.0,46.0
2021-08-19 11:18:45,Oppenheimer,Outperform,,main,Raises,60.0,55.0
2021-08-19 10:31:22,Barclays,Overweight,,main,Raises,62.0,55.0
2021-08-19 10:29:20,Citigroup,Neutral,,main,Raises,55.0,50.0
2021-05-21 10:46:03,DZ Bank,Hold,Buy,down,Announces,51.0,0.0
2021-05-14 11:33:20,Raymond James,Outperform,,main,Raises,55.0,50.0
2021-05-13 10:35:37,MKM Partners,Buy,,init,Announces,61.0,0.0
2021-04-20 12:06:16,Deutsche Bank,Hold,,init,Announces,55.0,0.0
2021-04-16 12:32:52,Wolfe Research,Outperform,Peer Perform,up,Announces,63.0,0.0
2021-04-16 12:13:59,Morgan Stanley,Overweight,,main,Raises,57.0,54.0
2021-03-25 10:49:09,Goldman Sachs,Buy,Neutral,up,Raises,59.0,50.0
2021-03-05 10:57:28,JP Morgan,Overweight,Neutral,up,Announces,55.0,0.0
2021-02-11 13:01:38,DZ Bank,Buy,Hold,up,Announces,52.0,0.0
2021-02-10 14:26:31,Credit Suisse,Neutral,,main,Raises,46.0,41.0
2021-02-10 12:37:13,Raymond James,Outperform,,main,Raises,50.0,49.0
2021-01-25 15:44:20,JP Morgan,Neutral,,main,Raises,50.0,44.0
2020-11-13 13:31:39,Credit Suisse,Neutral,,main,Raises,41.0,36.0
2020-10-19 16:04:50,Credit Suisse,Neutral,,main,Lowers,36.0,45.0
2020-10-12 11:15:29,Citigroup,Neutral,Buy,down,Lowers,43.0,48.0
2020-09-18 16:20:29,Wolfe Research,Peer Perform,Outperform,down,Announces,42.0,0.0
2020-09-16 13:26:55,B of A Securities,Buy,,main,Lowers,50.0,52.0
2020-08-13 13:05:01,Credit Suisse,Neutral,,main,Raises,45.0,41.0
2020-07-24 16:14:28,Wolfe Research,Outperform,,init,Announces,54.0,0.0
2020-07-16 10:32:15,JP Morgan,Neutral,Overweight,down,Announces,50.0,0.0
2020-07-09 10:11:07,Morgan Stanley,Overweight,Equal-Weight,up,Announces,54.0,0.0
2020-06-10 10:24:51,Baird,Neutral,Outperform,down,Announces,48.0,0.0
2020-05-14 15:14:09,Citigroup,Buy,,main,Raises,48.0,40.0
2020-05-14 13:23:41,Wells Fargo,Overweight,,main,Raises,55.0,50.0
2020-05-14 12:43:14,Piper Sandler,Neutral,,main,Raises,44.0,42.0
2020-05-14 12:32:19,Credit Suisse,Neutral,,main,Raises,41.0,40.0
2020-05-14 12:29:44,UBS,Buy,,main,Lowers,51.0,54.0
2020-05-14 12:09:32,Barclays,Overweight,,main,Raises,50.0,48.0
2020-05-14 11:59:57,MKM Partners,Neutral,,main,Raises,48.0,40.0
2020-05-14 11:51:25,Nomura,Neutral,,main,Raises,46.0,43.0
