reaction_day,category,event,timing,day_minus1,day0,day1,cum_3d,cum_5d,spy_3d,spy_5d,excess_day0,excess_3d,excess_5d,chart_value,chart_basis
2025-04-15,Activism,Elliott >$1.5bn stake reported,Bloomberg report 15-Apr-2025 (intraday); CNBC same day,0.009900862378366737,0.051120467223253696,-0.00866091728733831,0.060224203322655656,0.06092440091077855,-0.023575629710393065,-0.022017376253861354,0.053921374139853206,0.08379983303304872,0.08294177716463991,0.08379983303304872,3-day
2025-06-04,Earnings,Q2 FY25 results,8-K Item 2.02 filed 3-Jun-2025 after close,0.020184540753088953,0.008479365369743697,-0.004484326131850125,0.023742311732732446,0.03674402747403538,0.005116792005348758,0.011726496518112528,0.008747877801526638,0.018625519727383688,0.02501753095592285,0.018625519727383688,3-day
2025-06-30,Regulatory,DOJ settlement clears Juniper deal,Settlement announced 28-Jun-2025 (Saturday),0.002177399036806138,0.11080946620450072,0.0014667351047834565,0.15426388924436618,0.13579573301192926,0.009009584036093754,0.009383519809463392,0.1060281865172017,0.14525430520827243,0.12641221320246587,0.1060281865172017,day 0
2025-07-02,M&A,Juniper acquisition closes,Closing announced 2-Jul-2025,0.0014667351047834565,0.03759771994093364,0.004235376000030877,0.020996215746919678,0.015625112898214777,0.00490564239296698,0.010378092853212673,0.03306435444884426,0.016090573353952697,0.005247020045002104,0.016090573353952697,3-day
2025-07-16,Activism,"Elliott cooperation agreement; new director, Strategy Committee",8-K filed 16-Jul-2025,-0.0188677254678028,0.003451646797767438,0.02358710312978185,0.04092694348712045,0.006410091470416379,0.008744090748174393,0.010801436342855242,0.00010837341322900151,0.032182852738946055,-0.004391344872438863,0.032182852738946055,3-day
2025-09-04,Earnings,Q3 FY25 results (first Juniper month),8-K Item 2.02 filed 3-Sep-2025 after close,0.006172786512347317,0.014899242550805214,0.01554400442481052,0.029798399778295792,0.07099036307288831,0.007906952176269133,0.013157515065254755,0.006541825803588974,0.02189144760202666,0.05783284800763355,0.02189144760202666,3-day
2025-10-16,Guidance,Securities Analyst Meeting: FY26 outlook below expectations,SAM held 15-Oct-2025; outlook 8-K same day,0.0015999869844174341,-0.10143772667885564,0.020444365096062178,-0.08666125681133974,-0.07787538567650687,0.00921571967203505,0.00395388966764143,-0.09462759211652527,-0.09587697648337479,-0.0818292753441483,-0.09587697648337479,3-day
2025-12-05,Earnings,Q4 FY25 results,8-K Item 2.02 filed 4-Dec-2025 after close,0.028750974947036934,0.01877739543691659,0.022717429267676614,0.08165957830110115,0.07161582172249581,-0.001972590195173929,0.006984319899691505,0.01687800068409473,0.08363216849627508,0.0646315018228043,0.08363216849627508,3-day
2026-03-10,Earnings,Q1 FY26 results,8-K Item 2.02 filed 9-Mar-2026 after close,0.03218179228853946,-0.03255381778654165,0.015639801604775627,-0.01054560791813941,0.0018340763386057723,-0.018001668350667632,-0.013622813252468724,-0.03094680221005197,0.007456060432528222,0.015456889591074496,0.007456060432528222,3-day
2026-05-29,Peer,"Dell Q1 FY27: AI server backlog $51bn, sector rally",Dell results 28-May-2026 after close,0.027150530750385204,0.1264068113690766,0.09200734415341127,0.4695106846673911,0.4051295334816152,0.006586332654237692,0.003299815911921078,0.12391540656562738,0.4629243520131534,0.4018297175696941,0.12391540656562738,day 0
2026-06-02,Earnings,"Q2 FY26: +40% revenue, FY26 guide raised, FY27 framework",8-K Item 2.02 filed 1-Jun-2026 after close,0.09200734415341127,0.1946809014633175,-0.017809419405119042,0.14234039619283156,0.061063787146842685,-0.0019115061781299625,-0.025470023194608893,0.19332296166604124,0.14425190237096153,0.08653381034145158,0.14425190237096153,3-day
2026-07-09,Product,ProLiant DL394 Gen12 (NVIDIA Vera) launch; AI-server rally,News reports 9-Jul-2026,0.027605174017586,0.09939562622352982,-0.011606591075954298,0.05753310084772201,0.060891008108302946,0.005057631302141541,0.012624058004194305,0.09093037622095057,0.052475469545580467,0.04826695010410864,0.052475469545580467,3-day
2026-09-03,Earnings,"Q3 FY26: record results, FY26/FY27 raised, Oracle collaboration + warrant",8-K Item 2.02 filed 2-Sep-2026 after close,0.018871690963771615,0.05035687253421006,-0.044819961209769055,0.08103408836319415,0.06540612135609236,0.0010455968113924907,-0.009579638653292255,0.03988846063766682,0.07998849155180165,0.07498576000938462,0.07998849155180165,3-day
2026-09-11,Sector,Enterprise AI infrastructure rally; reassessment of Q3 and Oracle,News reports 11-Sep-2026,-0.06247878115179506,0.1244114230354103,,,,,,0.11588713554108931,,,0.11588713554108931,day 0
