task,horizon,ticker,model,excluded_fallbacks,n,rmse,mae,r2_oos,bias,forecast_correlation,fallback_count,start,end,directional_accuracy,always_up_accuracy,benchmark_directional_accuracy,zero_forecasts,qlike,volatility_rmse,volatility_mae,volatility_correlation
return,1,ATI,lasso_full,0,44,0.13796907678494508,0.1052432745629083,0.0,-0.024197062942074136,-0.15485632283203588,0,2023-01-31,2026-08-31,0.6590909090909091,0.6590909090909091,0.6590909090909091,0.0,,,,
return,1,ATI,market_mean,0,44,0.1427406360565092,0.10801758437532566,-0.0703646037585921,-0.03905488756160977,-0.18814839004354206,0,2023-01-31,2026-08-31,0.6590909090909091,0.6590909090909091,0.6590909090909091,0.0,,,,
return,1,ATI,panel_company_effects,0,44,0.1381161985747323,0.1065902938487385,-0.0021338148237146637,-0.029986019490244074,0.11253224559409289,0,2023-01-31,2026-08-31,0.6818181818181818,0.6590909090909091,0.6590909090909091,0.0,,,,
return,1,ATI,pooled_boost,0,44,0.14098853158403257,0.10704281801235385,-0.0442489762395859,-0.031217907167845192,-0.10880156718109724,0,2023-01-31,2026-08-31,0.6136363636363636,0.6590909090909091,0.6590909090909091,0.0,,,,
return,1,ATI,pooled_forest,0,44,0.14068507171329295,0.10590425476985367,-0.039758587899274556,-0.036412695490502384,0.05295226592102689,0,2023-01-31,2026-08-31,0.6136363636363636,0.6590909090909091,0.6590909090909091,0.0,,,,
return,1,ATI,pooled_ridge,0,44,0.14075690431875046,0.11138100178836598,-0.040820642816415065,-0.048540022516673394,0.219150298089904,0,2023-01-31,2026-08-31,0.5909090909090909,0.6590909090909091,0.6590909090909091,0.0,,,,
return,1,ATI,ridge_full,0,44,0.14033877077605114,0.10850109589098467,-0.03464608793315049,-0.03886709534587058,0.13043550375532964,0,2023-01-31,2026-08-31,0.5909090909090909,0.6590909090909091,0.6590909090909091,0.0,,,,
return,1,ATI,ridge_rolling84,0,44,0.14519201459592262,0.11219154117741872,-0.1074444375322956,-0.03326776007030656,-0.062431055621501856,0,2023-01-31,2026-08-31,0.5909090909090909,0.6590909090909091,0.6590909090909091,0.0,,,,
return,1,ATI,without_business,0,44,0.1429326936473921,0.10938034561932253,-0.0732468936407149,-0.038216990203700625,0.018975181924068496,0,2023-01-31,2026-08-31,0.5454545454545454,0.6590909090909091,0.6590909090909091,0.0,,,,
return,1,ATI,without_financial,0,44,0.13744387544416328,0.10602312579580773,0.007598828977867456,-0.03181604922489603,0.16168625509588191,0,2023-01-31,2026-08-31,0.6590909090909091,0.6590909090909091,0.6590909090909091,0.0,,,,
return,1,ATI,without_industry,0,44,0.14806006142590644,0.11320700073231173,-0.15162831411519795,-0.04132385556608136,0.0209890702805769,0,2023-01-31,2026-08-31,0.5454545454545454,0.6590909090909091,0.6590909090909091,0.0,,,,
return,1,ATI,without_market,0,44,0.1404866337598535,0.10855656670077939,-0.03682747303385692,-0.0446682910507729,0.18319128565701767,0,2023-01-31,2026-08-31,0.5909090909090909,0.6590909090909091,0.6590909090909091,0.0,,,,
return,1,ATI,without_momentum,0,44,0.14468458626997502,0.11227481024509206,-0.09971719843248783,-0.03628662259860717,-0.0069810164693698004,0,2023-01-31,2026-08-31,0.5454545454545454,0.6590909090909091,0.6590909090909091,0.0,,,,
return,1,ATI,without_risk,0,44,0.13932450682543238,0.10779680068378715,-0.019744830534754065,-0.03574123032437433,0.1329046509141399,0,2023-01-31,2026-08-31,0.5227272727272727,0.6590909090909091,0.6590909090909091,0.0,,,,
return,1,ATI,without_valuation,0,44,0.15496750433021353,0.11560429907826268,-0.26158861624384366,-0.05252073017242329,-0.04237231303153117,0,2023-01-31,2026-08-31,0.5454545454545454,0.6590909090909091,0.6590909090909091,0.0,,,,
return,1,ATI,zero,0,44,0.14542771099205234,0.11231336576087339,-0.11104287958932302,-0.053033713859201616,,0,2023-01-31,2026-08-31,0.0,0.6590909090909091,0.6590909090909091,44.0,,,,
return,1,CRS,A1_market,0,44,0.14421015875816162,0.11539726957689887,0.01885520260511664,-0.03144613666113319,-0.05996209897838847,0,2023-01-31,2026-08-31,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.0,,,,
return,1,CRS,A2_financial,0,44,0.15444392394636403,0.12762373924230044,-0.12533816985495094,-0.015930540406477216,-0.1954942090813293,0,2023-01-31,2026-08-31,0.5454545454545454,0.6363636363636364,0.6363636363636364,0.0,,,,
return,1,CRS,A3_valuation,0,44,0.15465334436886932,0.1271848990079799,-0.12839207535260888,-0.024178127691605367,-0.2095271692459049,0,2023-01-31,2026-08-31,0.5681818181818182,0.6363636363636364,0.6363636363636364,0.0,,,,
return,1,CRS,A4_momentum,0,44,0.1516269799881675,0.12507544528389763,-0.0846618504847918,-0.026721151300031554,-0.1573197655797186,0,2023-01-31,2026-08-31,0.5227272727272727,0.6363636363636364,0.6363636363636364,0.0,,,,
return,1,CRS,A5_risk,0,44,0.15426374717595978,0.12939918400462247,-0.12271402614691884,-0.015915669149885306,-0.15976873820171195,0,2023-01-31,2026-08-31,0.5,0.6363636363636364,0.6363636363636364,0.0,,,,
return,1,CRS,A6_industry,0,44,0.15481528284946441,0.12976776632639797,-0.13075640530430155,-0.017752881684080044,-0.16801282432341666,0,2023-01-31,2026-08-31,0.4772727272727273,0.6363636363636364,0.6363636363636364,0.0,,,,
return,1,CRS,A7_business,0,44,0.14864428774010238,0.12457499231615361,-0.04240826004339904,-0.017155958808399048,-0.053776365987142284,0,2023-01-31,2026-08-31,0.5454545454545454,0.6363636363636364,0.6363636363636364,0.0,,,,
return,1,CRS,A8_transform,0,44,0.1519654719333593,0.12772579287525912,-0.08951005245480581,-0.02193864858921862,-0.0707234268941286,0,2023-01-31,2026-08-31,0.5,0.6363636363636364,0.6363636363636364,0.0,,,,
return,1,CRS,A9_interaction,0,44,0.15186579306283485,0.1271610572322366,-0.08808123428123249,-0.025508188961567622,-0.06592425134757252,0,2023-01-31,2026-08-31,0.5,0.6363636363636364,0.6363636363636364,0.0,,,,
