task,horizon,ticker,model,regime,value,n,rmse,mae,r2_oos,bias,forecast_correlation,fallback_count,start,end,directional_accuracy,always_up_accuracy,benchmark_directional_accuracy,zero_forecasts,qlike,volatility_rmse,volatility_mae,volatility_correlation
excess_return,1,CRS,core_ridge,calendar_year,2025,12,0.11672922352776328,0.09619997342793545,-0.16228761366090794,0.029724608538303388,-0.49068352239557356,0,2025-01-31,2025-12-31,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.0,,,,
excess_return,1,CRS,core_ridge,calendar_year,2026,8,0.18012918393506727,0.15703522674057488,-0.26826971720324866,0.041866617945551673,-0.6825049659685261,0,2026-01-31,2026-08-31,0.5,0.5,0.5,0.0,,,,
excess_return,1,CRS,historical_mean,high_vol_regime,0,32,0.14318442874267523,0.11338711908222748,0.0,-0.03341587666116262,0.0038853304842208815,0,2023-03-31,2026-08-31,0.53125,0.53125,0.53125,0.0,,,,
excess_return,1,CRS,historical_mean,high_vol_regime,1,12,0.11805183021229027,0.09831338456490696,0.0,-0.04894887385393315,-0.6683428748201067,0,2023-01-31,2026-07-31,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,,,,
excess_return,1,CRS,historical_mean,rate_rising_regime,0,16,0.10877559233305184,0.08524837002972833,0.0,-0.020008934311200804,0.0487168806466133,0,2023-02-28,2026-01-31,0.5,0.5,0.5,0.0,,,,
excess_return,1,CRS,historical_mean,rate_rising_regime,1,28,0.15047279344724415,0.12300623231908961,0.0,-0.04773398537232816,-0.24212500276975146,0,2023-01-31,2026-08-31,0.6071428571428571,0.6071428571428571,0.6071428571428571,0.0,,,,
excess_return,1,CRS,historical_mean,calendar_year,2023,12,0.11845708530257436,0.09781965978225236,0.0,-0.03606199368727065,-0.6158122957639734,0,2023-01-31,2023-12-31,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,,,,
excess_return,1,CRS,historical_mean,calendar_year,2024,12,0.16061398479066244,0.13190418471000626,0.0,-0.05620425194136348,-0.193315170680517,0,2024-01-31,2024-12-31,0.5,0.5,0.5,0.0,,,,
excess_return,1,CRS,historical_mean,calendar_year,2025,12,0.10827365358118714,0.09069738985154212,0.0,-0.027968682748320133,-0.5333003832948572,0,2025-01-31,2025-12-31,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.0,,,,
excess_return,1,CRS,historical_mean,calendar_year,2026,8,0.15994779967029535,0.12038670166056921,0.0,-0.026734424860118813,-0.5958208807363061,0,2026-01-31,2026-08-31,0.5,0.5,0.5,0.0,,,,
excess_return,1,CRS,ridge_full,high_vol_regime,0,32,0.15503558714467955,0.12943459024632903,-0.17238759451971553,-0.01868013878613144,-0.1806876941645675,0,2023-03-31,2026-08-31,0.375,0.53125,0.53125,0.0,,,,
excess_return,1,CRS,ridge_full,high_vol_regime,1,12,0.10130557560547415,0.0831161890616351,0.2635873368099957,-0.01700846383368809,0.31098550446238304,0,2023-01-31,2026-07-31,0.75,0.6666666666666666,0.6666666666666666,0.0,,,,
excess_return,1,CRS,ridge_full,rate_rising_regime,0,16,0.12097155478670057,0.10431093478474054,-0.23681177450667312,0.0033169365333999314,-0.14815514284414927,0,2023-02-28,2026-01-31,0.375,0.5,0.5,0.0,,,,
excess_return,1,CRS,ridge_full,rate_rising_regime,1,28,0.1533158536796257,0.12394022143093933,-0.03814535258233809,-0.030533463989102203,-0.012092799401938694,0,2023-01-31,2026-08-31,0.5357142857142857,0.6071428571428571,0.6071428571428571,0.0,,,,
excess_return,1,CRS,ridge_full,calendar_year,2023,12,0.12079918309696025,0.10601289142685864,-0.039934317381729034,-0.02993015452947898,-0.01578395998641901,0,2023-01-31,2023-12-31,0.4166666666666667,0.6666666666666666,0.6666666666666666,0.0,,,,
excess_return,1,CRS,ridge_full,calendar_year,2024,12,0.1576650227974725,0.13466321964984726,0.03638400114065066,-0.048492253729569466,0.055258498812837696,0,2024-01-31,2024-12-31,0.3333333333333333,0.5,0.5,0.0,,,,
excess_return,1,CRS,ridge_full,calendar_year,2025,12,0.12148007942383848,0.0958108568378998,-0.25882265615900035,0.021891665733489624,-0.20469263121258155,0,2025-01-31,2025-12-31,0.6666666666666666,0.5833333333333334,0.5833333333333334,0.0,,,,
excess_return,1,CRS,ridge_full,calendar_year,2026,8,0.17385682321137977,0.1376821927058602,-0.18148153710987547,-0.015437137106719647,-0.024446883441443693,0,2026-01-31,2026-08-31,0.5,0.5,0.5,0.0,,,,
excess_return,1,CRS,zero,high_vol_regime,0,32,0.1469166280034406,0.11314936170540604,-0.05281077623668429,-0.047102583684679046,,0,2023-03-31,2026-08-31,0.0,0.53125,0.53125,32.0,,,,
excess_return,1,CRS,zero,high_vol_regime,1,12,0.12163884815283382,0.10016430725758718,-0.06169347654786028,-0.06383381197409282,,0,2023-01-31,2026-07-31,0.0,0.6666666666666666,0.6666666666666666,12.0,,,,
excess_return,1,CRS,zero,rate_rising_regime,0,16,0.11215693584373512,0.08324692754702645,-0.06313730518623584,-0.033471094042212324,,0,2023-02-28,2026-01-31,0.0,0.5,0.5,16.0,,,,
excess_return,1,CRS,zero,rate_rising_regime,1,28,0.15434066207101393,0.12467144360398628,-0.05207027624983085,-0.062062532747265926,,0,2023-01-31,2026-08-31,0.0,0.6071428571428571,0.6071428571428571,28.0,,,,
excess_return,1,CRS,zero,calendar_year,2023,12,0.12012295171844681,0.09976652162855759,-0.028323843734749055,-0.043885715656876205,,0,2023-01-31,2023-12-31,0.0,0.6666666666666666,0.6666666666666666,12.0,,,,
excess_return,1,CRS,zero,calendar_year,2024,12,0.16466878969705354,0.13114323508037354,-0.05112864873264433,-0.06837925369779131,,0,2024-01-31,2024-12-31,0.0,0.5,0.5,12.0,,,,
excess_return,1,CRS,zero,calendar_year,2025,12,0.11360085228054784,0.09105676650440254,-0.10082325527064961,-0.04563535589333521,,0,2025-01-31,2025-12-31,0.0,0.5833333333333334,0.5833333333333334,12.0,,,,
excess_return,1,CRS,zero,calendar_year,2026,8,0.16387881254896935,0.11989412288800438,-0.04975771897246872,-0.04731056482785135,,0,2026-01-31,2026-08-31,0.0,0.5,0.5,8.0,,,,
excess_return,1,ENTG,boost_full,high_vol_regime,0,32,0.13236632271548116,0.0929876204981351,0.0002663820532676775,-0.01879594548396756,0.09139877928582404,0,2023-03-31,2026-08-31,0.53125,0.40625,0.40625,0.0,,,,
excess_return,1,ENTG,boost_full,high_vol_regime,1,12,0.16083597614256256,0.13170131559436427,-0.22677625343059726,0.029918633157184932,-0.6628752696373487,0,2023-01-31,2026-07-31,0.3333333333333333,0.4166666666666667,0.4166666666666667,0.0,,,,
excess_return,1,ENTG,boost_full,rate_rising_regime,0,16,0.16743856263541265,0.12375292972079366,-0.05323338453331816,-0.015152689489155867,-0.19712828797212084,0,2023-02-28,2026-01-31,0.4375,0.375,0.375,0.0,,,,
