task,horizon,ticker,expanded,reduced,n,metric,mean_loss_reduction,lo,hi,block,replications,pvalue,interpretation
excess_return,1,ENTG,core_ridge,historical_mean,44,MSE,-0.000757946925174969,-0.0033772601060297306,0.0008257486160954529,3,2000,0.4622688655672164,Positive favors expanded model. Approximate pointwise conditional block interval; no multiplicity-adjusted discovery claim.
excess_return,1,ENTG,core_ridge,historical_mean,44,MSE,-0.000757946925174969,-0.003231822748183485,0.0007267546405721456,6,2000,0.440279860069965,Positive favors expanded model. Approximate pointwise conditional block interval; no multiplicity-adjusted discovery claim.
excess_return,1,ENTG,core_ridge,historical_mean,44,MSE,-0.000757946925174969,-0.0019347041811693237,0.0006170022840223377,12,2000,0.21389305347326337,Positive favors expanded model. Approximate pointwise conditional block interval; no multiplicity-adjusted discovery claim.
excess_return,1,ENTG,ridge_full,historical_mean,44,MSE,-0.0008018445401394101,-0.002328178361695915,9.02627661657883e-05,3,2000,0.21239380309845077,Positive favors expanded model. Approximate pointwise conditional block interval; no multiplicity-adjusted discovery claim.
excess_return,1,ENTG,ridge_full,historical_mean,44,MSE,-0.0008018445401394101,-0.002299021792481995,5.635652018426744e-05,6,2000,0.1969015492253873,Positive favors expanded model. Approximate pointwise conditional block interval; no multiplicity-adjusted discovery claim.
excess_return,1,ENTG,ridge_full,historical_mean,44,MSE,-0.0008018445401394101,-0.00231169418228707,-0.00017884845112607926,12,2000,0.15792103948025987,Positive favors expanded model. Approximate pointwise conditional block interval; no multiplicity-adjusted discovery claim.
excess_return,1,ENTG,boost_full,historical_mean,44,MSE,-0.0013007536519990363,-0.0024366419080004077,0.00015300949686266395,3,2000,0.04397801099450275,Positive favors expanded model. Approximate pointwise conditional block interval; no multiplicity-adjusted discovery claim.
excess_return,1,ENTG,boost_full,historical_mean,44,MSE,-0.0013007536519990363,-0.0020873975245179993,0.00029624007356337205,6,2000,0.030484757621189407,Positive favors expanded model. Approximate pointwise conditional block interval; no multiplicity-adjusted discovery claim.
excess_return,1,ENTG,boost_full,historical_mean,44,MSE,-0.0013007536519990363,-0.001626632765800285,-6.42561212995736e-05,12,2000,0.0004997501249375312,Positive favors expanded model. Approximate pointwise conditional block interval; no multiplicity-adjusted discovery claim.
excess_return,1,MTRN,boost_full,ridge_full,44,MSE,0.0013310444120279094,-0.002168132505782291,0.005380612322062118,3,2000,0.5327336331834083,Positive favors expanded model. Approximate pointwise conditional block interval; no multiplicity-adjusted discovery claim.
excess_return,1,MTRN,boost_full,ridge_full,44,MSE,0.0013310444120279094,-0.0023886222021053064,0.00391640313740685,6,2000,0.42978510744627685,Positive favors expanded model. Approximate pointwise conditional block interval; no multiplicity-adjusted discovery claim.
excess_return,1,MTRN,boost_full,ridge_full,44,MSE,0.0013310444120279094,-0.0024160841747733106,0.0022347538982572593,12,2000,0.22938530734632684,Positive favors expanded model. Approximate pointwise conditional block interval; no multiplicity-adjusted discovery claim.
excess_return,1,MTRN,zero,historical_mean,44,MSE,-4.789770559193308e-05,-0.0006074815614774468,0.00039874457042382686,3,2000,0.8385807096451774,Positive favors expanded model. Approximate pointwise conditional block interval; no multiplicity-adjusted discovery claim.
excess_return,1,MTRN,zero,historical_mean,44,MSE,-4.789770559193308e-05,-0.0005420299070084876,0.000450889311129398,6,2000,0.8355822088955522,Positive favors expanded model. Approximate pointwise conditional block interval; no multiplicity-adjusted discovery claim.
excess_return,1,MTRN,zero,historical_mean,44,MSE,-4.789770559193308e-05,-0.0004194728318803046,0.0004835083561078042,12,2000,0.8535732133933034,Positive favors expanded model. Approximate pointwise conditional block interval; no multiplicity-adjusted discovery claim.
excess_return,1,MTRN,core_ridge,historical_mean,44,MSE,-9.52880798197641e-05,-0.0009545843718822078,0.0015389157602914488,3,2000,0.8785607196401799,Positive favors expanded model. Approximate pointwise conditional block interval; no multiplicity-adjusted discovery claim.
excess_return,1,MTRN,core_ridge,historical_mean,44,MSE,-9.52880798197641e-05,-0.0009740005271452136,0.0014252356662205023,6,2000,0.8835582208895553,Positive favors expanded model. Approximate pointwise conditional block interval; no multiplicity-adjusted discovery claim.
excess_return,1,MTRN,core_ridge,historical_mean,44,MSE,-9.52880798197641e-05,-0.0010104833287178808,0.0013148501017690923,12,2000,0.872063968015992,Positive favors expanded model. Approximate pointwise conditional block interval; no multiplicity-adjusted discovery claim.
excess_return,1,MTRN,ridge_full,historical_mean,44,MSE,-0.0005921739669000922,-0.0017485628771252738,0.001168679095897692,3,2000,0.440279860069965,Positive favors expanded model. Approximate pointwise conditional block interval; no multiplicity-adjusted discovery claim.
excess_return,1,MTRN,ridge_full,historical_mean,44,MSE,-0.0005921739669000922,-0.0016177426632428126,0.0010268078375456637,6,2000,0.3778110944527736,Positive favors expanded model. Approximate pointwise conditional block interval; no multiplicity-adjusted discovery claim.
excess_return,1,MTRN,ridge_full,historical_mean,44,MSE,-0.0005921739669000922,-0.0014386757026987873,0.00088414378784342,12,2000,0.3173413293353323,Positive favors expanded model. Approximate pointwise conditional block interval; no multiplicity-adjusted discovery claim.
excess_return,1,MTRN,boost_full,historical_mean,44,MSE,0.0007388704451278174,-0.0020927833075685648,0.004707641983422454,3,2000,0.6711644177911045,Positive favors expanded model. Approximate pointwise conditional block interval; no multiplicity-adjusted discovery claim.
excess_return,1,MTRN,boost_full,historical_mean,44,MSE,0.0007388704451278174,-0.0022752786888587096,0.002862603105622713,6,2000,0.6851574212893553,Positive favors expanded model. Approximate pointwise conditional block interval; no multiplicity-adjusted discovery claim.
excess_return,1,MTRN,boost_full,historical_mean,44,MSE,0.0007388704451278174,-0.0023718336087300866,0.0016672577335372953,12,2000,0.4567716141929036,Positive favors expanded model. Approximate pointwise conditional block interval; no multiplicity-adjusted discovery claim.
return,1,ATI,A1_market,historical_mean,44,MSE,-0.0011199037759178716,-0.0020956799983119505,0.00035965445656569475,3,2000,0.06946526736631684,Positive favors expanded model. Approximate pointwise conditional block interval; no multiplicity-adjusted discovery claim.
return,1,ATI,A1_market,historical_mean,44,MSE,-0.0011199037759178716,-0.0017075430916212886,0.0002611215301182206,6,2000,0.025987006496751622,Positive favors expanded model. Approximate pointwise conditional block interval; no multiplicity-adjusted discovery claim.
return,1,ATI,A1_market,historical_mean,44,MSE,-0.0011199037759178716,-0.001507551194967851,0.0002519682413670198,12,2000,0.017991004497751123,Positive favors expanded model. Approximate pointwise conditional block interval; no multiplicity-adjusted discovery claim.
return,1,ATI,A2_financial,A1_market,44,MSE,-0.0011568941581174147,-0.0018735298273012738,-0.00011738878207481072,3,2000,0.00849575212393803,Positive favors expanded model. Approximate pointwise conditional block interval; no multiplicity-adjusted discovery claim.
return,1,ATI,A2_financial,A1_market,44,MSE,-0.0011568941581174147,-0.0017984668162686823,-0.00021802710963703874,6,2000,0.005997001499250375,Positive favors expanded model. Approximate pointwise conditional block interval; no multiplicity-adjusted discovery claim.
return,1,ATI,A2_financial,A1_market,44,MSE,-0.0011568941581174147,-0.0017714925210928325,-7.187249307581165e-05,12,2000,0.005997001499250375,Positive favors expanded model. Approximate pointwise conditional block interval; no multiplicity-adjusted discovery claim.
return,1,ATI,A3_valuation,A2_financial,44,MSE,0.00012746135227762893,-0.0006600876056020464,0.0006265252001899482,3,2000,0.6876561719140429,Positive favors expanded model. Approximate pointwise conditional block interval; no multiplicity-adjusted discovery claim.
return,1,ATI,A3_valuation,A2_financial,44,MSE,0.00012746135227762893,-0.0006389814736586819,0.0005584692130733935,6,2000,0.6836581709145427,Positive favors expanded model. Approximate pointwise conditional block interval; no multiplicity-adjusted discovery claim.
return,1,ATI,A3_valuation,A2_financial,44,MSE,0.00012746135227762893,-0.0006454765505311092,0.00035356090234328234,12,2000,0.6346826586706646,Positive favors expanded model. Approximate pointwise conditional block interval; no multiplicity-adjusted discovery claim.
return,1,ATI,A4_momentum,A3_valuation,44,MSE,0.0010454866714379235,-9.934888833580169e-05,0.0022920567545925735,3,2000,0.09195402298850575,Positive favors expanded model. Approximate pointwise conditional block interval; no multiplicity-adjusted discovery claim.
return,1,ATI,A4_momentum,A3_valuation,44,MSE,0.0010454866714379235,0.00019220399368755293,0.0023038470520423964,6,2000,0.05347326336831584,Positive favors expanded model. Approximate pointwise conditional block interval; no multiplicity-adjusted discovery claim.
return,1,ATI,A4_momentum,A3_valuation,44,MSE,0.0010454866714379235,0.0007052653748786799,0.0021183434389618156,12,2000,0.004497751124437781,Positive favors expanded model. Approximate pointwise conditional block interval; no multiplicity-adjusted discovery claim.
return,1,ATI,A5_risk,A4_momentum,44,MSE,-0.0013870770741468625,-0.004741047578424986,0.0003946149238521925,3,2000,0.36081959020489757,Positive favors expanded model. Approximate pointwise conditional block interval; no multiplicity-adjusted discovery claim.
return,1,ATI,A5_risk,A4_momentum,44,MSE,-0.0013870770741468625,-0.00498164753209782,0.00023633219192593615,6,2000,0.42328835582208896,Positive favors expanded model. Approximate pointwise conditional block interval; no multiplicity-adjusted discovery claim.
return,1,ATI,A5_risk,A4_momentum,44,MSE,-0.0013870770741468625,-0.004851731470406865,0.00012756212289688896,12,2000,0.3458270864567716,Positive favors expanded model. Approximate pointwise conditional block interval; no multiplicity-adjusted discovery claim.
return,1,ATI,A6_industry,A5_risk,44,MSE,0.0009899407351570662,-0.0007340696651324957,0.003329239805375316,3,2000,0.3843078460769615,Positive favors expanded model. Approximate pointwise conditional block interval; no multiplicity-adjusted discovery claim.
return,1,ATI,A6_industry,A5_risk,44,MSE,0.0009899407351570662,-0.0008367408504727461,0.003736953277778134,6,2000,0.45577211394302847,Positive favors expanded model. Approximate pointwise conditional block interval; no multiplicity-adjusted discovery claim.
return,1,ATI,A6_industry,A5_risk,44,MSE,0.0009899407351570662,-0.000647603230874425,0.0037930275671851322,12,2000,0.4197901049475262,Positive favors expanded model. Approximate pointwise conditional block interval; no multiplicity-adjusted discovery claim.
